batter,hbp_per_pa_raw,hbp,pa_ev
571771,0.0,0,4
682989,0.0,0,1
665856,0.0,0,2
694224,0.0,0,4
694673,0.0,0,2
676551,0.0,0,13
680664,0.07692,1,13
811965,0.01695,1,59
681909,0.0,0,7
683021,0.0,0,5
695670,0.1,1,10
669242,0.02273,2,88
640492,0.0,0,18
686475,0.0,0,64
672640,0.00955,4,419
672012,0.0,0,28
804668,0.0,0,16
682988,0.0,0,4
683079,0.0,0,3
669392,0.0,0,102
650333,0.00721,3,416
670541,0.01152,5,434
691783,0.06818,3,44
670032,0.01449,2,138
677942,0.01626,4,246
693304,0.01554,6,386
650490,0.02184,9,412
656577,0.03509,2,57
641820,0.0,0,14
683734,0.01136,2,176
699013,0.0,0,118
685133,0.0,0,142
672515,0.01042,3,288
663968,0.02239,6,268
808982,0.01099,4,364
691907,0.0,0,38
664983,0.0125,4,320
622268,0.00935,1,107
671739,0.00542,2,369
681198,0.01763,7,397
669364,0.0,0,421
669134,0.01149,1,87
687859,0.01534,5,326
676391,0.00258,1,387
665161,0.01794,4,223
663604,0.0,0,96
669016,0.00532,2,376
671976,0.01049,3,286
682674,0.0,0,59
500743,0.01258,2,159
673962,0.01538,6,390
691023,0.00732,3,410
650391,0.0,0,35
660271,0.01193,5,419
665742,0.0,0,348
805779,0.0,0,251
666018,0.01905,8,420
694249,0.016,2,125
680777,0.00595,1,168
664770,0.02203,5,227
682985,0.00485,2,412
691277,0.0,0,7
689414,0.01695,6,354
805347,0.02222,1,45
663616,0.01007,3,298
663624,0.0,0,15
686894,0.01205,1,83
518692,0.00713,3,421
595978,0.0068,1,147
665487,0.0093,4,430
691718,0.0232,10,431
575929,0.03989,15,376
694671,0.0049,1,204
805808,0.00704,3,426
668804,0.01839,8,435
666126,0.01667,4,240
694362,0.0129,2,155
682829,0.00565,2,354
802415,0.0,0,366
678882,0.01558,6,385
699393,0.0,0,71
803011,0.05678,18,317
700250,0.00746,3,402
668227,0.04092,16,391
687462,0.01695,5,295
661388,0.00758,3,396
650402,0.01053,2,190
669003,0.00619,2,323
677951,0.00243,1,412
676475,0.00971,4,412
691406,0.00234,1,428
694192,0.00673,2,297
660688,0.00926,2,216
679822,0.01613,2,124
671277,0.0,0,324
621043,0.0,0,141
694384,0.01502,5,333
656811,0.0142,5,352
669477,0.01823,7,384
800050,0.0,0,345
643396,0.0,0,132
671218,0.0,0,248
682928,0.02445,10,409
686948,0.02096,7,334
805999,0.00424,1,236
666160,0.01255,3,239
665052,0.0202,2,99
649966,0.0,0,32
657136,0.02857,4,140
804606,0.01619,4,247
664034,0.03292,8,243
805811,0.0,0,231
660821,0.02137,5,234
680977,0.0495,5,101
673548,0.00843,3,356
680869,0.01619,4,247
682729,0.0,0,25
669384,0.0,0,36
800325,0.0,0,27
663611,0.01923,1,52
828599,0.0,0,12
675961,0.0,0,92
805367,0.00501,2,399
677587,0.01887,7,371
695578,0.00853,4,469
621439,0.01194,4,335
606115,0.0,0,50
640902,0.01471,1,68
813841,0.0,0,29
701162,0.0,0,31
621566,0.00464,2,431
553869,0.0,0,96
608348,0.01158,3,259
669289,0.0,0,60
665877,0.0,0,186
516782,0.024,3,125
691594,0.0,0,255
624431,0.0,0,74
807799,0.01429,3,210
686681,0.0,0,256
571657,0.0,0,16
682818,0.0,0,160
681624,0.01415,6,424
701762,0.00485,2,412
643289,0.00518,2,386
677649,0.00297,1,337
677800,0.0048,2,417
665833,0.0106,3,283
807712,0.02732,10,366
650489,0.01205,4,332
607043,0.01511,6,397
645277,0.01176,5,425
695506,0.01108,4,361
703607,0.03828,8,209
802139,0.0331,14,423
665489,0.01003,4,399
571970,0.00862,3,348
672580,0.0,0,294
701807,0.01003,4,399
668930,0.0,0,425
686527,0.01145,3,262
669127,0.01253,5,399
667472,0.0137,2,146
682848,0.0,0,122
693307,0.02941,11,374
609280,0.01575,4,254
691458,0.0,0,88
642086,0.00826,2,242
502671,0.01111,3,270
641343,0.00838,3,358
669699,0.0,0,91
691720,0.00906,3,331
808975,0.0,0,131
676356,0.0,0,189
642350,0.02,2,100
545121,0.00658,2,304
606466,0.00477,2,419
547180,0.00238,1,421
696100,0.01042,4,384
686765,0.0,0,41
695238,0.0,0,45
668723,0.00599,1,167
663457,0.0,0,134
670623,0.03266,13,398
595879,0.0122,1,82
702222,0.0068,2,294
687093,0.01802,4,222
702284,0.01772,7,395
682626,0.0125,3,240
678011,0.0102,1,98
677594,0.01031,4,388
678554,0.01294,4,309
519317,0.0,0,96
671289,0.05792,15,259
641355,0.0,0,414
701678,0.0,0,165
699912,0.00565,1,177
696030,0.04188,8,191
690993,0.01071,3,280
668952,0.00662,1,151
663743,0.03478,8,230
647304,0.01,4,400
701398,0.00467,2,428
656941,0.00937,4,427
666182,0.00468,2,427
669236,0.00465,1,215
691740,0.01681,2,119
694203,0.0,0,123
814439,0.00741,1,135
621493,0.01104,5,453
660670,0.01695,4,236
668939,0.00704,2,284
669743,0.02222,3,135
682998,0.00976,4,410
694378,0.01869,2,107
656537,0.00671,1,149
664068,0.0,0,4
678009,0.02564,1,39
682515,0.0,0,6
661531,0.0,0,4
644433,0.0,0,30
686797,0.00519,2,385
663993,0.0,0,231
605137,0.00517,2,387
669257,0.00995,2,201
664040,0.00488,2,410
681082,0.00549,2,364
592450,0.00766,2,261
665923,0.04065,5,123
687221,0.01869,4,214
663886,0.0,0,265
671056,0.05467,24,439
545341,0.00667,1,150
683083,0.00314,1,318
668715,0.01348,5,371
807713,0.02041,3,147
695600,0.00278,1,360
624413,0.01155,5,433
663538,0.01155,5,433
695734,0.01199,5,417
665861,0.0,0,57
683011,0.0,0,164
668885,0.01779,5,281
687637,0.01258,2,159
683737,0.02283,10,438
691016,0.00833,3,360
622761,0.0,0,135
810938,0.00435,1,230
682997,0.01075,1,93
664728,0.01639,3,183
806198,0.01031,1,97
571448,0.01671,6,359
676609,0.01634,5,306
643217,0.0,0,298
701852,0.0,0,45
592626,0.00993,3,302
691026,0.01892,7,370
676724,0.03067,5,163
668709,0.00673,2,297
681508,0.0084,1,119
646240,0.00238,1,421
672724,0.02128,6,282
650968,0.0,0,33
678246,0.01422,6,422
607208,0.00467,2,428
682668,0.00621,1,161
624424,0.0,0,165
673237,0.00546,1,183
606192,0.00766,2,261
695731,0.00781,1,128
807747,0.0,0,30
677588,0.01047,2,191
669707,0.01345,3,223
665019,0.01462,5,342
694212,0.00322,1,311
592885,0.01034,3,290
663656,0.00508,2,394
680757,0.00822,3,365
666152,0.0042,1,238
680700,0.01271,3,236
605170,0.03309,9,272
686555,0.01835,6,327
695508,0.0,0,28
657041,0.00709,2,282
665750,0.00337,1,297
691788,0.01111,2,180
655316,0.0,0,177
683953,0.01017,3,295
669397,0.00971,1,103
678391,0.01869,4,214
682657,0.02058,5,243
608324,0.01577,7,444
608070,0.00318,1,314
662139,0.00629,2,318
669394,0.00777,3,386
823550,0.0,0,102
683357,0.0122,3,246
701305,0.0,0,69
683679,0.02174,1,46
672695,0.0099,4,404
687231,0.00746,1,134
681715,0.00415,1,241
666176,0.03163,13,411
642708,0.0,0,166
678218,0.0,0,191
702332,0.01796,6,334
695490,0.02632,3,114
686217,0.00639,2,313
545361,0.0109,4,367
683227,0.0,0,18
679845,0.02304,5,217
687263,0.01606,7,436
514888,0.00303,1,330
656305,0.0142,5,352
690976,0.00455,1,220
572233,0.0197,8,406
643446,0.01333,4,300
676369,0.01471,1,68
682987,0.0,0,82
687957,0.01923,1,52
669720,0.0,0,44
696135,0.0,0,89
672356,0.0,0,105
687551,0.02222,5,225
656484,0.00549,1,182
677592,0.02597,2,77
694514,0.03896,3,77
641584,0.0,0,90
672960,0.01519,6,395
665926,0.02516,8,318
641680,0.00529,1,189
694208,0.0,0,175
695257,0.0,0,39
664731,0.0,0,32
808959,0.00368,1,272
668942,0.0,0,40
596103,0.0,0,74
573262,0.01527,4,262
676439,0.00694,1,144
621438,0.0,0,136
682663,0.0155,2,129
665804,0.04321,7,162
663757,0.0,0,316
670042,0.02622,7,267
669701,0.00725,1,138
669065,0.01893,6,317
701350,0.00769,1,130
691176,0.00658,1,152
543510,0.0,0,73
645305,0.02632,1,38
680474,0.04225,3,71
666211,0.008,1,125
642715,0.00252,1,397
691777,0.02286,4,175
691781,0.0,0,177
687401,0.0,0,252
605141,0.00368,1,272
701675,0.00755,2,265
696285,0.01678,5,298
664702,0.0,0,169
642201,0.00769,1,130
695657,0.02284,9,394
665862,0.0027,1,371
683146,0.0089,3,337
596142,0.01105,2,181
624641,0.02395,4,167
673357,0.0,0,98
694371,0.0,0,134
686469,0.00325,1,308
620443,0.02186,4,183
593428,0.00796,3,377
682634,0.0,0,19
670231,0.0,0,21
664954,0.0073,1,137
701538,0.00246,1,407
642215,0.01515,1,66
683002,0.01545,7,453
596019,0.01087,2,184
691785,0.01316,3,228
670224,0.0,0,44
666397,0.00392,1,255
543807,0.00997,3,301
664761,0.0155,6,387
543309,0.01081,2,185
669899,0.0,0,60
657757,0.01208,4,331
670764,0.00722,2,277
694374,0.0,0,107
664023,0.01222,5,409
543877,0.0,0,194
668904,0.00758,2,264
663586,0.02261,9,398
681351,0.01255,3,239
683748,0.0,0,112
671655,0.0,0,38
641857,0.0,0,232
694388,0.00833,1,120
641487,0.01433,5,349
695020,0.0303,1,33
592663,0.02985,8,268
650859,0.00461,1,217
672284,0.0,0,69
596146,0.0,0,51
669326,0.0,0,51
521692,0.02067,8,387
681481,0.02075,5,241
663698,0.05,5,100
668901,0.01181,3,254
682177,0.0,0,265
702176,0.0,0,21
553993,0.00717,2,279
645302,0.01835,2,109
624428,0.01075,1,93
665953,0.01333,1,75
686611,0.02941,6,204
701358,0.0107,4,374
686780,0.01235,2,162
677870,0.04511,6,133
681297,0.00413,1,242
700932,0.01567,5,319
543760,0.00306,1,327
686668,0.0,0,122
666971,0.01058,2,189
621020,0.00272,1,367
679529,0.01305,5,383
624585,0.01553,5,322
702616,0.0,0,151
542303,0.00787,2,254
596115,0.00568,1,176
676694,0.00676,1,148
687515,0.0,0,107
663837,0.0,0,272
664774,0.0,0,46
681393,0.03433,8,233
666139,0.00524,1,191
657656,0.00971,2,206
672386,0.0,0,107
681807,0.0,0,151
663609,0.0,0,5
687952,0.0,0,5
691373,0.02703,1,37
571912,0.0,0,11
682641,0.0,0,21
695681,0.0,0,22
665966,0.01667,3,180
667670,0.00985,2,203
642133,0.0,0,11
669717,0.0,0,6
518595,0.05,2,40
678662,0.00575,2,348
656775,0.01529,5,327
641933,0.0113,2,177
630105,0.01765,3,170
691723,0.01176,3,255
592518,0.0,0,404
694377,0.02326,2,86
694728,0.0,0,226
682622,0.0,0,141
805300,0.02273,9,396
656716,0.0,0,256
680728,0.0,0,168
806068,0.0117,2,171
666969,0.01544,4,259
672820,0.00855,1,117
669357,0.0,0,229
690984,0.0,0,71
687363,0.01087,2,184
691019,0.01449,1,69
690924,0.01515,1,66
671732,0.00352,1,284
670156,0.0,0,30
457705,0.0,0,83
669004,0.03472,5,144
694497,0.0146,4,274
592206,0.0,0,122
663494,0.0,0,74
680574,0.00971,3,309
680776,0.01023,4,391
660162,0.01538,2,130
641555,0.0,0,92
666181,0.00877,1,114
700337,0.01744,3,172
699625,0.04,3,75
686452,0.01974,3,152
678489,0.00769,1,130
641598,0.00741,1,135
695336,0.0,0,82
663853,0.03636,2,55
687597,0.0,0,88
672275,0.0,0,202
692216,0.04,1,25
640459,0.0,0,14
608369,0.00913,2,219
677950,0.02,2,100
672761,0.0,0,175
623168,0.02703,3,111
677595,0.0,0,50
656582,0.0,0,45
596117,0.0625,2,32
669369,0.0,0,49
656555,0.01115,3,269
682877,0.01786,1,56
666464,0.0,0,35
815873,0.0,0,35
688363,0.0,0,97
670770,0.01802,4,222
624512,0.05882,2,34
668670,0.00971,1,103
643376,0.03521,5,142
664056,0.0,0,111
672016,0.0,0,60
593871,0.0,0,83
694410,0.01852,1,54
680737,0.05714,2,35
663697,0.03448,2,58
690291,0.0,0,8
805672,0.0,0,13
687282,0.01316,1,76
670242,0.03704,5,135
695720,0.0,0,7
680779,0.02551,5,196
663728,0.00342,1,292
606992,0.0119,1,84
676572,0.02381,1,42
666624,0.0137,1,73
807727,0.0,0,25
664059,0.02128,1,47
681546,0.00699,1,143
656413,0.03704,1,27
605244,0.0,0,19
694025,0.0,0,38
602104,0.05882,4,68
669398,0.0,0,38
663368,0.0099,1,101
805904,0.01887,1,53
666023,0.01198,2,167
669087,0.0,0,27
676914,0.0,0,118
678577,0.0,0,34
669224,0.0,0,226
663330,0.0,0,111
608841,0.04,1,25
687749,0.02,1,50
660710,0.01099,1,91
672642,0.0,0,7
669288,0.05882,1,17
666310,0.0,0,90
666931,0.0,0,7
690022,0.0,0,7
669256,0.1,1,10
656976,0.0,0,89
670097,0.01613,1,62
663647,0.00719,1,139
608701,0.02521,3,119
663584,0.0,0,17
660844,0.025,3,120
694376,0.0,0,24
691011,0.00813,1,123
669208,0.0,0,10
681987,0.05128,2,39
