batter,sb_per_pa_raw,sb,pa_ev
656448,0.0,0,6
671117,0.0,0,14
669392,0.0,0,5
642851,0.0,0,20
669743,0.04425,5,113
578428,0.02062,6,291
676946,0.0,0,3
660636,0.0,0,8
676439,0.0,0,14
687957,0.0,0,7
682619,0.0,0,3
677951,0.04372,31,709
669364,0.10231,31,303
665489,0.00287,2,697
592450,0.0142,10,704
663967,0.0,0,32
592885,0.06667,21,315
650333,0.01339,9,672
680728,0.01149,1,87
666165,0.0,0,38
621043,0.0,0,367
660271,0.08071,59,731
670541,0.00945,6,635
682668,0.0,0,40
645302,0.11525,34,295
695238,0.0,0,86
623520,0.0,0,48
664770,0.01099,1,91
542303,0.00145,1,688
671056,0.01931,5,259
650859,0.07895,24,304
680737,0.0,0,10
673237,0.00323,2,619
607208,0.03525,19,539
514888,0.03226,22,682
665561,0.0,0,56
667670,0.01792,11,614
701538,0.02698,16,593
680757,0.02222,12,540
606466,0.01201,7,583
545341,0.0,0,279
605141,0.03101,16,516
663656,0.03245,11,339
665742,0.00982,7,713
456781,0.00647,2,309
622110,0.0,0,10
547180,0.01109,7,631
664983,0.05051,25,495
609280,0.0094,3,319
680776,0.04626,34,735
669304,0.00466,2,429
681481,0.0,0,296
642215,0.03061,3,98
500743,0.02374,8,337
673548,0.02735,16,585
660766,0.00803,2,249
608701,0.00651,2,307
518692,0.01411,9,638
642201,0.07143,3,42
671277,0.04167,22,528
683002,0.02921,21,719
661388,0.01325,9,679
650490,0.0,0,621
807799,0.00475,2,421
666149,0.04985,17,341
595777,0.01497,10,668
642708,0.03757,13,346
672744,0.03571,1,28
664761,0.00825,5,606
657136,0.01643,8,487
608070,0.06012,41,682
621439,0.01804,7,388
666971,0.01266,7,553
608369,0.00188,1,533
621028,0.02572,8,311
680977,0.00767,5,652
641584,0.05236,20,382
665487,0.02511,11,438
681146,0.0,0,272
592626,0.01559,7,449
660162,0.02222,1,45
668804,0.01445,10,692
592518,0.01711,11,643
694192,0.03839,22,573
596019,0.04209,29,689
677594,0.03915,24,613
663538,0.04836,31,641
672695,0.0232,9,388
542932,0.06757,5,74
693049,0.0,0,38
606992,0.0,0,69
686765,0.03488,3,86
646240,0.00499,3,601
606192,0.0184,12,652
571448,0.00315,2,635
666023,0.00543,2,368
