rank,player_name,team,pos,own,ros_fp,fp_g,pa_tg,slot,repl_d,signal,pa_to
1,Juan Soto,NYM,OF,opp,47.5,2.68,2.3613,2.369,0.2608,add,359
2,Bobby Witt Jr.,KC,SS,opp,57.8,2.63,3.1316,2.0,0.2153,add,443
3,Yordan Alvarez,HOU,DH,opp,67.1,2.58,3.5919,2.0932,0.2663,add,522
4,Shohei Ohtani,LAD,TWP,opp,63.8,2.57,3.8847,1.0,0.0,hold,501
5,José Ramírez,CLE,3B,opp,47.0,2.53,3.3085,2.5529,0.2065,add,375
6,Junior Caminero,TB,3B,opp,64.4,2.5,3.9487,2.9068,0.1995,add,520
7,Aaron Judge,NYY,OF,MINE,31.9,2.48,2.1744,2.3898,0.2023,add,261
8,Corbin Carroll,AZ,OF,MINE,59.4,2.39,4.0372,2.2845,0.1776,add,503
9,Julio Rodríguez,SEA,OF,opp,53.3,2.3,3.8313,2.6542,0.1522,add,467
10,Nick Kurtz,ATH,1B,opp,49.6,2.29,2.8555,1.8144,0.0783,hold,436
11,Luis García Jr.,NYY,1B,MINE,44.5,2.25,2.988,2.9551,0.0695,hold,395
12,Ketel Marte,AZ,2B,opp,56.6,2.25,3.6684,1.4821,0.1279,add,505
13,James Wood,WSH,OF,opp,59.7,2.25,3.7578,1.0,0.1363,add,537
14,Matt Olson,ATL,1B,opp,58.4,2.25,3.794,3.1933,0.0672,hold,521
15,Jackson Chourio,MIL,OF,opp,42.9,2.24,4.0631,1.679,0.1341,add,386
16,Drake Baldwin,ATL,C,opp,47.2,2.23,3.997,1.8632,0.0901,add,428
17,Ronald Acuña Jr.,ATL,OF,opp,33.1,2.23,3.3465,1.1493,0.1308,add,297
18,Yandy Díaz,TB,DH,opp,55.3,2.22,3.7884,1.823,0.1639,add,500
19,Mookie Betts,LAD,SS,opp,38.0,2.22,3.2465,3.8025,0.0992,add,346
20,Josh Naylor,SEA,1B,opp,52.3,2.2,3.3941,4.0721,0.0553,hold,476
21,Pete Crow-Armstrong,CHC,OF,opp,57.6,2.19,4.0426,3.7288,0.1207,add,527
22,Jackson Merrill,SD,OF,MINE,53.9,2.19,3.6813,3.6,0.1205,add,492
23,Byron Buxton,MIN,OF,opp,39.2,2.18,2.5042,1.4146,0.1171,add,362
24,Pete Alonso,BAL,1B,MINE,55.9,2.18,3.6971,3.4118,0.0468,hold,516
25,Bryce Harper,PHI,1B,opp,55.3,2.17,3.5677,2.9496,0.0463,hold,509
26,Geraldo Perdomo,AZ,SS,opp,53.8,2.17,4.0165,2.6435,0.084,add,501
27,Michael Harris II,ATL,OF,MINE,48.7,2.16,3.5822,4.5429,0.1109,add,457
28,Cody Bellinger,NYY,OF,opp,46.7,2.15,2.3698,3.604,0.1088,add,435
29,Miguel Vargas,CWS,3B,opp,54.2,2.13,3.8548,2.625,0.0934,add,509
30,Shea Langeliers,ATH,C,opp,44.4,2.13,2.4635,2.3548,0.0603,hold,417
31,Freddie Freeman,LAD,1B,opp,52.2,2.12,3.3994,3.069,0.0324,hold,497
32,Alec Burleson,STL,1B,opp,52.8,2.12,3.7733,3.3304,0.032,hold,501
33,CJ Abrams,WSH,SS,opp,52.7,2.12,3.8059,4.0789,0.0706,hold,500
34,Nico Hoerner,CHC,2B,opp,54.4,2.12,3.6895,3.5913,0.0902,add,516
35,Francisco Lindor,NYM,SS,opp,28.9,2.11,3.7038,2.1935,0.0667,hold,275
36,Elly De La Cruz,CIN,SS,MINE,46.3,2.11,4.0459,2.051,0.0666,hold,440
37,Ben Rice,NYY,1B,opp,50.3,2.1,3.7628,2.3178,0.0245,hold,485
38,Brandon Nimmo,TEX,OF,opp,49.7,2.1,3.5036,2.6071,0.0935,add,478
39,Fernando Tatis Jr.,SD,OF,opp,54.5,2.1,4.0031,1.4224,0.0934,add,522
40,Chase DeLauter,CLE,OF,opp,44.9,2.1,3.6558,2.6701,0.0933,add,429
41,Spencer Horwitz,PIT,1B,FA,33.5,2.09,2.5435,4.4521,0.0228,hold,321
42,Kyle Tucker,LAD,OF,opp,47.5,2.08,3.1649,4.5833,0.0883,add,460
43,Kyle Schwarber,PHI,DH,opp,52.8,2.08,3.7023,1.7522,0.1226,add,509
44,Bryson Stott,PHI,2B,MINE,45.6,2.07,3.2615,6.1852,0.0778,add,445
45,Vladimir Guerrero Jr.,TOR,1B,MINE,48.0,2.05,3.4567,2.7,0.011,hold,471
46,Otto Lopez,MIA,SS,opp,50.8,2.04,3.7763,2.7345,0.0485,hold,501
47,William Contreras,MIL,C,opp,47.8,2.04,3.507,3.3077,0.0351,hold,472
48,Javier Sanoja,MIA,3B,FA,32.0,2.03,2.4682,7.8442,0.065,add,319
49,Daylen Lile,WSH,OF,opp,49.4,2.03,3.3301,5.0631,0.0749,add,489
50,Wilyer Abreu,BOS,OF,opp,50.3,2.02,3.672,3.4435,0.0724,hold,502
51,Jacob Wilson,ATH,SS,opp,32.9,2.02,3.6024,3.3896,0.0427,hold,329
52,Jared Young,NYM,1B,FA,23.0,2.01,2.3265,5.0714,0.0,hold,228
53,Gabriel Moreno,AZ,C,opp,37.7,2.0,3.3642,4.3721,0.0237,hold,377
54,Brice Turang,MIL,2B,opp,51.4,2.0,4.0597,2.1504,0.0564,hold,516
55,Luke Keaschall,MIN,2B,opp,43.4,2.0,3.0507,6.283,0.0557,hold,438
56,Vinnie Pasquantino,KC,1B,FA,33.6,1.99,2.6558,3.5769,-0.0052,hold,337
