team,year,bullpen_fp,bullpen_ip,n_rps,bullpen_fp_per_ip
ATH,2018,2354.3999999999996,748.0,17,3.1475935828877
ATH,2019,1742.7999999999997,519.3333333333333,11,3.3558408215661104
ATH,2021,1411.3,524.3333333333334,13,2.6916083916083915
ATH,2022,1332.8,529.3333333333334,16,2.5178841309823676
ATH,2023,846.5999999999999,448.66666666666663,22,1.886924219910847
ATH,2024,1343.8999999999996,496.33333333333326,16,2.707656145063801
ATH,2025,891.4999999999999,431.66666666666663,17,2.065250965250965
ATH,2026,322.79999999999995,112.66666666666667,8,2.865088757396449
ATL,2018,1597.1999999999998,534.0,13,2.991011235955056
ATL,2019,1807.8999999999999,603.0,16,2.998175787728026
ATL,2021,1700.6999999999998,545.6666666666666,14,3.1167379352474036
ATL,2022,1926.4999999999998,535.0,12,3.6009345794392518
ATL,2023,1992.5999999999997,648.6666666666666,16,3.0718396711202463
ATL,2024,1777.3999999999999,578.0,14,3.075086505190311
ATL,2025,1417.1999999999998,597.3333333333334,19,2.3725446428571426
ATL,2026,322.7,85.66666666666667,7,3.76692607003891
AZ,2018,1797.1999999999998,577.3333333333333,14,3.112933025404157
AZ,2019,1383.7,502.3333333333333,13,2.754545454545455
AZ,2021,732.4999999999999,421.66666666666663,18,1.7371541501976284
AZ,2022,1232.1999999999998,544.0,17,2.2650735294117643
AZ,2023,1575.7999999999997,582.6666666666666,17,2.7044622425629288
AZ,2024,1462.9,586.3333333333334,15,2.4949971574758387
AZ,2025,952.9999999999999,443.3333333333333,20,2.149624060150376
AZ,2026,289.4,94.66666666666666,7,3.057042253521127
BAL,2018,878.9999999999998,466.66666666666663,14,1.8835714285714282
BAL,2019,935.2999999999998,521.0,16,1.795201535508637
BAL,2021,1006.8,529.3333333333334,19,1.9020151133501257
BAL,2022,1517.9999999999998,590.0,19,2.572881355932203
BAL,2023,1732.4999999999998,571.6666666666666,15,3.030612244897959
BAL,2024,1779.4999999999998,578.3333333333334,14,3.0769452449567716
BAL,2025,918.4999999999999,408.3333333333333,15,2.2493877551020405
BAL,2026,347.7,109.0,9,3.189908256880734
BOS,2018,1558.8999999999999,486.3333333333333,15,3.2054146675805346
BOS,2019,1432.1,507.0,16,2.82465483234714
BOS,2021,1547.4,534.6666666666666,13,2.8941396508728183
BOS,2022,1011.4,461.33333333333337,14,2.1923410404624275
BOS,2023,1244.9999999999998,533.3333333333333,19,2.334375
BOS,2024,1566.1,587.0,17,2.6679727427597952
BOS,2025,1581.9,523.0,14,3.0246653919694073
BOS,2026,282.4,108.0,8,2.6148148148148147
CHC,2018,1907.7999999999997,669.3333333333333,19,2.8502988047808766
CHC,2019,1187.5,421.66666666666663,14,2.8162055335968383
CHC,2021,969.9999999999998,486.66666666666663,20,1.9931506849315066
CHC,2022,779.5999999999999,358.66666666666663,15,2.1736059479553904
CHC,2023,1343.3999999999999,501.3333333333333,13,2.6796542553191487
CHC,2024,1247.5,475.0,16,2.626315789473684
CHC,2025,1505.3,504.3333333333333,16,2.98473231989425
CHC,2026,208.99999999999994,80.0,7,2.6124999999999994
CIN,2018,1178.3999999999999,484.66666666666663,14,2.4313617606602476
CIN,2019,1246.1,413.66666666666663,11,3.0123287671232877
CIN,2021,1169.9999999999998,453.3333333333333,14,2.580882352941176
CIN,2022,1082.0,496.6666666666667,15,2.178523489932886
CIN,2023,1633.9999999999998,606.6666666666666,16,2.693406593406593
CIN,2024,1257.8999999999999,436.3333333333333,12,2.8828877005347593
CIN,2025,1337.1999999999998,444.0,13,3.0117117117117114
CIN,2026,351.8,122.66666666666667,9,2.8679347826086956
CLE,2018,1450.5,441.6666666666667,13,3.2841509433962264
CLE,2019,1287.8999999999999,459.66666666666663,14,2.8018129079042784
CLE,2021,1373.8,516.0,12,2.662403100775194
CLE,2022,1690.4999999999998,511.66666666666663,11,3.3039087947882733
CLE,2023,1774.1,587.0,13,3.0223168654173764
CLE,2024,2167.5,588.3333333333334,13,3.6841359773371103
CLE,2025,1690.8,549.3333333333334,12,3.077912621359223
CLE,2026,339.3,107.66666666666666,9,3.1513931888544895
COL,2018,1553.8,542.6666666666666,14,2.8632678132678135
COL,2019,1054.8999999999999,559.6666666666666,17,1.8848719475878497
COL,2021,1128.6999999999998,512.3333333333334,13,2.203057905009759
COL,2022,1106.1,483.66666666666663,13,2.286905582356995
COL,2023,823.9999999999998,493.3333333333333,17,1.6702702702702699
COL,2024,774.4,438.0,15,1.7680365296803653
COL,2025,832.9999999999998,473.3333333333333,13,1.759859154929577
COL,2026,273.79999999999995,112.66666666666666,7,2.430177514792899
CWS,2018,601.3,337.66666666666663,16,1.7807502467917078
CWS,2019,1317.1,530.3333333333334,14,2.4835323695788807
CWS,2021,1807.6999999999998,508.99999999999994,13,3.5514734774066796
CWS,2022,1561.3999999999999,528.0,14,2.9571969696969695
CWS,2023,785.3999999999999,444.6666666666667,16,1.7662668665667163
CWS,2024,612.5999999999999,402.0,14,1.5238805970149252
CWS,2025,952.6999999999999,402.3333333333333,18,2.367937033968517
CWS,2026,236.09999999999997,103.66666666666666,8,2.277491961414791
DET,2018,1268.7999999999997,569.3333333333333,15,2.228571428571428
DET,2019,868.0999999999999,510.3333333333333,17,1.7010450685826257
DET,2021,1127.3,491.0,14,2.295926680244399
DET,2022,1362.3999999999999,487.99999999999994,13,2.7918032786885245
DET,2023,1345.2999999999997,521.0,14,2.58214971209213
DET,2024,1267.7999999999997,459.3333333333333,13,2.7600870827285915
DET,2025,1450.3,511.0,15,2.838160469667319
DET,2026,259.29999999999995,114.33333333333333,9,2.2679300291545186
HOU,2018,1781.6,495.3333333333333,10,3.5967698519515476
HOU,2019,1650.8,489.3333333333333,13,3.3735694822888282
HOU,2021,1583.8999999999999,536.3333333333333,15,2.953200745804848
HOU,2022,1843.3,504.3333333333333,13,3.6549239920687375
HOU,2023,1669.3999999999999,548.0,13,3.0463503649635033
HOU,2024,1783.8999999999999,576.3333333333333,14,3.095257374204743
HOU,2025,1701.5,531.6666666666666,15,3.2003134796238246
HOU,2026,234.2,114.0,8,2.0543859649122806
KC,2018,720.4999999999999,418.3333333333333,13,1.7223107569721114
KC,2019,976.8999999999999,503.0,16,1.9421471172962224
KC,2021,1431.3,531.0,15,2.6954802259887005
KC,2022,1258.7999999999997,516.0,17,2.43953488372093
KC,2023,610.7999999999998,386.0,16,1.5823834196891187
KC,2024,1444.4999999999998,541.6666666666666,15,2.6667692307692303
KC,2025,1551.6999999999998,519.0,11,2.989788053949903
KC,2026,255.7,92.33333333333333,8,2.7693140794223825
LAA,2018,1517.2999999999997,617.6666666666666,19,2.456502968159741
LAA,2019,1126.8,466.0,16,2.4180257510729612
LAA,2021,1277.1999999999998,540.6666666666666,18,2.362268803945746
LAA,2022,1298.8999999999999,489.6666666666667,15,2.6526208304969363
LAA,2023,752.4,301.3333333333333,13,2.496902654867257
LAA,2024,961.5999999999997,455.3333333333333,17,2.111859443631039
LAA,2025,1459.3999999999999,581.3333333333333,20,2.510435779816514
LAA,2026,204.09999999999997,107.0,8,1.9074766355140185
LAD,2018,1863.8999999999999,619.6666666666666,18,3.007907477138246
LAD,2019,1409.6999999999998,495.66666666666663,12,2.8440484196368527
LAD,2021,1849.1,547.0,20,3.380438756855576
LAD,2022,1881.2,547.3333333333334,15,3.4370280146163212
