catcher,shadow_pitches,shadow_called_strikes,framing_rate,framing_lift_pct,player_name
607345,243,118,0.48559670781893005,23.28,Kevan Smith
547379,581,272,0.46815834767641995,18.85,Roberto Pérez
621532,294,137,0.46598639455782315,18.3,Anthony Bemboom
595956,934,435,0.4657387580299786,18.23,Cam Gallagher
668663,464,214,0.46120689655172414,17.08,Tres Barrera
624431,3466,1594,0.4598961338718984,16.75,Jose Trevino
444489,546,251,0.4597069597069597,16.7,Manny Piña
641511,1028,468,0.45525291828793774,15.57,Jason Delay
672275,3020,1369,0.45331125827814567,15.08,Patrick Bailey
661531,724,327,0.4516574585635359,14.66,Brian Serven
572287,1499,676,0.45096731154102737,14.48,Mike Zunino
605131,1872,837,0.44711538461538464,13.51,Austin Barnes
457763,863,385,0.4461181923522596,13.25,Buster Posey
518735,2549,1137,0.446057277363672,13.24,Yasmani Grandal
650619,211,94,0.44549763033175355,13.1,Meibrys Viloria
553882,2330,1035,0.44420600858369097,12.77,Omar Narváez
664850,327,145,0.4434250764525994,12.57,Patrick Mazeika
621512,1769,779,0.44036178631995476,11.79,Tomás Nido
608700,865,380,0.4393063583815029,11.52,Kevin Plawecki
664874,1296,569,0.4390432098765432,11.46,Seby Zavala
571466,2430,1065,0.4382716049382716,11.26,Tucker Barnhart
672386,3734,1635,0.43786823781467593,11.16,Alejandro Kirk
605244,603,264,0.43781094527363185,11.15,Aramis Garcia
595978,3143,1375,0.43748011454024816,11.06,Austin Hedges
425877,1847,804,0.43530048727666487,10.51,Yadier Molina
641555,246,107,0.4349593495934959,10.42,J.C. Escarra
624513,863,374,0.43337195828505215,10.02,Dom Nuñez
623168,1048,454,0.43320610687022904,9.98,Tyler Heineman
650907,603,261,0.43283582089552236,9.88,René Pinto
682626,2432,1049,0.43133223684210525,9.5,Francisco Alvarez
669087,450,194,0.4311111111111111,9.44,Sam Huff
668670,2301,991,0.43068231203824425,9.34,Jake Rogers
645305,340,146,0.4294117647058823,9.01,Ali Sánchez
488771,597,256,0.4288107202680067,8.86,Jason Castro
593590,201,86,0.42786069651741293,8.62,Webster Rivas
506702,787,335,0.4256670902160102,8.06,Sandy León
641680,4534,1930,0.42567269519188355,8.06,Jonah Heim
669224,2173,924,0.4252185918085596,7.95,Austin Wells
543309,3177,1345,0.4233553666981429,7.48,Kyle Higashioka
666165,548,232,0.4233576642335766,7.48,Blake Sabol
663728,4497,1895,0.4213920391372026,6.98,Cal Raleigh
545358,1552,650,0.41881443298969073,6.32,Max Stassi
663584,206,86,0.4174757281553398,5.98,Hayden Senger
669221,4253,1772,0.4166470726545968,5.77,Sean Murphy
519390,676,281,0.4156804733727811,5.53,Stephen Vogt
595751,1245,515,0.41365461847389556,5.01,Jorge Alfaro
671056,764,316,0.41361256544502617,5.0,Iván Herrera
543877,4116,1702,0.413508260447036,4.98,Christian Vázquez
605170,3299,1354,0.410427402243104,4.19,Victor Caratini
592200,1633,670,0.4102878138395591,4.16,Curt Casali
624512,2390,979,0.4096234309623431,3.99,Reese McGuire
662139,560,229,0.4089285714285714,3.81,Daulton Varsho
518595,3230,1318,0.40804953560371515,3.59,Travis d'Arnaud
665861,307,125,0.40716612377850164,3.37,Sebastián Rivero
669134,1199,484,0.4036697247706422,2.48,Luis Campusano
668939,3279,1318,0.40195181457761514,2.04,Adley Rutschman
572863,219,88,0.4018264840182648,2.01,Dustin Garneau
605421,965,387,0.40103626943005183,1.81,Michael Pérez
575929,3103,1244,0.4009023525620367,1.78,Willson Contreras
666163,1667,667,0.40011997600479904,1.58,Ben Rortvedt
595453,630,252,0.4,1.55,Chad Wallach
543228,2696,1073,0.39799703264094954,1.04,Yan Gomes
661388,4406,1751,0.39741261915569676,0.89,William Contreras
607732,3605,1428,0.39611650485436894,0.56,Jacob Stallings
668800,2446,965,0.39452166802943583,0.16,Andrew Knizner
519222,557,219,0.39317773788150806,-0.19,Austin Romine
663743,2938,1154,0.39278420694349897,-0.29,Nick Fortes
543510,2698,1058,0.3921423276501112,-0.45,James McCann
435559,1011,396,0.3916913946587537,-0.56,Kurt Suzuki
596142,2646,1031,0.3896447467876039,-1.08,Gary Sánchez
606988,260,101,0.38846153846153847,-1.38,Grayson Greiner
672515,2504,972,0.38817891373801916,-1.45,Gabriel Moreno
642336,1596,619,0.38784461152882205,-1.54,Francisco Mejía
642020,404,156,0.38613861386138615,-1.97,Chuckie Robinson
693307,1321,510,0.38607115821347465,-1.99,Dillon Dingler
641598,1424,548,0.3848314606741573,-2.3,Mitch Garver
543592,1856,714,0.38469827586206895,-2.34,Austin Nola
686676,1346,516,0.3833580980683507,-2.68,Korey Lee
666023,2119,812,0.38319962246342615,-2.72,Freddy Fermin
642851,1605,615,0.38317757009345793,-2.72,Austin Wynns
608596,1230,471,0.3829268292682927,-2.79,Tom Murphy
682848,505,193,0.3821782178217822,-2.98,Endy Rodríguez
455117,3975,1519,0.38213836477987423,-2.99,Martín Maldonado
600474,1073,409,0.3811742777260019,-3.23,Pedro Severino
681807,271,103,0.3800738007380074,-3.51,David Fry
657709,316,120,0.379746835443038,-3.6,Michael Papierski
656577,1034,392,0.379110251450677,-3.76,Alex Jackson
620443,1699,644,0.3790464979399647,-3.77,Luis Torrens
595284,507,192,0.378698224852071,-3.86,Andrew Knapp
645444,1669,631,0.378070701018574,-4.02,Jose Herrera
666310,2624,992,0.3780487804878049,-4.03,Bo Naylor
680777,3293,1242,0.377163680534467,-4.25,Ryan Jeffers
663698,2337,881,0.3769790329482242,-4.3,Joey Bart
669257,4979,1876,0.37678248644306084,-4.35,Will Smith
664731,292,110,0.3767123287671233,-4.37,P.J. Higgins
553869,4476,1684,0.3762287756925827,-4.49,Elias Díaz
608348,3501,1317,0.37617823479005996,-4.5,Carson Kelly
665804,1569,589,0.3753983428935628,-4.7,Miguel Amaya
