player,team,expect,signal,note,saves_self,saves_teammates,team_chances,appearances,actionable
Jeff Hoffman,Minnesota Twins,CLOSER,ROLE_LOST,1 save(s) went to a teammate over 1 chance(s) and he took none,0,1,1,2,True
Jhoan Duran,Philadelphia Phillies,CLOSER,ROLE_LOST,1 save(s) went to a teammate over 2 chance(s) and he took none,0,1,2,2,True
Tanner Scott,Los Angeles Dodgers,SETUP,ROLE_LOST,3 save(s) went to a teammate over 4 chance(s) and he took none,0,3,4,3,False
Edwin Díaz,Los Angeles Dodgers,CLOSER,HOLDS_ROLE,recorded 2 save(s) of 4 chance(s),2,1,4,3,False
Emilio Pagán,Cincinnati Reds,CLOSER,HOLDS_ROLE,recorded 2 save(s) of 3 chance(s),2,1,3,2,False
Jacob Latz,Texas Rangers,CLOSER,HOLDS_ROLE,recorded 2 save(s) of 2 chance(s),2,0,2,2,False
David Bednar,New York Yankees,CLOSER,HOLDS_ROLE,recorded 1 save(s) of 1 chance(s),1,0,1,1,False
Louis Varland,Toronto Blue Jays,CLOSER,HOLDS_ROLE,recorded 4 save(s) of 5 chance(s),4,1,5,4,False
Luke Weaver,Pittsburgh Pirates,CLOSER,NO_CHANCES,"club had no save opportunities in the window — role status UNKNOWN, not confirmed",0,1,0,2,False
Gregory Soto,Pittsburgh Pirates,SETUP,NO_CHANCES,"club had no save opportunities in the window — role status UNKNOWN, not confirmed",0,1,0,3,False
