mlbam,player_name,role,own,our_total,our_vol,our_rate,cons_mean,cons_std,n_sys,systems,cons_vol,cons_rate,diff,z,vol_ratio,rate_ratio,vol_share,decomp,flag,fg_team,team_games_remaining
670541,Yordan Alvarez,H,opp:Late Night Bet,174.697,221.804,0.788,190.115,16.891,4,ATC+FG-DC+ZiPS+Steamer,249.549,0.761,-15.418,-0.01,0.889,1.035,0.78,VOLUME,,HOU,64.8
665742,Juan Soto,H,opp:Treasure Islan,173.199,227.966,0.76,224.406,9.055,4,ATC+FG-DC+ZiPS+Steamer,279.12,0.804,-51.207,-1.988,0.817,0.945,0.78,VOLUME,,NYM,64.8
660271,Shohei Ohtani,H,opp:Frendy's Fanta,176.581,250.757,0.704,218.507,7.042,4,ATC+FG-DC+ZiPS+Steamer,286.191,0.764,-41.926,-1.475,0.876,0.922,0.62,MIXED,,LAD,64.8
691406,Junior Caminero,H,opp:Boone's Bad Bu,181.061,257.969,0.702,200.536,7.56,4,ATC+FG-DC+ZiPS+Steamer,292.605,0.685,-19.475,-0.234,0.882,1.024,0.84,VOLUME,,TBR,64.8
592450,Aaron Judge,H,MINE,92.845,135.218,0.687,125.346,41.524,4,ATC+FG-DC+ZiPS+Steamer,163.312,0.769,-32.5,-0.954,0.828,0.892,0.62,MIXED,,NYY,64.8
677951,Bobby Witt Jr.,H,opp:2015 Draft Fir,153.349,223.579,0.686,204.148,6.255,4,ATC+FG-DC+ZiPS+Steamer,283.902,0.719,-50.799,-1.965,0.788,0.954,0.84,VOLUME,,KCR,64.8
606466,Ketel Marte,H,opp:2015 Draft Fir,155.658,234.66,0.663,185.431,11.235,4,ATC+FG-DC+ZiPS+Steamer,274.695,0.675,-29.773,-0.803,0.854,0.983,0.9,VOLUME,,ARI,64.8
671277,Luis García Jr.,H,MINE,121.664,187.499,0.649,139.748,6.075,4,ATC+FG-DC+ZiPS+Steamer,222.696,0.627,-18.084,-0.157,0.842,1.034,0.84,VOLUME,,WSN,64.8
608070,José Ramírez,H,opp:Late Night Bet,87.155,134.635,0.647,162.567,14.823,4,ATC+FG-DC+ZiPS+Steamer,220.563,0.738,-75.413,-3.326,0.61,0.877,0.79,VOLUME,,CLE,64.8
701762,Nick Kurtz,H,opp:Treasure Islan,161.222,249.214,0.647,173.652,7.218,4,ATC+FG-DC+ZiPS+Steamer,281.103,0.618,-12.43,0.156,0.887,1.047,0.72,VOLUME,,ATH,64.8
621566,Matt Olson,H,opp:Team Solomon,153.544,237.401,0.647,173.069,4.107,4,ATC+FG-DC+ZiPS+Steamer,292.865,0.591,-19.525,-0.237,0.811,1.094,0.7,VOLUME,,ATL,64.8
605141,Mookie Betts,H,opp:Late Night Bet,139.236,216.413,0.643,180.579,13.869,4,ATC+FG-DC+ZiPS+Steamer,262.304,0.688,-41.343,-1.443,0.825,0.935,0.74,VOLUME,,LAD,64.8
650490,Yandy Díaz,H,opp:Late Night Bet,151.449,235.956,0.642,180.634,8.048,4,ATC+FG-DC+ZiPS+Steamer,288.974,0.625,-29.185,-0.771,0.817,1.027,0.89,VOLUME,,TBR,64.8
695578,James Wood,H,opp:Team Solomon,178.706,282.444,0.633,167.011,2.588,4,ATC+FG-DC+ZiPS+Steamer,285.401,0.585,11.695,1.489,0.99,1.081,0.12,RATE,,WSN,64.8
