name,fp_adj,ros_adj,cur_ros,adj_ros,d_velo_all,d_ext_all,d_ivb_all,d_release_x_std,d_whiff_per_swing,d_spin_fb,d_whiff_fb,d_whiff_br
Emmet Sheehan,-0.9619982539234158,-23.087958094161976,323.28000000000003,300.19204190583804,-2.5010739564633013,-0.05393001197558611,-2.578284702389273,-0.00564006323323285,0.9856413394437595,30.384195401760735,4.23249098656029,-2.019599208924326
Spencer Strider,-1.2554605779462202,-30.131053870709287,285.84000000000003,255.70894612929075,-2.4290095970425796,-0.25856254394665523,-2.89201044203198,-0.04009821944978678,-3.4581204810278123,34.75171699840439,-8.101454799568007,2.870237853484312
Carlos Rodon,-0.04879816284801858,-1.1711559083524459,265.68,264.5088440916476,1.196806903701912,0.05743839461844846,0.7576634004872282,0.0011567314131482598,-1.7212804377765956,-12.461847631100682,0.9981305581280253,-11.625197721348393
Kyle Bradish,-0.7785560972831047,-18.685346334794513,258.71999999999997,240.03465366520547,-0.8673110147366003,-0.07962060254760761,-0.9590370829668089,-0.003973230502335168,-2.7926336724431806,-22.808242866029104,-7.441729961109807,-1.1427945261848507
Eury Perez,-0.512019901585064,-12.288477638041538,283.68,271.3915223619585,0.7771007112324781,0.010345939172860419,1.0883158965002462,-0.03988449014376483,-2.5770308123249315,-9.187379709106153,3.47037800227535,-8.791789768309755
Tyler Glasnow,-0.44713776714616005,-10.731306411507841,290.4,279.66869358849215,-1.4158579792566712,-0.04953547864567387,-1.8431677174209273,-0.028062355436382413,-1.0309660172249657,-8.032204252303472,-4.198426939402692,4.7710074643309355
Sonny Gray,-2.037140269573257,-48.89136646975817,232.79999999999998,183.90863353024181,-0.2858521362807238,-0.04867989774602499,-0.30352460812031534,-0.067164006604081,-8.920418501556949,-18.008171459563982,-4.80358723391992,-12.61945732114495
Framber Valdez,-1.938755646947018,-46.53013552672843,216.0,169.46986447327157,-0.7603975619619092,-0.11921650652542137,-0.7674759184045816,0.047907251499240605,-5.325010647554041,-8.685317414485326,-3.7151572355145692,-4.306885513257974
Max Fried,-0.7436021118451437,-17.846450684283447,301.44,283.59354931571653,0.39309143956008086,-0.003589525983980657,1.3909189048025494,0.02901868996893428,-0.37630659084025453,-33.735805077000805,4.413918457051896,-12.448860315604904
Robbie Ray,-0.15152753387229034,-3.6366608129349682,252.95999999999998,249.32333918706502,-1.1348914829513603,0.031494982591744325,-0.9626157844931704,-0.018209824336833796,-1.55504926485715,30.068063346939653,-6.673780991067019,4.952234865193493
Freddy Peralta,-1.1851160705722616,-28.44278569373428,296.64,268.1972143062657,-0.3151599651388324,-0.2941341304626599,-0.26035878343181906,-0.0019217065653872045,-2.2040934426864602,-31.522979607225352,-0.6438649033095238,-2.218456059700472
