name,pos,rh3,ros,own,asg,g,regime,gap,sup,opp,ev
Jose Altuve,2B,41,2.081,75.0,2.05,19,RECOVERING,-0.107,2.0,1.0,3
Caleb Durbin,3B,66,1.993,44.2,3.36,22,OVEREXTENDED,0.142,1.0,4.0,5
Masyn Winn,SS,74,1.99,5.5,1.36,22,STALLED,-0.12,0.0,3.0,3
Bo Bichette,SS,153,1.905,71.3,1.2,20,STALLED,-0.376,0.0,6.0,6
Jarren Duran,LF,142,1.879,71.0,2.0,22,RECOVERING,-0.043,2.0,2.0,4
Trent Grisham,CF,137,1.835,20.7,0.86,21,STALLED,-0.371,2.0,3.0,5
Lars Nootbaar,LF,31,1.824,3.0,1.14,21,RECOVERING,-0.148,2.0,1.0,3
Nolan Schanuel,1B,175,1.778,4.5,2.1,20,RECOVERING,-0.048,3.0,0.0,3
Bryson Stott,2B,92,1.775,43.7,3.3,20,OVEREXTENDED,0.287,1.0,3.0,4
Travis Bazzana,2B,155,1.704,20.5,1.85,20,NO 2025 BASELINE,,,,0
Jonathan Aranda,1B,231,1.693,40.0,1.0,20,STALLED,-0.331,2.0,4.0,6
Alec Bohm,3B,161,1.677,17.7,2.45,20,SUSTAINED,0.09,2.0,1.0,3
Jakob Marsee,CF,83,1.671,26.1,1.65,17,RECOVERING,-0.154,1.0,0.0,1
Vinnie Pasquantino,1B,42,1.645,40.9,1.89,9,STALLED,-0.169,0.0,0.0,0
Chandler Simpson,CF,210,1.629,39.7,2.5,20,OVEREXTENDED,0.066,1.0,1.0,2
Colson Montgomery,SS,214,1.623,34.2,0.95,19,STALLED,-0.409,0.0,4.0,4
Teoscar Hernández,RF,89,1.623,50.9,1.89,19,AT-LEVEL,-0.026,1.0,1.0,2
Jake Mangum,LF,208,1.62,5.7,1.7,20,STALLED,-0.124,0.0,5.0,5
Salvador Perez,C,162,1.615,67.0,2.55,20,OVEREXTENDED,0.092,1.0,2.0,3
Heriberto Hernández,LF,100,1.603,3.5,1.05,20,STALLED,-0.271,0.0,4.0,4
Isaac Collins,LF,101,1.595,0.7,1.6,20,RECOVERING,-0.137,1.0,0.0,1
Cam Smith,RF,120,1.59,7.3,2.0,16,OVEREXTENDED,0.104,0.0,2.0,2
Nathaniel Lowe,1B,53,1.587,1.9,2.94,16,SUSTAINED,0.297,1.0,0.0,1
Dylan Crews,RF,154,1.58,7.3,2.16,19,OVEREXTENDED,0.033,1.0,1.0,2
Yainer Diaz,C,75,1.574,42.7,1.86,14,STALLED,-0.043,0.0,0.0,0
Brayan Rocchio,SS,186,1.566,24.6,1.0,21,RECOVERING,-0.169,3.0,2.0,5
Javier Sanoja,LF,37,1.55,5.2,1.95,21,AT-LEVEL,0.028,1.0,2.0,3
Carter Jensen,C,207,1.541,35.9,1.62,21,STALLED,-0.423,0.0,6.0,6
A.J. Ewing,CF,250,1.506,9.7,1.42,19,NO 2025 BASELINE,,,,0
Jake Burger,1B,181,1.497,9.0,1.2,20,STALLED,-0.131,0.0,2.0,2
Brandon Marsh,CF,211,1.496,38.8,1.1,20,RECOVERING,-0.194,2.0,2.0,4
Cole Young,2B,276,1.487,14.6,2.57,21,SUSTAINED,0.218,5.0,1.0,6
Spencer Horwitz,1B,65,1.485,6.4,1.14,7,STALLED,-0.269,0.0,0.0,0
Nathan Church,CF,62,1.479,1.1,1.5,20,SUSTAINED,0.115,3.0,2.0,5
Chase Meidroth,SS,344,1.456,10.8,3.1,20,OVEREXTENDED,0.323,1.0,3.0,4
Masataka Yoshida,DH,77,1.441,1.3,2.55,20,SUSTAINED,0.196,2.0,1.0,3
Blaze Jordan,1B,35,1.436,1.6,1.63,19,NO 2025 BASELINE,,,,0
Nasim Nuñez,SS,131,1.433,9.5,1.62,21,RECOVERING,-0.169,3.0,2.0,5
Nick Gonzales,2B,349,1.428,23.8,2.32,22,SUSTAINED,0.159,3.0,2.0,5
Willy Adames,SS,330,1.426,49.1,1.86,21,STALLED,-0.048,0.0,5.0,5
Jasson Domínguez,LF,237,1.426,2.9,1.18,17,STALLED,-0.203,2.0,2.0,4
Jacob Young,CF,108,1.425,1.7,3.18,17,OVEREXTENDED,0.466,1.0,1.0,2
Jo Adell,CF,315,1.417,33.0,1.1,20,STALLED,-0.271,1.0,3.0,4
Jac Caglianone,RF,218,1.413,39.4,2.89,19,SUSTAINED,0.452,3.0,0.0,3
Eugenio Suárez,3B,221,1.399,38.0,1.28,18,STALLED,-0.268,0.0,1.0,1
