name,batter,rank,ros_fp_g,key,chase,zswing,whiff,swstr,k_pct,up,dn,net,asg_fpg,asg_g,pos,own
Jarren Duran,680776,142,1.8793609838925174,jarren duran,,7.9,-6.7,-1.9,-7.6,4,0,4,2.0,22,LF,71.1
Nick Gonzales,693304,349,1.427698934797982,nick gonzales,,0.1,-2.5,-0.6,-2.8,4,0,4,2.3181818181818183,22,2B,23.9
Daulton Varsho,662139,266,1.364606660777357,daulton varsho,-0.2,,-2.6,-0.9,-2.0,4,0,4,0.95,20,CF,9.1
Nolan Schanuel,694384,175,1.7783745456274695,nolan schanuel,-5.4,,,-3.8,-6.4,3,0,3,2.1,20,1B,4.5
Alec Bohm,664761,161,1.677442280964285,alec bohm,,2.3,,-0.8,-3.2,3,0,3,2.2857142857142856,21,3B,17.7
Cole Young,702284,276,1.487150962800256,cole young,0.7,1.1,-7.8,-3.7,-9.1,4,1,3,2.5714285714285716,21,2B,14.7
Garrett Mitchell,669003,194,1.3683666262287073,garrett mitchell,0.3,1.4,-2.1,-1.2,-6.6,4,1,3,1.3,20,CF,5.4
Jake Cronenworth,630105,292,1.3671683091419862,jake cronenworth,0.6,1.2,-4.4,-1.7,-3.3,4,1,3,1.85,20,2B,3.2
Kody Clemens,665019,373,1.2714799486772412,kody clemens,1.4,0.7,-4.9,-1.9,-1.8,4,1,3,1.6,20,1B,24.7
Lars Nootbaar,663457,31,1.8235669458201829,lars nootbaar,0.6,5.5,,-0.0,-2.2,3,1,2,1.1428571428571428,21,LF,3.0
Jakob Marsee,805300,83,1.6711455032535194,jakob marsee,,,,-0.6,-0.7,2,0,2,1.6470588235294117,17,CF,26.1
Brandon Marsh,669016,211,1.4957305259930165,brandon marsh,2.2,,-6.4,-3.7,-5.2,3,1,2,1.0,21,CF,38.8
Nathan Church,701675,62,1.4792676040754524,nathan church,0.6,,-2.4,-1.0,-5.7,3,1,2,1.5,20,CF,1.1
Chase Meidroth,805367,344,1.4556059745663767,chase meidroth,4.1,3.8,,-0.8,-7.1,3,1,2,3.1,20,SS,10.8
Masataka Yoshida,807799,77,1.4406224809440198,masataka yoshida,,,,-1.5,-4.4,2,0,2,2.55,20,DH,1.3
Blaze Jordan,691458,35,1.435981174903029,blaze jordan,,,,-0.6,-2.0,2,0,2,1.631578947368421,19,1B,1.6
Nasim Nuñez,683083,131,1.4327925278922775,nasim nunez,-3.1,-2.0,,-4.7,-13.8,3,1,2,1.619047619047619,21,SS,9.5
Jac Caglianone,695506,218,1.413285514677006,jac caglianone,,,,-5.4,-15.5,2,0,2,2.8947368421052633,19,RF,39.0
Michael Massey,686681,132,1.2889650863348903,michael massey,,,,-1.1,-0.5,2,0,2,1.75,20,2B,0.7
Gavin Sheets,657757,172,1.254869755997438,gavin sheets,,,,-1.6,-8.4,2,0,2,0.8947368421052632,19,LF,9.1
Colt Keith,690993,191,1.2501897236242476,colt keith,,,,-1.0,-2.3,2,0,2,2.0952380952380953,21,DH,5.5
Kyle Karros,691720,202,1.244453003735784,kyle karros,,,,-1.5,-3.5,2,0,2,2.4,15,3B,4.5
Andruw Monasterio,655316,145,1.2110371766922574,andruw monasterio,-4.5,-6.4,,-1.1,-5.2,3,1,2,3.3333333333333335,18,SS,8.0
José Fermín,665877,68,1.2048375054671714,jose fermin,,,,-1.4,-5.8,2,0,2,1.736842105263158,19,RP,0.0
Jared Young,676724,112,1.2040492971600725,jared young,,,,-0.4,-3.4,2,0,2,2.0588235294117645,17,DH,0.3
Carson Kelly,608348,235,1.0775693295615192,carson kelly,,,,-4.0,-0.1,2,0,2,1.6875,16,C,11.6
Justin Crawford,702222,241,1.0756494710842273,justin crawford,,,,-1.9,-10.4,2,0,2,2.0,18,CF,3.7
Zach McKinstry,656716,369,1.0398602967508093,zach mckinstry,,,,-1.3,-6.8,2,0,2,2.0476190476190474,21,3B,3.0
Jeff McNeil,643446,238,1.0193770379214553,jeff mcneil,,,,-0.0,-1.1,2,0,2,2.3529411764705883,17,2B,5.4
Jackson Holliday,702616,336,1.0119593654807828,jackson holliday,,,,-2.2,-0.9,2,0,2,1.6,20,2B,24.9
Andrés Giménez,665926,425,0.8728547675975754,andres gimenez,,,,-0.9,-2.2,2,0,2,1.736842105263158,19,2B,8.1
Austin Martin,668885,459,0.7602172574314635,austin martin,,,,-2.0,-2.6,2,0,2,1.0555555555555556,18,LF,0.7
Max Kepler,596146,413,0.7573505770918766,max kepler,,,,-3.8,-8.7,2,0,2,1.6111111111111112,18,LF,0.2
Jim Jarvis,805347,404,0.7492230660222781,jim jarvis,,,,-0.3,-7.2,2,0,2,1.4,20,SS,0.4
Ryan Waldschmidt,814439,468,0.6914576764612655,ryan waldschmidt,,,,-1.0,-6.5,2,0,2,1.9411764705882353,17,LF,2.1
Jose Altuve,514888,41,2.0810610348443825,jose altuve,3.2,,,-4.4,-8.8,2,1,1,2.0526315789473686,19,2B,74.9
Caleb Durbin,702332,66,1.993383905725034,caleb durbin,-1.0,3.4,0.8,0.4,-2.8,3,2,1,3.3636363636363638,22,3B,44.0
Jonathan Aranda,666018,231,1.6927099703376793,jonathan aranda,3.6,2.1,-2.1,-0.2,7.7,3,2,1,1.0,20,1B,40.0
