name,pos,team,HR,PA,rh3,bs,bs_pctl,bs_yoy,proj_pa,owned
Joc Pederson,DH,Tex,6,61,96,70.11,49.0,-1.74,2.38,3.8
Willi Castro,RF,Col,6,71,229,71.34,70.0,1.44,3.0,19.9
Marcus Semien,2B,NYM,5,69,185,66.49,9.0,0.07,2.86,35.5
Eugenio Suárez,3B,Cin,5,72,221,68.81,30.0,-0.68,2.98,38.0
Salvador Perez,C,KC,5,83,162,70.16,51.0,-1.16,3.23,67.0
Andrés Chaparro,1B,Wsh,5,48,114,72.14,78.0,1.57,1.42,0.2
Griffin Conine,LF,Mia,5,70,86,,,,2.35,1.8
Austin Riley,3B,Atl,5,83,446,73.88,93.0,-0.11,3.17,62.6
Jac Caglianone,RF,KC,5,73,218,75.75,99.0,-0.12,3.01,38.9
Tyler Stephenson,C,Cin,4,59,93,69.0,33.0,1.05,2.36,5.0
Taylor Trammell,CF,Hou,4,54,144,73.6,91.0,1.47,1.97,0.4
Rhys Hoskins,1B,Cle,4,42,313,70.01,48.0,1.94,2.01,1.4
Tyrone Taylor,CF,ChC,4,41,297,69.88,46.0,1.12,1.44,0.8
Willy Adames,SS,SF,4,85,330,70.54,59.0,0.14,3.47,49.1
Victor Mesa Jr.,LF,TB,4,55,240,,,,2.19,0.3
Chase Meidroth,SS,ChW,4,83,344,65.17,4.0,-0.28,3.6,10.9
Joe Mack,C,Mia,4,55,173,,,,2.01,2.4
Jonny DeLuca,CF,TB,3,53,301,71.44,71.0,2.46,2.09,0.5
Patrick Bailey,C,Cle,3,50,400,70.8,65.0,0.77,1.98,0.8
Nathaniel Lowe,1B,Cle,3,65,53,72.91,86.0,1.86,2.66,1.9
Kody Clemens,1B,Min,3,83,373,70.42,57.0,-0.38,3.27,24.7
Jose Trevino,C,Cin,3,24,197,67.2,15.0,0.1,1.44,0.1
Tyler O'Neill,RF,Bal,3,42,236,71.03,68.0,-1.59,1.71,0.7
Teoscar Hernández,RF,LAD,3,71,89,70.51,59.0,-0.48,2.91,51.0
Daniel Susac,C,SF,3,44,399,,,,2.17,0.7
Coby Mayo,1B,Bal,3,47,363,73.66,92.0,0.95,2.16,1.2
Heriberto Hernández,LF,Mia,3,83,100,72.44,80.0,1.33,2.9,3.6
Spencer Jones,CF,NYY,3,47,362,,,,1.92,6.3
Ryan Jeffers,C,Min,3,71,299,71.03,67.0,0.62,2.98,40.6
Kyle Manzardo,DH,Cle,3,46,244,68.09,21.0,-0.72,2.55,2.5
Cole Young,2B,Sea,3,89,276,69.73,42.0,0.1,3.36,14.7
Tim Tawa,CF,Ari,3,85,458,71.5,72.0,0.88,2.48,2.4
Jacob Gonzalez,2B,Pit,3,54,296,,,,1.91,0.9
Cam Smith,RF,Hou,3,67,120,75.6,98.0,3.25,2.99,7.3
Bryce Eldridge,DH,SF,3,84,305,,,,2.95,8.8
Carter Jensen,C,KC,3,91,207,,,,3.24,35.9
Dominic Canzone,RF,Sea,3,86,180,72.98,87.0,1.78,2.77,12.6
Jarren Duran,LF,Bos,3,90,142,73.0,87.0,-0.2,3.69,71.1
Francisco Alvarez,C,NYM,3,63,284,72.5,81.0,0.37,2.41,11.3
Brett Baty,3B,NYM,3,42,447,73.1,88.0,0.24,2.29,2.7
Andrew Vaughn,1B,Mil,3,60,160,68.21,23.0,-0.82,2.56,3.5
Jo Adell,CF,Cle,3,80,315,75.43,98.0,0.12,3.35,33.1
Jake Burger,1B,Tex,3,75,181,73.65,91.0,0.5,3.05,9.0
Trevor Larnach,DH,Min,3,58,386,70.18,51.0,0.02,2.79,5.9
Lane Thomas,CF,Atl,3,69,126,70.46,58.0,-0.42,2.42,1.6
Christian Encarnacion-Strand,1B,Bal,3,59,225,71.48,72.0,-0.9,2.07,2.6
Dylan Crews,RF,Wsh,3,86,154,71.7,73.0,0.45,3.14,7.3
Jose Altuve,2B,Hou,2,83,41,66.47,9.0,-0.75,3.43,74.9
Mike Yastrzemski,RF,Atl,2,35,384,69.61,41.0,0.02,1.9,1.2
Jonah Heim,C,Oak,2,81,374,68.73,30.0,1.37,2.77,4.2
Dominic Smith,1B,Atl,2,36,414,66.91,13.0,1.33,1.51,2.2
James McCann,C,Ari,2,40,445,70.69,62.0,0.72,1.46,0.5
Nick Gonzales,2B,Pit,2,94,349,68.88,31.0,0.37,3.56,23.9
Vaughn Grissom,2B,LAA,2,81,311,,,,3.01,3.8
Hao-Yu Lee,3B,Det,2,50,310,,,,1.95,1.6
Richie Palacios,LF,TB,2,49,365,66.89,13.0,-0.36,1.91,0.4
Endy Rodríguez,1B,Pit,2,37,270,,,,1.86,2.1
James Outman,CF,Det,2,33,462,69.45,38.0,-0.8,1.26,0.1
Michael Massey,2B,KC,2,74,132,70.39,55.0,1.47,2.46,0.7
Josh Bell,DH,Min,2,80,408,70.43,57.0,-1.12,3.18,12.7
Luis Torrens,C,NYM,2,38,448,68.68,29.0,-0.59,1.48,0.5
Ryan Waldschmidt,LF,Ari,2,59,468,,,,2.32,2.1
Masataka Yoshida,DH,Bos,2,71,77,70.37,55.0,0.28,2.52,1.3
Cooper Pratt,SS,Mil,2,70,281,,,,2.38,5.3
Henry Bolte,RF,Oak,2,69,394,,,,2.72,2.1
Caleb Durbin,3B,Bos,2,99,66,66.91,13.0,1.76,3.41,43.9
Jimmy Crooks,C,StL,2,40,116,,,,1.25,0.1
Colson Montgomery,SS,ChW,2,84,214,74.47,96.0,-0.97,3.45,34.2
Austin Wells,C,NYY,2,45,353,70.76,63.0,-0.77,2.08,6.1
Brooks Lee,SS,Min,2,75,432,68.07,20.0,0.7,3.28,38.6
Yainer Diaz,C,Hou,2,58,75,70.84,65.0,0.45,2.74,42.8
José Caballero,RF,NYY,2,55,232,65.42,5.0,-0.92,2.56,29.2
Luis Robert Jr.,CF,NYM,2,54,368,74.3,95.0,0.92,2.75,13.1
Travis Bazzana,2B,Cle,2,84,155,,,,3.39,20.6
Dalton Rushing,C,LAD,2,40,59,70.62,61.0,-0.08,1.72,9.3
Joey Ortiz,SS,Mil,2,41,222,71.39,70.0,0.56,1.97,1.3
Petey Halpin,CF,Cle,2,58,239,,,,1.62,0.1
Leody Taveras,CF,Bal,2,64,387,70.06,48.0,1.03,2.5,0.7
Trent Grisham,CF,NYY,2,83,137,69.15,34.0,-0.08,3.53,20.7
Ke'Bryan Hayes,3B,Cin,2,39,149,69.58,40.0,-0.05,1.97,0.4
Alec Bohm,3B,Phi,2,86,161,69.63,41.0,-0.65,3.35,17.7
Nick Fortes,C,TB,2,42,395,70.6,60.0,0.55,1.6,2.9
