mlbam,name,mlb_team,HR,PA,K,R,RBI,BB,TB,SB,HBP,FP,k,own,ambiguous,batter,rank,xfp_rh3_per_pa,mlbam_id,proj_ros_pa_per_teamgame,pa_per_teamgame_to,is_on_il_at_split,vol_used,RoS,postASG_FP_PA,postASG_K%
664761,Alec Bohm,,2,63,9,6,13,2,26,1,1,40,alec bohm,FA,False,664761.0,101.0,0.5306272349441967,664761.0,3.1299,3.9286,0.0,3.9286,102.1,0.635,14.3
695657,Colson Montgomery,,2,61,23,6,10,5,18,0,0,16,colson montgomery,FA,False,695657.0,133.0,0.511360667261891,695657.0,3.2118,3.991,0.0,3.991,100.0,0.262,37.7
642715,Willy Adames,,3,65,17,12,10,6,23,2,1,37,willy adames,FA,False,642715.0,186.0,0.4829526390518033,642715.0,3.2897,4.0089,0.0,4.0089,94.9,0.569,26.2
668715,Spencer Steer,,2,26,6,2,3,1,10,0,1,11,spencer steer,FA,False,668715.0,77.0,0.5492409286046893,668715.0,2.3489,3.4595,1.0,3.4595,93.1,0.423,23.1
702284,Cole Young,,3,69,6,9,8,3,37,0,1,52,cole young,FA,False,702284.0,226.0,0.4679589634672843,702284.0,3.1436,4.0442,0.0,4.0442,92.7,0.754,8.7
669394,Jake Burger,,3,60,19,5,8,2,24,0,0,20,jake burger,FA,False,669394.0,185.0,0.4830899916607888,669394.0,2.9792,3.8571,0.0,3.8571,91.3,0.333,31.7
521692,Salvador Perez,,5,68,17,9,9,4,34,0,4,43,salvador perez,FA,False,521692.0,227.0,0.4679379994119498,521692.0,3.1391,3.9292,0.0,3.9292,90.1,0.632,25.0
686797,Brooks Lee,,2,60,10,7,7,3,22,1,0,30,brooks lee,FA,False,686797.0,202.0,0.4776118325935657,686797.0,3.184,3.8496,0.0,3.8496,90.1,0.5,16.7
665019,Kody Clemens,,3,63,13,7,7,2,28,1,1,33,kody clemens,FA,False,665019.0,114.0,0.5222195990022772,665019.0,3.0738,3.4956,0.0,3.4956,89.4,0.524,20.6
666176,Jo Adell,,3,57,21,4,9,4,20,0,1,17,jo adell,FA,False,666176.0,289.0,0.4403070370158803,666176.0,3.094,4.0804,0.0,4.0804,88.0,0.298,36.8
663757,Trent Grisham,,2,67,9,5,3,7,14,0,0,20,trent grisham,FA,False,663757.0,85.0,0.5429665322512996,663757.0,3.2501,3.2589,0.0,3.2589,86.7,0.299,13.4
805367,Chase Meidroth,,2,60,8,10,9,6,24,0,2,43,chase meidroth,FA,False,805367.0,322.0,0.4249020455636352,805367.0,3.3329,4.0811,0.0,4.0811,85.0,0.717,13.3
543760,Marcus Semien,,3,48,14,6,6,3,18,1,0,20,marcus semien,FA,False,543760.0,126.0,0.5121455376624188,543760.0,2.584,3.2566,0.0,3.2566,81.7,0.417,29.2
592626,Joc Pederson,,5,44,11,11,8,2,33,1,0,44,joc pederson,FA,False,592626.0,87.0,0.5429068431445098,592626.0,2.1711,3.0268,0.0,3.0268,80.5,1.0,25.0
693304,Nick Gonzales,,2,74,12,10,7,0,33,1,1,40,nick gonzales,FA,False,693304.0,339.0,0.4187738099540838,693304.0,3.3152,3.9204,0.0,3.9204,80.4,0.541,16.2
663586,Austin Riley,,3,64,25,6,10,3,28,1,2,25,austin riley,FA,False,663586.0,359.0,0.4062475921256596,663586.0,3.0158,4.0089,0.0,4.0089,79.8,0.391,39.1
695600,Carter Jensen,,2,69,21,7,5,8,27,0,0,26,carter jensen,FA,False,695600.0,295.0,0.4388804332006576,695600.0,3.0689,3.6814,0.0,3.6814,79.2,0.377,30.4
656775,Cedric Mullins,,2,50,13,7,4,3,20,2,1,24,cedric mullins,FA,False,656775.0,197.0,0.4790437103387192,656775.0,2.6685,3.3333,0.0,3.3333,78.2,0.48,26.0
680777,Ryan Jeffers,,3,50,8,5,8,4,22,0,1,32,ryan jeffers,FA,False,680777.0,56.0,0.5704960065065452,680777.0,2.7473,1.8319,0.0,2.7473,76.8,0.64,16.0
683953,Travis Bazzana,,2,69,16,7,6,10,25,3,1,36,travis bazzana,FA,False,683953.0,233.0,0.4647031077919442,683953.0,3.3065,3.1062,0.0,3.3065,75.3,0.522,23.2
663616,Trevor Larnach,,3,45,10,5,9,4,21,0,0,29,trevor larnach,FA,False,663616.0,123.0,0.5128867536755949,663616.0,2.7042,2.9912,0.0,2.9912,75.2,0.644,22.2
686527,Dominic Canzone,,3,66,12,7,9,8,26,0,1,39,dominic canzone,FA,False,686527.0,107.0,0.5265731998733477,686527.0,2.5448,2.8319,0.0,2.8319,73.1,0.591,18.2
