rank,name,proj,tag,gs,l4_st,n,sd,lo,hi,l4_all,l8_st,last,d_l4_l8
34,"Schwellenbach, Spencer",12.76,marcel_il,0,,0,,,,,,,
44,"Ureña, Walbert",12.31932144067584,data_driven_full,18,16.15,4,4.467288513927286,10.2,20.8,16.15,13.149999999999999,2026-08-02,3.0
47,"Burnes, Corbin",12.06,marcel_il,0,,0,,,,,,,
50,"Sheehan, Emmet",11.983405598431608,data_driven_full,20,6.625000000000001,4,10.195546413344735,-5.2,16.6,6.625000000000001,7.1000000000000005,2026-08-02,-0.47499999999999964
51,"Rogers, Trevor",11.935776377555156,data_driven_full,21,17.4,4,5.236410984634419,9.8,21.8,17.4,18.112499999999997,2026-08-05,-0.7124999999999986
53,"Jax, Griffin",11.85939524921208,data_driven_full,18,13.625,4,10.084104653694679,-1.5,18.8,13.625,13.975,2026-08-02,-0.34999999999999964
54,"Sasaki, Roki",11.823502706291638,data_driven_full,19,17.3,4,5.637375275782162,12.6,25.1,17.3,8.6625,2026-07-30,8.637500000000001
57,"Ragans, Cole",11.722341009563438,marcel_il,7,9.9,4,12.083873551142448,-5.7,23.8,9.9,9.2,2026-05-06,0.7000000000000011
61,"Rodón, Carlos",11.60476969206868,marcel_il,9,12.35,4,4.115418164253381,8.6,17.5,12.35,13.450000000000001,2026-06-28,-1.1000000000000014
62,"Drohan, Shane",11.554497312977825,data_driven_full,12,14.075,4,4.355360681581569,7.8,17.8,14.075,13.075,2026-07-31,1.0
63,"López, Pablo",11.46,marcel_il,0,,0,,,,,,,
65,"Bradish, Kyle",11.396696655909055,data_driven_full,22,10.024999999999999,4,10.25032519809331,-1.6,21.0,10.024999999999999,14.7875,2026-08-02,-4.762500000000001
67,"Steele, Justin",11.34,marcel_il,0,,0,,,,,,,
69,"Cantillo, Joey",11.321065112960218,data_driven_full,24,6.825,4,7.895726692331745,-2.9,16.2,6.825,10.95,2026-08-04,-4.124999999999999
70,"Strider, Spencer",11.283557822979914,marcel_il,8,4.1,4,8.912911982062877,-9.1,9.5,4.1,9.337499999999999,2026-06-12,-5.237499999999999
74,"Scott, Christian",11.207720619075626,marcel_il,16,13.774999999999999,4,8.326413793865079,5.1,22.7,13.774999999999999,12.1875,2026-08-05,1.5874999999999986
75,"Seymour, Ian",11.20743491543358,data_driven_full,8,8.575,4,11.830574795841494,-6.0,18.6,13.724999999999998,10.174999999999999,2026-08-03,-1.5999999999999996
76,"Bibee, Tanner",11.159493876782722,data_driven_full,24,14.375,4,4.8389909416461325,7.8,18.7,14.375,12.575000000000001,2026-08-05,1.799999999999999
78,"Castillo, Luis",11.106972546414704,data_driven_full,18,3.325,4,7.800160254764,-4.5,14.1,3.325,9.0375,2026-08-06,-5.7124999999999995
79,"Nola, Aaron",10.988141361195378,data_driven_full,23,9.225000000000001,4,3.9381679327660297,3.6,12.7,9.225000000000001,9.5375,2026-08-03,-0.3124999999999982
82,"Cameron, Noah",10.93875549515454,data_driven_full,21,16.85,4,17.673803589870893,-7.5,30.4,19.6,8.874999999999998,2026-08-05,7.975000000000003
86,"Musgrove, Joe",10.8,marcel_il,0,,0,,,,,,,
87,"Cavalli, Cade",10.772777445403158,data_driven_full,24,16.3,4,5.802298395176403,10.8,21.8,16.3,16.075000000000003,2026-08-02,0.22499999999999787
89,"Weathers, Ryan",10.763118702683313,data_driven_full,22,14.75,4,9.238506372785592,1.4,21.1,14.75,11.1375,2026-08-04,3.6125000000000007
90,"Blanco, Ronel",10.748500184154636,data_driven_thin,3,7.133333333333333,3,2.9687258770949763,4.6,10.4,7.133333333333333,7.133333333333333,2026-08-01,0.0
92,"Perkins, Jack",10.73679538932541,data_driven_full,9,5.475,4,7.857215367630782,-4.9,13.7,7.175000000000001,6.95,2026-08-01,-1.4750000000000005
94,"May, Dustin",10.647366080304096,data_driven_full,21,11.899999999999999,4,7.718808198161165,0.5,16.8,11.899999999999999,6.0,2026-08-06,5.899999999999999
95,"Imai, Tatsuya",10.63418940766961,data_driven_full,12,1.1250000000000002,4,13.633139770427062,-12.6,18.8,8.0,6.225,2026-08-03,-5.1
97,"Flaherty, Jack",10.57271019467314,marcel_il,19,15.3,4,7.0394128543034995,5.2,20.5,15.3,13.100000000000001,2026-07-20,2.1999999999999993
99,"Bubic, Kris",10.48248901536194,marcel_il,9,10.625,4,9.37776625855006,-0.8,22.1,10.625,11.412500000000001,2026-05-14,-0.7875000000000014
101,"Wacha, Michael",10.434894727478222,data_driven_full,23,15.850000000000001,4,3.637306695894643,11.7,19.8,15.850000000000001,14.25,2026-08-06,1.6000000000000014
103,"Mahle, Tyler",10.392151196345484,data_driven_full,18,13.025000000000002,4,5.195751469550227,7.5,17.8,13.025000000000002,10.7375,2026-08-01,2.2875000000000014
104,"Leiter, Jack",10.370121226955868,marcel_il,15,5.199999999999999,4,12.606612021739492,-3.8,23.7,5.199999999999999,8.2,2026-06-18,-3.0
105,"Stone, Gavin",10.36,marcel_il,0,,0,,,,,,,
107,"Chandler, Bubba",10.289825292746166,data_driven_full,21,10.799999999999999,4,9.725224933131367,-0.8,22.9,10.799999999999999,7.9624999999999995,2026-08-03,2.8374999999999995
108,"Holmes, Grant",10.274331688590522,data_driven_full,21,9.05,4,6.7154051751675174,3.5,18.8,9.05,8.525,2026-08-04,0.5250000000000004
109,"Prielipp, Connor",10.222074962112757,data_driven_full,15,13.9,4,5.095749863039459,8.6,18.7,13.9,11.0375,2026-08-01,2.8625000000000007
110,"Cortes, Nestor",10.15,marcel_il,0,,0,,,,,,,
112,"Cabrera, Edward",10.134834379368852,marcel_il,14,4.125,4,8.359575348066432,-6.9,11.6,4.125,5.1375,2026-06-23,-1.0125000000000002
113,"Kikuchi, Yusei",10.127878974484643,marcel_il,7,7.225,4,10.195546413344735,-2.0,21.8,7.225,6.471428571428572,2026-04-29,0.7535714285714272
114,"Severino, Luis",10.124799079166266,marcel_il,12,9.95,4,11.070832549240972,1.3,26.1,9.95,11.125,2026-05-29,-1.1750000000000007
115,"Sproat, Brandon",10.108464950315703,data_driven_full,19,4.5,4,4.987317248113793,-1.1,9.8,4.5,9.2125,2026-08-03,-4.7125
120,"Soroka, Michael",10.06121629818812,marcel_il,15,14.825000000000001,4,10.918295043946499,1.3,25.1,14.825000000000001,15.6875,2026-06-19,-0.8624999999999989
122,"Bennett, Jake",10.025786143965902,data_driven_full,12,11.774999999999999,4,5.514450713050818,7.7,19.8,11.774999999999999,16.650000000000002,2026-08-02,-4.8750000000000036
123,"Abel, Mick",10.016348697262664,marcel_il,3,14.700000000000001,3,15.852760012060992,-2.8,28.1,9.275,14.700000000000001,2026-04-14,0.0
124,"Boyd, Matthew",9.965188327321016,data_driven_full,13,15.25,4,6.02245796996542,7.0,21.1,15.25,12.95,2026-08-03,2.3000000000000007
125,"Senga, Kodai",9.957727185916273,data_driven_full,8,0.825,4,5.802513823048306,-4.9,7.2,2.8,1.9375,2026-08-06,-1.1125
127,"Gasser, Robert",9.953413069554502,data_driven_full,12,8.925,4,12.713870378448885,-10.1,16.5,8.925,12.775,2026-08-01,-3.8499999999999996
128,"Kershaw, Clayton",9.95,marcel_il,0,,0,,,,,,,
