rank,name,proj,tag,gs,l8_st,nst,l8_all,last
34,"Schwellenbach, Spencer",12.76,marcel_il,0,,0,,
44,"Ureña, Walbert",12.31932144067584,data_driven_full,18,13.149999999999999,8,13.149999999999999,2026-08-02
47,"Burnes, Corbin",12.06,marcel_il,0,,0,,
50,"Sheehan, Emmet",11.983405598431608,data_driven_full,20,7.1000000000000005,8,7.1000000000000005,2026-08-02
51,"Rogers, Trevor",11.935776377555156,data_driven_full,21,18.112499999999997,8,18.112499999999997,2026-08-05
53,"Jax, Griffin",11.85939524921208,data_driven_full,18,13.975,8,13.975,2026-08-02
54,"Sasaki, Roki",11.823502706291638,data_driven_full,19,8.6625,8,8.6625,2026-07-30
57,"Ragans, Cole",11.722341009563438,marcel_il,7,9.2,8,9.2,2026-05-06
61,"Rodón, Carlos",11.60476969206868,marcel_il,9,13.450000000000001,8,13.450000000000001,2026-06-28
62,"Drohan, Shane",11.554497312977825,data_driven_full,12,13.075,8,13.075,2026-07-31
63,"López, Pablo",11.46,marcel_il,0,,0,,
65,"Bradish, Kyle",11.396696655909055,data_driven_full,22,14.7875,8,14.7875,2026-08-02
67,"Steele, Justin",11.34,marcel_il,0,,0,,
69,"Cantillo, Joey",11.321065112960218,data_driven_full,24,10.95,8,10.95,2026-08-04
70,"Strider, Spencer",11.283557822979914,marcel_il,8,9.337499999999999,8,9.337499999999999,2026-06-12
74,"Scott, Christian",11.207720619075626,marcel_il,16,12.1875,8,12.1875,2026-08-05
75,"Seymour, Ian",11.20743491543358,data_driven_full,8,10.174999999999999,8,14.662500000000001,2026-08-03
76,"Bibee, Tanner",11.159493876782722,data_driven_full,24,12.575000000000001,8,12.575000000000001,2026-08-05
78,"Castillo, Luis",11.106972546414704,data_driven_full,18,9.0375,8,6.975,2026-08-06
79,"Nola, Aaron",10.988141361195378,data_driven_full,23,9.5375,8,9.5375,2026-08-03
82,"Cameron, Noah",10.93875549515454,data_driven_full,21,8.874999999999998,8,11.450000000000001,2026-08-05
