rank,name,proj,tag,gs,l4_st,n,sd,lo,hi,l4_all,l8_st,last,d_l4_l8,mid,nst,p90,mx,boom,big,bust,sdev,k_st,k_mx,ip_st,zp90,zbig,ceil
82,"Cameron, Noah",10.93875549515454,data_driven_full,21,16.85,4,17.673803589870893,-7.5,30.4,19.6,8.874999999999998,2026-08-05,7.975000000000003,702070,21.0,28.1,30.4,23.809523809523807,19.047619047619047,38.095238095238095,11.865973762541925,5.142857142857143,9.0,5.555552380952381,2.821035139466665,2.5683410467333117,2.6946880930999884
122,"Bennett, Jake",10.025786143965902,data_driven_full,12,11.775,4,5.514450713050818,7.7,19.8,11.775,16.650000000000002,2026-08-02,-4.875000000000004,687562,12.0,22.28,24.8,33.33333333333333,25.0,16.666666666666664,7.402927348916328,4.166666666666667,9.0,5.944441666666666,1.3010271729943117,3.588593389501212,2.444810281247762
54,"Sasaki, Roki",11.823502706291638,data_driven_full,19,17.3,4,5.637375275782162,12.6,25.1,17.3,8.6625,2026-07-30,8.637500000000001,808963,19.0,25.1,29.1,26.31578947368421,15.789473684210526,31.57894736842105,10.180694952094496,5.315789473684211,10.0,5.2105263157894735,2.0375258783984416,2.009887132797198,2.02370650559782
101,"Wacha, Michael",10.434894727478222,data_driven_full,23,15.85,4,3.637306695894643,11.7,19.8,15.85,14.25,2026-08-06,1.6000000000000014,608379,23.0,23.200000000000003,28.4,47.82608695652174,17.391304347826086,21.73913043478261,8.5519431257052,4.869565217391305,8.0,6.260873913043478,1.5413033463885673,2.2844447426587653,1.9128740445236663
76,"Bibee, Tanner",11.159493876782722,data_driven_full,24,14.375,4,4.8389909416461325,7.8,18.7,14.375,12.575,2026-08-05,1.799999999999999,676440,24.0,23.01,24.4,33.33333333333333,16.666666666666664,16.666666666666664,9.321422265055814,4.583333333333333,10.0,5.750004166666667,1.4916810931875795,2.160240109626151,1.8259606014068654
151,"Warren, Will",9.615873843451624,data_driven_full,22,9.5,4,12.304741633478804,-5.1,25.0,7.425000000000001,7.525,2026-08-05,1.975,701542,22.0,23.180000000000014,25.1,13.636363636363635,13.636363636363635,22.727272727272727,8.974229579011032,5.136363636363637,11.0,5.151518181818182,1.536079951314782,1.6408389169443114,1.5884594341295468
89,"Weathers, Ryan",10.763118702683313,data_driven_full,22,14.75,4,9.238506372785592,1.4,21.1,14.75,11.1375,2026-08-04,3.6125000000000007,677960,22.0,22.8,26.2,31.818181818181817,13.636363636363635,22.727272727272727,8.961757374426917,6.0,10.0,5.499995454545455,1.4368354449128036,1.6408389169443114,1.5388371809285575
65,"Bradish, Kyle",11.396696655909055,data_driven_full,22,10.025,4,10.25032519809331,-1.6,21.0,10.025,14.7875,2026-08-02,-4.762500000000001,680694,22.0,22.620000000000005,28.4,31.818181818181817,13.636363636363635,31.818181818181817,9.99188523566852,5.318181818181818,12.0,5.500004545454545,1.3898248892487113,1.6408389169443114,1.5153319030965113
197,"Irvin, Jake",8.764258292969263,data_driven_full,13,11.2,4,8.417046196063477,2.5,22.5,11.2,8.55,2026-08-05,2.6500000000000004,663623,13.0,21.100000000000005,22.7,15.384615384615385,15.384615384615385,30.76923076923077,8.79403206726016,4.769230769230769,9.0,4.769230769230769,0.9928468636408115,1.940493451183835,1.4666701574123233
164,"Matthews, Zebby",9.408798997794138,data_driven_full,14,3.5,4,12.424974849069113,-14.1,13.5,3.5,8.8,2026-07-31,-5.300000000000001,805673,14.0,21.210000000000008,23.1,14.285714285714285,14.285714285714285,28.57142857142857,10.101727085498307,4.928571428571429,10.0,5.785714285714286,1.0215755365466472,1.7521391725189912,1.386857354532819
