name,team,inj,pl_rank,pl_inj_tier,pl_stream,rp3_rank,rp3_ps,tag,gs_pre,gs_post,pre_fp,post_fp,l8,z_kbb,z_fp,mech,persist,verdict,price,own
Brandon Woodruff,Mil,SIXTY_DAY_DL,,21-30,,32.0,12.9,data_driven_full,9.0,0.0,14.18,,14.14,,,,,INSUFFICIENT,12.9,41.0
Spencer Schwellenbach,Atl,SIXTY_DAY_DL,,11-20,,35.0,12.75,marcel_il,0.0,0.0,,,,,,,,INSUFFICIENT,12.75,9.1
Jacob Lopez,Oak,ACTIVE,38.0,,#8 Probably Start,172.0,9.38,data_driven_full,11.0,7.0,3.09,15.94,14.76,3.32,4.54,"whiff+11.4,swstr+6.2,SL+8pp,SI-6pp,K%+14.4",True,NEW LEAF,12.66,17.6
Nick Pivetta,SD,SIXTY_DAY_DL,,21-30,,38.0,12.58,data_driven_thin,4.0,0.0,10.7,,10.7,,,,,INSUFFICIENT,12.58,49.9
Hunter Greene,Cin,SIXTY_DAY_DL,,11-20,,41.0,12.47,data_driven_thin,2.0,3.0,11.05,7.4,8.86,,,,,INSUFFICIENT,12.47,24.8
Corbin Burnes,Ari,SIXTY_DAY_DL,,21-30,,51.0,12.06,marcel_il,0.0,0.0,,,,,,,,INSUFFICIENT,12.06,6.2
Ryan Weathers,NYY,FIFTEEN_DAY_DL,,41-50,,110.0,10.24,data_driven_full,18.0,7.0,12.18,13.7,13.94,1.4,0.36,"SI+10pp,FF-18pp,CH+6pp,K%-6.7",False,DECLINE,11.97,29.5
Walbert Urena,LAA,ACTIVE,40.0,,,54.0,11.91,data_driven_full,15.0,7.0,12.06,11.64,11.46,0.18,0.09,velo+1.5,False,WATCH,11.91,18.6
Cole Ragans,KC,SIXTY_DAY_DL,,1-10,,58.0,11.78,data_driven_thin,8.0,0.0,9.2,,9.2,,,,,INSUFFICIENT,11.78,45.1
Garrett Crochet,Bos,SIXTY_DAY_DL,,1-10,,60.0,11.69,data_driven_thin,6.0,0.0,7.67,,7.67,,,,,INSUFFICIENT,11.69,82.0
Griffin Jax,TB,FIFTEEN_DAY_DL,61.0,,,65.0,11.46,data_driven_full,14.0,4.0,11.02,13.62,13.97,1.45,0.47,—,False,VARIANCE,11.46,39.7
Roki Sasaki,LAD,FIFTEEN_DAY_DL,74.0,,,66.0,11.41,data_driven_full,16.0,7.0,8.52,12.64,12.79,0.02,0.94,"velo+0.9,whiff+5.6,swstr+2.5",True,WATCH,11.41,27.3
Carlos Rodon,NYY,ACTIVE,34.0,,,68.0,11.37,data_driven_full,9.0,2.0,12.43,10.2,13.05,,,,,INSUFFICIENT,11.37,58.1
Spencer Strider,Atl,SIXTY_DAY_DL,,61-70,,69.0,11.34,data_driven_full,8.0,0.0,9.34,,9.34,,,,,INSUFFICIENT,11.34,41.2
Justin Steele,ChC,SIXTY_DAY_DL,,21-30,,70.0,11.34,marcel_il,0.0,0.0,,,,,,,,INSUFFICIENT,11.34,2.6
Joey Cantillo,Cle,ACTIVE,54.0,,,73.0,11.23,data_driven_full,20.0,8.0,10.77,8.32,8.32,0.18,0.67,"SL-6pp,FF-11pp,CH-8pp,FC+8pp,CU+17pp",False,VARIANCE,11.23,25.3
