batter,xw_szn,pa_szn,xw_L42,pa_L42,xw_L21,pa_L21,xw_L7,pa_L7,k,name,pos,tm,own,inj
680664,0.4030512325581395,43,0.4030512325581395,43,0.3943624000000001,30,0.49062472727272727,11,eduardo valencia,Eduardo Valencia,1B,Det,4.58,ACTIVE
804668,0.37706138709677417,31,0.3033408076923077,26,0.22416939999999996,15,0.27169262499999997,8,rafael flores jr,Rafael Flores Jr.,1B,Pit,0.06,ACTIVE
670231,0.3760441956521739,46,0.3342063214285714,28,0.3423760384615385,26,0.30156475,12,john rave,John Rave,RF,KC,0.1,ACTIVE
687952,0.37420437931034484,58,0.37420437931034484,58,0.394695358490566,53,0.3873392352941177,17,christian encarnacionstrand,Christian Encarnacion-Strand,1B,Bal,2.23,ACTIVE
665953,0.3721493565217392,115,0.395378359375,64,0.371209075,40,0.2166414705882353,17,andres chaparro,Andres Chaparro,1B,Wsh,0.25,ACTIVE
665052,0.3693454156626506,166,0.3704049831932773,119,0.33915626865671633,67,0.2804671304347826,23,griffin conine,Griffin Conine,LF,Mia,2.28,ACTIVE
680777,0.3654490913043478,230,0.3206699878048781,82,0.31916498387096776,62,0.2952297826086957,23,ryan jeffers,Ryan Jeffers,C,Min,40.69,ACTIVE
621043,0.3652551285714286,140,,0,,0,,0,carlos correa,Carlos Correa,SS,Hou,7.78,SIXTY_DAY_DL
596142,0.363749805,200,0.3384395,44,0.26847552631578947,19,0.45398171428571427,7,gary sanchez,Gary Sanchez,C,Mil,2.15,ACTIVE
686527,0.3633105263157894,342,0.33104694488188974,127,0.35459124999999997,80,0.23013043478260867,23,dominic canzone,Dominic Canzone,RF,Sea,12.06,ACTIVE
676369,0.36310637349397584,83,0.3451248139534884,43,0.3011526,15,0.31375,4,nelson velazquez,Nelson Velazquez,RF,Hou,0.11,ACTIVE
677942,0.36307120833333334,240,0.403679,41,,0,,0,blaze alexander,Blaze Alexander,3B,Bal,3.55,TEN_DAY_DL
695506,0.3597084882629108,426,0.32382401550387596,129,0.36275843076923076,65,0.537695652173913,23,jac caglianone,Jac Caglianone,RF,KC,42.63,ACTIVE
678554,0.3592867353846154,325,0.3585007125,80,0.2895720999999999,20,,0,curtis mead,Curtis Mead,1B,Bos,8.76,TEN_DAY_DL
665833,0.3587832688172043,279,,0,,0,,0,oneil cruz,Oneil Cruz,CF,Pit,80.07,SIXTY_DAY_DL
666018,0.35368084146341466,492,0.3138708581081081,148,0.2926627922077922,77,0.30824542857142856,28,jonathan aranda,Jonathan Aranda,1B,TB,40.12,ACTIVE
682988,0.35363063157894736,38,0.35363063157894736,38,0.3598662352941176,34,0.2904285714285714,7,tyler locklear,Tyler Locklear,1B,Ari,0.15,ACTIVE
592626,0.35298099433427765,353,0.34038041304347827,92,0.3223050943396226,53,0.288816,17,joc pederson,Joc Pederson,DH,Tex,3.8,ACTIVE
650559,0.35158309375,32,0.35158309375,32,0.35158309375,32,0.36704111111111115,9,bryan de la cruz,Bryan De La Cruz,LF,Phi,0.32,ACTIVE
669003,0.3511960637755102,392,0.38136802877697845,139,0.3359707605633804,71,0.3102294444444444,27,garrett mitchell,Garrett Mitchell,CF,Mil,5.37,ACTIVE
663886,0.35085598089171977,314,0.38466703260869567,92,0.3828266296296296,54,0.31675,16,tyler stephenson,Tyler Stephenson,C,Cin,4.59,ACTIVE
691783,0.34874386363636356,44,,0,,0,,0,jordan lawlar,Jordan Lawlar,3B,Ari,2.83,TEN_DAY_DL
663993,0.34861727622377625,286,0.3180374269662921,89,0.3317028360655738,61,0.27536906250000004,16,nathaniel lowe,Nathaniel Lowe,1B,Cle,1.78,ACTIVE
683734,0.34853496120689653,232,0.33499741935483873,93,0.381515052631579,57,0.34307495454545456,22,andrew vaughn,Andrew Vaughn,1B,Mil,3.58,ACTIVE
682626,0.3481148026755853,299,0.36064508490566044,106,0.38818279661016947,59,0.3325199545454546,22,francisco alvarez,Francisco Alvarez,C,NYM,11.69,ACTIVE
672284,0.34576442028985516,69,,0,,0,,0,jarred kelenic,Jarred Kelenic,RF,Tex,0.04,ACTIVE
805811,0.345303880794702,302,0.3128371056338028,142,0.25187859459459455,74,0.22328989473684216,19,bryce eldridge,Bryce Eldridge,DH,SF,8.67,ACTIVE
668715,0.34314724119241197,369,0.3354379558823529,68,0.23387769230769231,13,,0,spencer steer,Spencer Steer,1B,Cin,12.49,TEN_DAY_DL
663757,0.34284925192802057,389,0.304873848,125,0.2776295068493151,73,0.35556000000000004,25,trent grisham,Trent Grisham,CF,NYY,20.53,ACTIVE
670042,0.34231824647887327,284,0.2851603333333334,60,0.23676630000000004,20,,0,luke raley,Luke Raley,RF,Sea,4.29,TEN_DAY_DL
687221,0.34080187755102037,245,0.347307025,80,0.35351612903225804,31,,0,dalton rushing,Dalton Rushing,C,LAD,8.95,TEN_DAY_DL
682848,0.3407235157232704,159,0.2977198983050847,59,0.2469194864864865,37,0.3345545,16,endy rodriguez,Endy Rodriguez,1B,Pit,1.84,DAY_TO_DAY
666397,0.3390093586956522,276,0.33125331666666674,60,0.2841600952380953,21,0.3164841666666666,6,edouard julien,Edouard Julien,1B,Col,0.25,ACTIVE
656582,0.3379788666666666,45,,0,,0,,0,connor joe,Connor Joe,RF,Sea,0.03,ACTIVE
660821,0.3370697470355731,253,0.3552941428571429,21,0.3552941428571429,21,0.3839566842105263,19,jesus sanchez,Jesus Sanchez,RF,Tor,1.73,ACTIVE
681715,0.3369863047619047,315,0.32771803816793893,131,0.26606842666666664,75,0.21966133333333335,24,heriberto hernandez,Heriberto Hernandez,LF,Mia,3.19,ACTIVE
669134,0.3369182014925373,134,0.33404642105263155,76,0.31372923404255315,47,0.28454406666666665,15,luis campusano,Luis Campusano,DH,SD,0.63,ACTIVE
694212,0.3369152564935065,308,0.3299845,52,,0,,0,samuel basallo,Samuel Basallo,C,Bal,25.95,TEN_DAY_DL
691720,0.33643481865284974,386,0.34315926984126977,126,0.33591686206896554,58,0.33425000000000005,25,kyle karros,Kyle Karros,3B,Col,4.59,ACTIVE
545341,0.33541292777777776,180,0.22933031147540983,61,0.22961770967741935,31,0.24671428571428572,14,randal grichuk,Randal Grichuk,RF,ChW,0.14,ACTIVE
687957,0.3354020392156863,51,,0,,0,,0,dustin harris,Dustin Harris,LF,Hou,0.02,ACTIVE
681082,0.3350774839449541,436,0.37376517857142855,140,0.41505393333333335,75,0.5012867666666667,30,bryson stott,Bryson Stott,2B,Phi,47.31,ACTIVE
694384,0.33482606403940884,406,0.3566449389312977,131,0.34002727631578944,76,0.39496757692307694,26,nolan schanuel,Nolan Schanuel,1B,LAA,4.73,ACTIVE
702176,0.3320184736842105,57,0.3320184736842105,57,0.31346316666666657,36,0.3224338888888889,9,alan roden,Alan Roden,LF,Min,0.07,ACTIVE
663616,0.33167894571428574,350,0.32523718269230767,104,0.28024340740740733,54,0.2062965,16,trevor larnach,Trevor Larnach,DH,Min,5.65,ACTIVE
702284,0.33159315966386554,476,0.33664204411764703,136,0.3160556707317073,82,0.2556937083333333,24,cole young,Cole Young,2B,Sea,14.02,ACTIVE
676724,0.3313664843049327,223,0.31959590654205605,107,0.33361366666666664,60,0.36952841666666664,24,jared young,Jared Young,DH,NYM,0.41,ACTIVE
690993,0.33106375443786984,338,0.36655548453608244,97,0.3530838813559322,59,0.4186299130434783,23,colt keith,Colt Keith,DH,Det,5.44,ACTIVE
701358,0.3305482924528302,424,0.3198984311926605,109,0.3013260566037736,53,0.417859,16,cam smith,Cam Smith,RF,Hou,7.5,ACTIVE
695238,0.3295846279069768,43,,0,,0,,0,will wagner,Will Wagner,3B,SD,0.03,ACTIVE
640902,0.3295109999999999,71,0.07066666666666667,3,0.07066666666666667,3,0.07066666666666667,3,jhonny pereda,Jhonny Pereda,C,Sea,0.07,ACTIVE
624641,0.3287350052356021,191,0.2801124130434783,46,0.22915488,25,0.282468,4,edmundo sosa,Edmundo Sosa,2B,Phi,0.39,ACTIVE
691781,0.32803782110091745,218,0.3614917619047619,42,0.3614917619047619,42,0.3233502105263158,19,brady house,Brady House,3B,Wsh,0.75,ACTIVE
663457,0.32765041791044774,201,0.2912734016393443,122,0.2861621594202898,69,0.28403245,20,lars nootbaar,Lars Nootbaar,LF,Ari,3.01,ACTIVE
666126,0.3269157011494253,261,0.2260519649122807,57,0.18491533333333332,24,0.31275,4,carlos cortes,Carlos Cortes,RF,Oak,3.18,ACTIVE
807799,0.32688993382352943,272,0.35627243157894734,95,0.3480887419354839,62,0.3583473529411765,17,masataka yoshida,Masataka Yoshida,DH,Bos,1.33,ACTIVE
687462,0.326592046875,320,0.2552079230769231,26,0.2552079230769231,26,0.29115481818181815,22,spencer horwitz,Spencer Horwitz,1B,Pit,6.19,ACTIVE
680977,0.32636732743362834,113,0.18789464285714286,14,0.18789464285714286,14,0.18789464285714286,14,brendan donovan,Brendan Donovan,2B,Sea,35.77,ACTIVE
519317,0.326184625,96,,0,,0,,0,giancarlo stanton,Giancarlo Stanton,DH,NYY,16.56,TEN_DAY_DL
641487,0.3260643691460055,363,0.2870644320987655,81,0.15793333333333331,15,,0,jp crawford,J.P. Crawford,SS,Sea,5.01,TEN_DAY_DL
805999,0.32580381072555203,317,0.29854042000000003,150,0.30863561445783133,83,0.40141262962962965,27,aj ewing,A.J. Ewing,CF,NYM,9.91,ACTIVE
669392,0.32569510891089104,101,0.34491381818181815,22,,0,,0,samad taylor,Samad Taylor,2B,SD,1.35,TEN_DAY_DL
671218,0.3255677956656347,323,0.32375406122448974,147,0.290523417721519,79,0.3551697142857143,21,heliot ramos,Heliot Ramos,LF,NYY,12.22,ACTIVE
811965,0.32530570967741934,62,0.32530570967741934,62,0.6779999999999999,3,,0,joshua kurodagrauer,Joshua Kuroda-Grauer,SS,Oak,1.61,TEN_DAY_DL
624424,0.32446658415841584,202,0.2784703698630137,73,0.2872436578947368,38,0.36633333333333334,9,michael conforto,Michael Conforto,LF,ChC,0.39,ACTIVE
665019,0.32340917590361445,415,0.28560382978723403,141,0.27167806410256407,78,0.26143488000000004,25,kody clemens,Kody Clemens,1B,Min,24.36,ACTIVE
592663,0.3234012140672783,327,0.33296612037037043,108,0.3577718524590164,61,0.2651818181818182,22,jt realmuto,J.T. Realmuto,C,Phi,16.76,ACTIVE
681297,0.3233352135231317,281,0.3164641818181818,77,0.3835728,40,0.4264630588235295,17,colton cowser,Colton Cowser,CF,Bal,1.66,ACTIVE
605137,0.32309389347826084,460,0.3298037445255475,137,0.29082479452054794,73,0.40586746153846154,26,josh bell,Josh Bell,DH,Min,13.59,ACTIVE
686611,0.3223938158844766,277,0.3187232573529412,136,0.32085268000000006,75,0.2621446296296297,27,dylan crews,Dylan Crews,RF,Wsh,6.98,ACTIVE
687093,0.3222603321917808,292,0.2885664107142857,112,0.25437400000000004,70,0.15455,20,vaughn grissom,Vaughn Grissom,2B,LAA,3.48,ACTIVE
622761,0.32188598540145985,137,0.27354491666666664,24,0.0905,2,,0,jorge mateo,Jorge Mateo,SS,FA,0.56,ACTIVE
680574,0.3202645899705015,339,0.28279862,50,0.34169922857142854,35,0.45052555000000005,20,matt mclain,Matt McLain,2B,Cin,5.57,ACTIVE
608348,0.31967863022508036,311,0.3097307956989247,93,0.2724816346153846,52,0.374104,18,carson kelly,Carson Kelly,C,ChC,11.54,ACTIVE
683748,0.3194393024691358,162,0.3050176304347826,92,0.3200660392156863,51,0.37913043478260866,23,victor mesa jr,Victor Mesa Jr.,LF,TB,0.34,ACTIVE
666176,0.31943393697478994,476,0.32397929687500004,128,0.3615318888888889,72,0.3233962592592593,27,jo adell,Jo Adell,CF,Cle,32.63,ACTIVE
702616,0.31937553023255816,215,0.32278047222222217,108,0.31163265625,64,0.2961731818181818,22,jackson holliday,Jackson Holliday,2B,Bal,25.31,ACTIVE
682987,0.3192248636363636,132,0.3853852586206897,58,0.3853669,50,0.34198886956521735,23,spencer jones,Spencer Jones,CF,NYY,5.92,ACTIVE
687859,0.31914117746478876,355,0.2740649367088608,79,0.24745623529411767,34,0.223375,8,troy johnston,Troy Johnston,RF,Col,4.96,ACTIVE
693304,0.3191062345415778,469,0.3086851895424837,153,0.2987616823529412,85,0.27352739285714284,28,nick gonzales,Nick Gonzales,2B,Pit,23.07,ACTIVE
666182,0.31891231764705885,510,0.28473105555555556,144,0.27433096428571424,84,0.32938489285714295,28,bo bichette,Bo Bichette,SS,NYM,72.16,ACTIVE
657757,0.3188435904255319,376,0.2923337090909091,110,0.2562265744680851,47,0.4328083076923077,13,gavin sheets,Gavin Sheets,LF,SD,9.07,ACTIVE
678545,0.31867746874999997,32,0.31867746874999997,32,0.31867746874999997,32,0.2365909090909091,22,osleivis basabe,Osleivis Basabe,SS,SF,3.34,ACTIVE
605170,0.31844678930817605,318,0.2686450227272727,88,0.21064506382978723,47,0.2826878666666667,15,victor caratini,Victor Caratini,C,Min,1.98,ACTIVE
701162,0.3182811538461538,52,0.30593906976744184,43,0.39606195238095243,21,0.3584525,2,ben malgeri,Ben Malgeri,CF,Det,0.03,ACTIVE
667472,0.3180929253731343,201,0.24577290140845065,71,0.21476986666666667,60,0.20199499999999995,19,dane myers,Dane Myers,CF,Cin,0.17,ACTIVE
500743,0.317593061452514,179,0.29227795918367344,49,0.24381818181818185,22,0.373,6,miguel rojas,Miguel Rojas,2B,LAD,0.84,ACTIVE
806198,0.3175866178343949,157,0.31086046153846153,117,0.27075543548387093,62,0.17595,20,cooper pratt,Cooper Pratt,SS,Mil,3.85,TEN_DAY_DL
