batter_name,batter,pa,pitches,decision_raw,contact_raw,power_raw,process_raw,decision_plus,contact_plus,power_plus,process_plus,swing_pct,chase_pct,contact_pct,in_play_pct,whiff_pct,xwoba_actual,pa_pitches,xwoba_vs_expected,pp_rank,dec_rank,con_rank,pow_rank,xwoba_rank,rank_gap,batscore,batscore_rank
Aaron Judge,592450,761,3207,0.0726715022671335,-0.0239457006144762,0.2354626324819059,0.2841884341345632,106.7,91.4,147.9,148.1,0.427,0.22,0.71,0.133,0.127,0.612,761,0.235,1.0,0.689,0.156,1.0,1.0,0.0,,
Shohei Ohtani,660271,803,3170,0.0649244262850054,-0.0012413297467421,0.1943909500560647,0.258074046594328,99.1,101.3,139.8,142.7,0.472,0.28,0.714,0.164,0.127,0.551,803,0.194,0.998,0.421,0.493,0.998,0.998,0.0,,
Juan Soto,665742,798,3318,0.06982229301521,0.0081221435144058,0.1541953048935435,0.2321397414231594,103.9,105.3,131.9,137.2,0.375,0.16,0.816,0.156,0.075,0.524,798,0.154,0.995,0.6,0.64,0.995,0.995,0.0,,
Yordan Álvarez,670541,644,2356,0.053679318272343,0.0418176973536214,0.1081208730275824,0.203617888653547,88.1,119.9,122.8,131.3,0.479,0.273,0.788,0.201,0.09,0.46,644,0.108,0.993,0.131,0.949,0.969,0.958,0.035,,
Fernando Tatís,665487,472,1665,0.0814041640934739,0.0052793818343397,0.113200352889444,0.1998838988172577,115.2,104.1,123.8,130.5,0.512,0.302,0.705,0.198,0.132,0.485,472,0.113,0.99,0.908,0.605,0.973,0.976,0.014,,
Marcell Ozuna,542303,697,2913,0.0792149178294222,-0.0181506138674357,0.1368747115739795,0.197939015535966,113.1,93.9,128.4,130.1,0.468,0.298,0.733,0.153,0.137,0.51,697,0.137,0.988,0.867,0.226,0.993,0.988,0.0,,
Bobby Witt,677951,734,2700,0.073070713131665,0.0262321595371279,0.0963606731014287,0.1956635457702218,107.1,113.2,120.5,129.6,0.511,0.325,0.783,0.207,0.099,0.456,734,0.096,0.985,0.7,0.849,0.96,0.948,0.037,,
Brent Rooker,667670,618,2409,0.0695742212158381,-0.0126803745087513,0.1333202689440638,0.1902141156511505,103.7,96.3,127.7,128.5,0.501,0.286,0.664,0.156,0.16,0.513,618,0.133,0.983,0.591,0.291,0.988,0.99,-0.007,,
Vladimir Guerrero,665489,708,2662,0.0739723965478406,0.026618803373342,0.0884499652027994,0.189041165123982,108.0,113.3,118.9,128.2,0.48,0.279,0.772,0.202,0.095,0.453,708,0.088,0.981,0.723,0.852,0.949,0.942,0.039,,
Kerry Carpenter,681481,340,1313,0.0669333587449314,-0.0078799969466359,0.1293365600137263,0.1883899218120218,101.1,98.4,127.0,128.1,0.511,0.33,0.751,0.17,0.145,0.494,340,0.129,0.978,0.494,0.375,0.983,0.981,-0.003,,
