batter,year,age,age_residual_27,career_year
112526,2015,42,15,1
112526,2016,43,16,2
112526,2017,44,17,3
112526,2018,45,18,4
115629,2015,43,16,1
116338,2015,40,13,1
120074,2015,40,13,1
120074,2016,41,14,2
121347,2015,40,13,1
121347,2016,41,14,2
133380,2015,37,10,1
134181,2015,36,9,1
134181,2016,37,10,2
134181,2017,38,11,3
134181,2018,39,12,4
136860,2015,38,11,1
136860,2016,39,12,2
136860,2017,40,13,3
150029,2015,36,9,1
150029,2016,37,10,2
150029,2017,38,11,3
150212,2015,36,9,1
150229,2015,39,12,1
150229,2016,40,13,2
150302,2015,37,10,1
150359,2015,38,11,1
217100,2015,38,11,1
218596,2015,40,13,1
276519,2015,37,10,1
276519,2016,38,11,2
276520,2017,40,13,1
279571,2016,36,9,1
279824,2015,36,9,1
282332,2015,35,8,1
282332,2016,36,9,2
282332,2017,37,10,3
282332,2019,39,12,4
285064,2015,38,11,1
285064,2016,39,12,2
285078,2015,34,7,1
285079,2015,41,14,1
285079,2016,42,15,2
285079,2017,43,16,3
329092,2015,40,13,1
346793,2015,36,9,1
346798,2015,37,10,1
346874,2015,36,9,1
346874,2016,37,10,2
400085,2015,42,15,1
400085,2016,43,16,2
400085,2017,44,17,3
400085,2018,45,18,4
400085,2019,46,19,5
400121,2015,37,10,1
400121,2016,38,11,2
400121,2017,39,12,3
400121,2018,40,13,4
400284,2015,37,10,1
400284,2016,38,11,2
400284,2017,39,12,3
400284,2018,40,13,4
405395,2015,35,8,1
405395,2016,36,9,2
405395,2017,37,10,3
405395,2018,38,11,4
405395,2019,39,12,5
405395,2021,41,14,6
405395,2022,42,15,7
407781,2015,38,11,1
407781,2016,39,12,2
407793,2015,37,10,1
407793,2016,38,11,2
407793,2017,39,12,3
407812,2015,35,8,1
407812,2016,36,9,2
407812,2017,37,10,3
407812,2018,38,11,4
407822,2015,34,7,1
407822,2016,35,8,2
407822,2017,36,9,3
407822,2018,37,10,4
407862,2015,39,12,1
407890,2015,36,9,1
407893,2015,35,8,1
407893,2016,36,9,2
407908,2015,39,12,1
407908,2016,40,13,2
408042,2015,36,9,1
408045,2015,32,5,1
408045,2016,33,6,2
408045,2017,34,7,3
408045,2018,35,8,4
408047,2015,34,7,1
408047,2016,35,8,2
408234,2015,32,5,1
408234,2016,33,6,2
