batter_name,batter,pa,confidence,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,rolling_decision_30d,rolling_trend,tag
Bo Bichette,666182,665,Tier A,116.1,102.8,112.8,108.8,0.53,0.35,0.393,0.0635,cold,Process+ elite; contact quality; surface stats not yet elite
Yainer Diaz,673237,571,Tier A,114.5,104.5,116.3,105.3,0.595,0.413,0.379,0.09657,hot,Process+ strong; contact quality; trending up; surface stats not yet elite
Alec Burleson,676475,555,Tier A,113.5,93.4,118.9,105.4,0.494,0.303,0.376,0.03333,cold,Process+ strong; contact quality; surface stats not yet elite
Luis García,671277,533,Tier A,112.8,95.8,114.1,106.5,0.539,0.369,0.384,0.06247,cold,Process+ strong; contact quality; surface stats not yet elite
Daylen Lile,695734,351,Tier B,112.6,112.9,108.1,105.6,0.522,0.267,0.388,0.10367,hot,Process+ strong; strong discipline; trending up; surface stats not yet elite
Amed Rosario,642708,206,Tier C,112.6,100.1,118.6,103.4,0.564,0.349,0.373,0.0808,warm,Process+ strong; contact quality; surface stats not yet elite
Michael Harris,671739,640,Tier A,112.3,90.0,112.6,107.9,0.57,0.401,0.384,0.04108,cold,Process+ strong; contact quality; surface stats not yet elite
Jakob Marsee,805300,233,Tier C,111.1,97.4,106.8,107.9,0.433,0.194,0.399,0.09614,hot,Process+ strong; trending up; surface stats not yet elite
Andrew Vaughn,683734,488,Tier A,111.0,97.0,112.1,105.4,0.465,0.31,0.393,0.04808,cold,Process+ strong; contact quality; surface stats not yet elite
Carlos Correa,621043,602,Tier A,110.7,93.3,110.9,106.4,0.464,0.298,0.39,0.07387,warm,Process+ strong; contact quality; surface stats not yet elite
Josh Naylor,647304,661,Tier A,110.6,100.4,117.5,101.9,0.543,0.333,0.36,0.07081,warm,Process+ strong; contact quality; surface stats not yet elite
Jeremy Peña,665161,547,Tier A,110.5,96.2,118.5,102.3,0.512,0.333,0.37,0.04933,cold,Process+ strong; contact quality; surface stats not yet elite
Alejandro Kirk,672386,594,Tier A,110.4,106.4,112.9,102.6,0.473,0.286,0.375,0.06343,cold,Process+ strong; contact quality; surface stats not yet elite
Agustín Ramírez,682663,583,Tier A,110.0,106.0,109.7,103.8,0.5,0.328,0.384,0.06554,cold,Process+ strong; contact quality; surface stats not yet elite
Yandy Díaz,650490,651,Tier A,110.0,101.0,111.0,104.2,0.443,0.267,0.378,0.06764,warm,Process+ strong; contact quality; surface stats not yet elite
