batter_name,batter,pa,confidence,primary_position,fantasy_positions,fantasy_positions_display,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,blast_rate,avg_swing_speed,rolling_decision_30d,rolling_trend,tag,season_stage
Everson Pereira,677592,48,Watch,OF,OF,OF,134.8,116.3,94.0,132.2,0.582,0.351,0.382,,,0.07238,warm,Process+ elite; elite discipline; surface stats not yet elite; [Early Season],early
Michael Conforto,624424,40,Watch,OF,,,126.1,114.1,92.3,125.2,0.434,0.257,0.386,,,0.07029,warm,Process+ elite; strong discipline; surface stats not yet elite; [Early Season],early
Vladimir Guerrero,665489,102,Signal,1B,1B,1B,124.0,113.3,111.7,114.6,0.48,0.274,0.397,0.188,76.3,0.08334,hot,Process+ elite; strong discipline; contact quality; confirmed by blast rate; trending up; surface stats not yet elite; [Early Season],early
Jeremiah Jackson,669236,83,Signal,2B,2B,2B,119.5,132.1,99.3,112.2,0.607,0.348,0.337,0.108,72.9,0.09465,hot,Process+ elite; elite discipline; confirmed by blast rate; trending up; surface stats not yet elite; [Early Season],early
Fernando Tatís,665487,106,Signal,OF,OF,OF,119.5,116.0,96.5,116.7,0.467,0.267,0.371,0.189,74.3,0.08777,hot,Process+ elite; elite discipline; confirmed by blast rate; trending up; surface stats not yet elite; [Early Season],early
Ramón Laureano,657656,97,Signal,OF,OF,OF,119.3,123.6,84.4,120.5,0.519,0.299,0.365,0.103,72.0,0.09177,hot,Process+ elite; elite discipline; confirmed by blast rate; trending up; surface stats not yet elite; [Early Season],early
Ronald Acuña,660670,116,Signal,OF,OF,OF,118.9,121.2,89.8,118.1,0.465,0.28,0.395,0.131,75.6,0.08952,hot,Process+ elite; elite discipline; confirmed by blast rate; trending up; surface stats not yet elite; [Early Season],early
Jeremy Peña,665161,46,Watch,SS,SS,SS,114.1,142.4,101.6,104.0,0.567,0.305,0.36,,,0.10919,hot,Process+ strong; elite discipline; trending up; surface stats not yet elite; [Early Season],early
Miguel Rojas,500743,48,Watch,2B,,,112.5,114.2,126.4,96.9,0.506,0.317,0.337,,,0.0802,warm,Process+ strong; strong discipline; contact quality; surface stats not yet elite; [Early Season],early
Corey Seager,608369,104,Signal,SS,SS,SS,112.2,114.4,92.7,111.9,0.503,0.284,0.344,0.093,71.9,0.08018,warm,Process+ strong; strong discipline; confirmed by blast rate; surface stats not yet elite; [Early Season],early
Blaze Alexander,677942,68,Watch,SS,,,111.2,127.1,77.1,115.5,0.583,0.359,0.319,0.089,72.9,0.10344,hot,Process+ strong; elite discipline; confirmed by blast rate; trending up; surface stats not yet elite; [Early Season],early
Nick Castellanos,592206,54,Watch,OF,,,110.4,120.3,99.5,106.0,0.605,0.382,0.296,,,0.08281,warm,Process+ strong; elite discipline; surface stats not yet elite; [Early Season],early
