batter_name,batter,pa,confidence,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,rank_gap,rolling_trend,xwoba_vs_expected,tag
Ernie Clement,676391,671,Tier A,105.3,99.7,130.5,91.2,0.552,0.36,0.313,0.476,warm,-0.052,Process+ above avg; large rank divergence (process >> results)
Jacob Wilson,805779,527,Tier A,103.1,98.3,128.1,90.5,0.497,0.327,0.302,0.457,improving,-0.056,Process+ above avg; large rank divergence (process >> results)
Nico Hoerner,663538,682,Tier A,105.4,94.5,128.2,93.3,0.49,0.332,0.324,0.436,improving,-0.041,Process+ above avg; large rank divergence (process >> results)
Luis Arráez,650333,699,Tier A,100.6,86.6,131.6,88.9,0.492,0.327,0.291,0.412,cold,-0.064,Process+ above avg; large rank divergence (process >> results)
Chandler Simpson,802415,440,Tier A,102.3,87.8,129.1,91.4,0.486,0.3,0.31,0.377,cold,-0.051,Process+ above avg; large rank divergence (process >> results)
Maikel García,672580,675,Tier A,107.3,86.2,129.6,96.2,0.4,0.226,0.345,0.355,cold,-0.027,Process+ above avg; large rank divergence (process >> results)
Keibert Ruiz,660688,272,Tier B,100.1,90.2,129.5,88.6,0.525,0.334,0.3,0.341,warm,-0.065,Process+ above avg; large rank divergence (process >> results)
Mookie Betts,605141,747,Tier A,103.8,94.3,128.3,91.9,0.418,0.232,0.327,0.338,warm,-0.049,Process+ above avg; large rank divergence (process >> results)
Josh Naylor,647304,661,Tier A,110.6,100.4,117.5,101.9,0.543,0.333,0.36,0.337,warm,0.002,Process+ strong; large rank divergence (process >> results)
Otto Lopez,672640,596,Tier A,106.5,94.0,119.4,98.5,0.462,0.293,0.35,0.297,cold,-0.015,Process+ above avg; process ahead of results
Jung Hoo Lee,808982,624,Tier A,102.4,98.2,121.1,93.0,0.447,0.246,0.326,0.293,warm,-0.043,Process+ above avg; process ahead of results
Cody Bellinger,641355,695,Tier A,104.8,88.7,116.9,99.1,0.485,0.307,0.338,0.292,cold,-0.012,Process+ above avg; process ahead of results
Miguel Andújar,609280,349,Tier B,101.6,106.9,113.3,94.1,0.535,0.316,0.324,0.287,warm,-0.037,Process+ above avg; process ahead of results
Yainer Diaz,673237,571,Tier A,114.5,104.5,116.3,105.3,0.595,0.413,0.379,0.282,hot,0.02,Process+ strong; process ahead of results; rolling hot
Amed Rosario,642708,206,Tier C,112.6,100.1,118.6,103.4,0.564,0.349,0.373,0.281,warm,0.01,Process+ strong; process ahead of results
Alec Burleson,676475,555,Tier A,113.5,93.4,118.9,105.4,0.494,0.303,0.376,0.273,cold,0.02,Process+ strong; process ahead of results
Masataka Yoshida,807799,215,Tier C,103.9,76.3,132.0,93.9,0.449,0.285,0.338,0.269,cold,-0.038,Process+ above avg; process ahead of results
José Altuve,514888,654,Tier A,101.0,82.7,117.4,96.6,0.499,0.374,0.323,0.259,improving,-0.025,Process+ above avg; process ahead of results
Alec Bohm,664761,528,Tier A,107.8,96.2,118.8,99.6,0.476,0.272,0.361,0.254,cold,-0.01,Process+ above avg; process ahead of results
Lourdes Gurriel,666971,554,Tier A,103.3,102.4,116.4,95.2,0.523,0.33,0.338,0.253,cold,-0.032,Process+ above avg; process ahead of results
Jeremy Peña,665161,547,Tier A,110.5,96.2,118.5,102.3,0.512,0.333,0.37,0.249,cold,0.004,Process+ strong; process ahead of results
Jeff Mcneil,643446,459,Tier A,101.3,122.2,108.5,92.9,0.529,0.271,0.327,0.239,hot,-0.043,Process+ above avg; process ahead of results; disciplined; rolling hot
Nathan Lukes,664770,511,Tier A,101.7,89.3,114.8,97.0,0.495,0.308,0.33,0.239,improving,-0.023,Process+ above avg; process ahead of results
Vinnie Pasquantino,686469,684,Tier A,109.2,91.6,117.2,102.6,0.479,0.311,0.367,0.236,cold,0.006,Process+ strong; process ahead of results
Brendan Donovan,680977,523,Tier A,108.4,91.4,120.4,100.3,0.439,0.254,0.364,0.228,improving,-0.006,Process+ strong; process ahead of results
Nolan Schanuel,694384,576,Tier A,100.2,91.1,117.0,94.2,0.455,0.254,0.325,0.213,cold,-0.037,Process+ above avg; process ahead of results
Luis García,671277,533,Tier A,112.8,95.8,114.1,106.5,0.539,0.369,0.384,0.212,cold,0.026,Process+ strong; process ahead of results
Alejandro Kirk,672386,594,Tier A,110.4,106.4,112.9,102.6,0.473,0.286,0.375,0.208,cold,0.006,Process+ strong; process ahead of results
Bo Bichette,666182,665,Tier A,116.1,102.8,112.8,108.8,0.53,0.35,0.393,0.206,cold,0.037,Process+ elite; process ahead of results; quality contact
Michael Harris,671739,640,Tier A,112.3,90.0,112.6,107.9,0.57,0.401,0.384,0.193,cold,0.033,Process+ strong; process ahead of results; quality contact
José Ramírez,608070,673,Tier A,104.6,95.5,114.4,98.7,0.464,0.294,0.353,0.19,cold,-0.014,Process+ above avg; process ahead of results
Cj Abrams,682928,638,Tier A,103.7,88.7,111.0,100.8,0.506,0.32,0.35,0.188,cold,-0.004,Process+ above avg; process ahead of results
Yandy Díaz,650490,651,Tier A,110.0,101.0,111.0,104.2,0.443,0.267,0.378,0.187,warm,0.014,Process+ strong; process ahead of results
Daylen Lile,695734,351,Tier B,112.6,112.9,108.1,105.6,0.522,0.267,0.388,0.178,hot,0.021,Process+ strong; process ahead of results; disciplined; rolling hot
Ty France,664034,504,Tier A,104.9,110.8,104.7,100.3,0.521,0.316,0.358,0.172,cold,-0.006,Process+ above avg; process ahead of results; disciplined
Xander Bogaerts,593428,579,Tier A,105.1,83.0,118.2,100.0,0.418,0.228,0.36,0.17,hot,-0.008,Process+ above avg; process ahead of results; rolling hot
Ceddanne Rafaela,678882,601,Tier A,103.5,109.5,104.3,99.5,0.589,0.41,0.353,0.167,warm,-0.01,Process+ above avg; process ahead of results; disciplined
Alex Bregman,608324,510,Tier A,102.1,98.2,116.4,94.9,0.403,0.208,0.345,0.163,cold,-0.033,Process+ above avg; process ahead of results
Jackson Chourio,694192,625,Tier A,106.1,99.8,107.8,102.2,0.537,0.379,0.367,0.159,warm,0.004,Process+ above avg; process ahead of results
Andrew Benintendi,643217,479,Tier A,103.0,101.5,107.4,99.2,0.503,0.283,0.351,0.158,warm,-0.012,Process+ above avg; process ahead of results
Nick Castellanos,592206,613,Tier A,105.2,111.7,98.9,103.0,0.589,0.364,0.362,0.155,hot,0.008,Process+ above avg; process ahead of results; disciplined; rolling hot
Jake Meyers,676694,385,Tier B,104.6,104.1,114.9,96.7,0.473,0.253,0.358,0.153,improving,-0.024,Process+ above avg; process ahead of results
