batter_name,batter,pa,confidence,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,rolling_decision_30d,tag
Jake Fraley,641584,382,Tier B,96.8,134.6,98.5,90.8,0.58,0.259,0.321,0.17296,Decision+ elite (top 10%)
Ozzie Albies,645277,448,Tier A,99.7,129.3,100.2,93.7,0.567,0.359,0.331,0.08346,Decision+ elite (top 10%)
Chris Taylor,621035,268,Tier B,96.0,128.7,78.4,100.2,0.485,0.221,0.379,0.10428,Decision+ elite (top 10%); low chase rate
Connor Norby,681393,204,Tier C,111.7,127.5,80.3,114.4,0.575,0.361,0.441,0.07266,Decision+ elite (top 10%); Process+ strong
Paul Dejong,657557,485,Tier A,104.4,126.2,82.1,107.0,0.58,0.308,0.404,0.0884,Decision+ elite (top 10%)
Austin Hedges,595978,168,Tier C,60.1,124.7,82.4,65.5,0.538,0.311,0.211,0.04812,Decision+ elite (top 10%)
Marcus Semien,543760,722,Tier A,101.7,124.2,110.7,91.9,0.5,0.228,0.337,0.11621,Decision+ elite (top 10%); low chase rate
Ramón Urías,602104,310,Tier B,105.3,123.7,103.2,98.7,0.497,0.262,0.368,0.09851,Decision+ elite (top 10%)
Korey Lee,686676,399,Tier B,95.8,122.9,88.4,96.7,0.59,0.337,0.354,0.08518,Decision+ elite (top 10%)
George Springer,543807,638,Tier A,103.0,122.6,102.1,97.3,0.485,0.24,0.356,0.08011,Decision+ elite (top 10%)
J. D. Davis,605204,168,Tier C,96.6,122.6,96.1,94.1,0.518,0.26,0.341,0.08878,Decision+ elite (top 10%)
Víctor Robles,645302,306,Tier B,105.7,121.5,105.9,98.3,0.543,0.293,0.36,0.09009,Decision+ elite (top 10%)
Austin Barnes,605131,158,Tier C,89.6,121.3,99.3,86.2,0.473,0.19,0.311,0.10882,Decision+ elite (top 10%); low chase rate
Ty France,664034,541,Tier A,98.9,121.0,99.9,94.8,0.512,0.312,0.346,0.14259,Decision+ elite (top 10%)
Stuart Fairchild,656413,233,Tier C,97.0,121.0,94.0,95.7,0.502,0.238,0.363,0.04565,Decision+ elite (top 10%); low chase rate
Christian Walker,572233,569,Tier A,112.3,120.7,90.4,111.8,0.484,0.252,0.428,0.05097,Decision+ elite (top 10%); Process+ strong
Ronald Acuña,660670,224,Tier C,110.7,120.5,90.5,110.3,0.471,0.231,0.41,0.10373,Decision+ elite (top 10%); low chase rate; Process+ strong
Jeff Mcneil,643446,500,Tier A,94.8,120.4,106.3,88.1,0.552,0.289,0.301,0.07981,Decision+ elite (top 10%)
Corey Seager,608369,529,Tier A,128.0,120.3,106.0,119.5,0.532,0.286,0.454,0.07973,Decision+ elite (top 10%); Process+ strong
Nick Gonzales,693304,395,Tier B,108.3,120.0,101.7,103.0,0.561,0.314,0.374,0.1088,Decision+ elite (top 10%); Process+ strong
Ezequiel Tovar,678662,707,Tier A,107.1,119.8,90.5,107.1,0.622,0.422,0.395,0.13509,Decision+ elite (top 10%)
