batter_name,batter,pa,confidence,primary_position,fantasy_positions,fantasy_positions_display,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,rolling_decision_30d,tag,season_stage
Bryce Teodosio,669326,150,Tier C,OF,OF,OF,84.0,129.5,89.4,83.8,0.627,0.358,0.222,0.0986,Decision+ elite (top 10%),mature
Nick Gonzales,693304,412,Tier A,2B,2B|SS,"2B, SS",99.5,129.4,103.5,92.0,0.574,0.307,0.292,0.10686,Decision+ elite (top 10%),mature
Marcus Semien,543760,545,Tier A,2B,2B,2B,99.2,126.8,102.2,92.8,0.491,0.258,0.318,0.0657,Decision+ elite (top 10%),mature
Ezequiel Tovar,678662,401,Tier A,SS,SS,SS,112.6,125.0,91.6,110.6,0.604,0.382,0.32,0.08214,Decision+ elite (top 10%); Process+ strong,mature
Matt Thaiss,642136,200,Tier C,C,C,C,83.5,124.3,87.5,85.2,0.485,0.225,0.295,0.0788,Decision+ elite (top 10%); low chase rate,mature
Ronald Acuña,660670,407,Tier A,OF,OF,OF,121.9,123.6,83.8,123.2,0.462,0.243,0.397,0.07555,Decision+ elite (top 10%); Process+ strong,mature
Christopher Morel,666624,319,Tier B,OF,OF|DH,"OF, DH",109.0,122.5,82.5,111.9,0.529,0.288,0.305,0.08618,Decision+ elite (top 10%); Process+ strong,mature
Jeff Mcneil,643446,459,Tier A,2B,2B|OF,"2B, OF",101.3,122.2,108.5,92.9,0.529,0.271,0.331,0.08637,Decision+ elite (top 10%),mature
Freddy Fermin,666023,369,Tier B,C,C,C,93.0,121.7,102.3,88.0,0.533,0.3,0.276,0.07033,Decision+ elite (top 10%),mature
Luke Raley,670042,236,Tier C,OF,1B|OF,"1B, OF",97.2,121.1,86.4,99.3,0.544,0.279,0.306,0.07349,Decision+ elite (top 10%),mature
Dansby Swanson,621020,666,Tier A,SS,SS,SS,115.0,120.6,90.8,114.1,0.503,0.253,0.341,0.0729,Decision+ elite (top 10%); Process+ strong,mature
Kyle Stowers,669065,469,Tier A,OF,OF,OF,126.1,120.6,90.6,124.7,0.537,0.282,0.376,0.11308,Decision+ elite (top 10%); Process+ strong,mature
Paul Dejong,657557,213,Tier C,3B,2B|3B,"2B, 3B",94.2,120.4,84.6,97.4,0.57,0.331,0.26,0.04837,Decision+ elite (top 10%),mature
Connor Norby,681393,340,Tier B,3B,3B,3B,105.3,120.3,92.9,104.1,0.541,0.336,0.306,0.0463,Decision+ elite (top 10%),mature
Andrew Mccutchen,457705,555,Tier A,OF,DH,DH,101.5,119.2,91.9,101.2,0.456,0.231,0.335,0.08426,Decision+ elite (top 10%); low chase rate,mature
Max Schuemann,680474,213,Tier C,3B,2B|3B|SS,"2B, 3B, SS",88.1,119.0,103.2,83.5,0.451,0.224,0.295,0.06836,Decision+ elite (top 10%); low chase rate,mature
Drew Waters,671221,220,Tier C,OF,OF,OF,94.6,118.9,91.3,95.0,0.565,0.338,0.265,0.06111,Decision+ elite (top 10%),mature
Víctor Robles,645302,160,Tier C,OF,OF,OF,84.6,118.4,106.4,78.9,0.573,0.393,0.256,0.08942,Decision+ elite (top 10%),mature
Miguel Vargas,678246,582,Tier A,3B,1B|3B,"1B, 3B",97.3,118.4,100.4,93.5,0.461,0.234,0.321,0.07716,Decision+ elite (top 10%); low chase rate,mature
