batter_name,batter,pa,confidence,primary_position,fantasy_positions,fantasy_positions_display,process_plus,discipline_plus,k_avoidance_plus,power_plus,swing_pct,chase_pct,xwoba_on_contact,rolling_decision_30d,tag,season_stage
Jeremy Peña,665161,46,Watch,SS,SS,SS,91.2,142.4,101.6,104.0,0.567,0.305,0.391,0.12172,Discipline+ elite (top 10%),early
Blaze Alexander,677942,88,Signal,3B,3B,3B,87.3,130.2,79.5,110.3,0.554,0.351,0.41,0.10667,Discipline+ elite (top 10%),early
Andrew Mccutchen,457705,52,Watch,OF,OF,OF,61.8,130.0,66.5,92.3,0.519,0.289,0.337,0.0908,Discipline+ elite (top 10%),early
Jake Meyers,676694,50,Watch,OF,OF,OF,86.2,127.3,106.5,97.1,0.53,0.306,0.368,0.07686,Discipline+ elite (top 10%),early
Jeremiah Jackson,669236,117,Signal,2B,2B,2B,88.6,127.1,99.2,102.6,0.603,0.356,0.376,0.09096,Discipline+ elite (top 10%),early
Jeff Mcneil,643446,124,Signal,2B,2B,2B,81.6,124.9,106.2,92.8,0.535,0.308,0.336,0.09514,Discipline+ elite (top 10%),early
Henry Davis,680779,89,Signal,C,C,C,62.5,123.7,96.3,79.4,0.525,0.313,0.277,0.09902,Discipline+ elite (top 10%),early
James Outman,681546,43,Watch,OF,OF,OF,57.2,122.9,86.1,79.0,0.561,0.302,0.25,0.09128,Discipline+ elite (top 10%),early
Christian Yelich,592885,64,Watch,OF,OF|DH,"OF, DH",76.9,122.7,87.6,96.8,0.498,0.292,0.355,0.10744,Discipline+ elite (top 10%),early
Everson Pereira,677592,74,Watch,OF,OF,OF,96.5,122.6,88.5,114.9,0.599,0.357,0.429,0.09453,Discipline+ elite (top 10%),early
Jorbit Vivas,678391,85,Signal,3B,3B,3B,69.6,122.6,109.6,80.0,0.52,0.28,0.264,0.09057,Discipline+ elite (top 10%),early
Jahmai Jones,663330,45,Watch,OF,OF,OF,114.6,122.0,85.5,133.3,0.551,0.315,0.571,0.08803,Discipline+ elite (top 10%); Process+ strong,early
Will Benson,666181,68,Watch,OF,OF,OF,75.3,121.7,83.9,97.0,0.477,0.278,0.351,0.08354,Discipline+ elite (top 10%),early
Miguel Vargas,678246,150,Signal,3B,3B,3B,82.7,120.9,96.1,98.5,0.419,0.197,0.359,0.08568,Discipline+ elite (top 10%); selective swinger; low chase rate,early
Ramón Laureano,657656,134,Signal,OF,OF,OF,88.4,120.6,80.3,111.0,0.519,0.302,0.429,0.08616,Discipline+ elite (top 10%),early
George Springer,543807,83,Signal,DH,DH,DH,78.5,120.5,103.9,91.0,0.5,0.255,0.32,0.09305,Discipline+ elite (top 10%),early
Ty France,664034,61,Watch,1B,1B,1B,110.5,120.1,121.4,113.1,0.565,0.313,0.422,0.08716,Discipline+ elite (top 10%); Process+ strong,early
Ronald Acuña,660670,159,Signal,OF,OF,OF,96.3,120.1,91.5,113.4,0.46,0.276,0.427,0.08733,Discipline+ elite (top 10%),early
Nick Gonzales,693304,130,Signal,3B,3B,3B,92.7,119.9,98.7,106.7,0.568,0.355,0.384,0.0928,Discipline+ elite (top 10%),early
Freddy Fermin,666023,65,Watch,C,C,C,69.4,119.3,95.4,86.3,0.498,0.302,0.284,0.08534,Discipline+ elite (top 10%),early
Marcus Semien,543760,140,Signal,2B,2B,2B,78.7,117.8,104.1,91.0,0.527,0.28,0.323,0.08778,Discipline+ elite (top 10%),early
Christian Walker,572233,147,Signal,1B,1B,1B,95.1,117.5,102.3,107.3,0.497,0.294,0.413,0.09057,Discipline+ elite (top 10%),early
Nick Castellanos,592206,68,Watch,OF,OF,OF,88.6,117.2,103.1,100.8,0.579,0.385,0.373,0.0913,Discipline+ elite (top 10%),early
Corey Seager,608369,147,Signal,SS,SS,SS,99.4,117.0,93.2,115.5,0.505,0.288,0.427,0.08708,Discipline+ elite (top 10%),early
Bryce Harper,547180,152,Signal,1B,1B,1B,105.9,117.0,101.9,117.7,0.534,0.349,0.429,0.08512,Discipline+ elite (top 10%),early
Agustín Ramírez,682663,134,Signal,C,C|DH,"C, DH",74.6,116.9,97.5,90.2,0.486,0.257,0.309,0.07436,Discipline+ elite (top 10%),early
Kyle Tucker,663656,153,Signal,OF,OF,OF,80.0,116.8,100.1,94.1,0.497,0.255,0.341,0.08168,Discipline+ elite (top 10%),early
Jackson Merrill,701538,136,Signal,OF,OF,OF,87.9,116.0,96.4,103.2,0.572,0.379,0.361,0.08047,Discipline+ elite (top 10%),early
Zack Gelof,680869,44,Watch,OF,OF,OF,89.2,115.6,101.5,102.1,0.494,0.243,0.393,0.08182,Discipline+ elite (top 10%),early
Paul Goldschmidt,502671,52,Watch,1B,1B,1B,99.4,115.6,91.8,116.2,0.456,0.275,0.439,0.08662,Discipline+ elite (top 10%),early
Bryce Teodosio,669326,42,Watch,OF,OF,OF,53.4,115.5,79.8,78.3,0.545,0.292,0.268,0.07335,Discipline+ elite (top 10%),early
Spencer Torkelson,679529,143,Signal,1B,1B,1B,98.7,115.5,84.1,118.9,0.404,0.217,0.474,0.07676,Discipline+ elite (top 10%); selective swinger; low chase rate,early
Daulton Varsho,662139,129,Signal,OF,OF,OF,85.5,114.9,104.3,97.3,0.555,0.319,0.328,0.08843,Discipline+ strong (top 25%),early
Connor Norby,681393,119,Signal,1B,1B,1B,71.4,114.9,80.8,94.8,0.464,0.259,0.357,0.07926,Discipline+ strong (top 25%),early
Tyler O'Neill,641933,61,Watch,OF,OF,OF,66.1,114.8,102.2,80.1,0.437,0.29,0.29,0.06488,Discipline+ strong (top 25%); selective swinger,early
Oswald Peraza,672724,103,Signal,2B,2B|3B,"2B, 3B",91.7,114.8,90.6,109.4,0.545,0.315,0.405,0.07424,Discipline+ strong (top 25%),early
Heliot Ramos,671218,135,Signal,OF,OF,OF,102.3,114.4,88.4,120.4,0.531,0.343,0.466,0.09161,Discipline+ strong (top 25%),early
