owner,name,team,own,slots,per_game,rank,signal,etfr,src,vol,inj,ret,xfp_ros,xfp_po,buckets,k
FA,Jose Altuve,Hou,72.4,"['2B', '2B/SS', 'IF', 'LF', 'OF', 'DH', 'UTIL', 'BE', 'IL']",1.79,121.0,hold,16.0,id·vol,3.31,,,41.0,24.0,"{'2B/SS', 'UTIL', 'OF'}",jose altuve
FA,Jarren Duran,Bos,68.3,"['LF', 'CF', 'OF', 'UTIL', 'BE', 'IL']",1.71,164.0,hold,19.0,id·vol,3.55,,,42.0,25.0,"{'UTIL', 'OF'}",jarren duran
FA,Salvador Perez,KC,64.8,"['C', '1B', '1B/3B', 'IF', 'DH', 'UTIL', 'BE', 'IL']",1.64,222.0,hold,17.0,id·vol,3.13,,,36.0,21.0,"{'C', 'UTIL', '1B/3B'}",salvador perez
FA,Jeremy Pena,Hou,63.4,"['SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",1.81,114.0,hold,13.0,id·vol,3.69,,,46.0,27.0,"{'2B/SS', 'UTIL'}",jeremy pena
FA,Austin Riley,Atl,61.1,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",1.45,349.0,drop,16.0,id·vol,3.11,,,31.0,18.0,"{'UTIL', '1B/3B'}",austin riley
FA,Maikel Garcia,KC,58.3,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",1.79,122.0,hold,12.0,id·vol,2.6,TEN_DAY_DL,2026-09-01,23.0,13.0,"{'UTIL', '1B/3B'}",maikel garcia
FA,Tyler Soderstrom,Oak,54.4,"['1B', '1B/3B', 'IF', 'LF', 'OF', 'UTIL', 'BE', 'IL']",1.91,80.0,hold,18.0,id·vol,2.88,SIXTY_DAY_DL,2027-02-01,0.0,0.0,"{'UTIL', '1B/3B', 'OF'}",tyler soderstrom
FA,Caleb Durbin,Bos,50.0,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",1.94,73.0,hold,19.0,id·vol,3.43,,,46.0,27.0,"{'UTIL', '1B/3B'}",caleb durbin
FA,Ryan O'Hearn,Pit,49.8,"['1B', '1B/3B', 'IF', 'RF', 'OF', 'DH', 'UTIL', 'BE', 'IL']",1.77,133.0,hold,15.0,id·vol,2.04,TEN_DAY_DL,2026-09-18,2.0,1.0,"{'UTIL', '1B/3B', 'OF'}",ryan ohearn
FA,Chandler Simpson,TB,47.8,"['LF', 'CF', 'OF', 'UTIL', 'BE', 'IL']",1.83,108.0,hold,19.0,id·vol,3.59,,,46.0,27.0,"{'UTIL', 'OF'}",chandler simpson
