batter_name,primary_position,fantasy_positions,fantasy_positions_display,is_multi_position,position_count,batter,pa,pitches,decision_raw,contact_raw,power_raw,process_raw,decision_plus,k_avoidance_plus,power_plus,process_plus,swing_pct,chase_pct,contact_pct,in_play_pct,whiff_pct,xwoba_actual,pa_pitches,xwoba_vs_expected,xwoba_on_contact,blend_weight,all_positions_seen,avg_swing_speed,blast_rate,blast_contact_rate,squared_up_rate,max_ev,swing_count,proc_plus_positional,sb_per_pa_raw,hbp_per_pa_raw,est_bb_rate,est_k_rate,est_tb_rate,est_hbp_rate,est_h_rate,est_r_rate,est_rbi_rate,est_sb_rate,core_fp_per_pa,full_fp_per_pa,fp_per_pa,fp_per_game
Enrique Hernández,1B,1B,1B,False,1.0,571771,4,12,0.0069906085880307,0.1537422004679118,0.4208758975630281,0.57461809803094,42.5,168.5,184.4,208.9,0.5,0.303,0.783,0.333,0.083,0.78,4,0.421,0.78,0.02,3B,,,,,,,149.8,0.0,0.0,0.0707193866982246,0.1861049462891371,0.6624801846949129,0.0089,0.45,0.196,0.1908,0.0195,0.5755,0.9623,0.9623,3.368
Garrett Martin,,,,,,682003,1,1,0.2883774006994263,0.1820718419631381,,0.1820718419631381,317.7,180.7,,126.8,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,,,,0.08073358662044362,0.09257861559213984,0.4301429103032248,0.009,,,,0.02,0.4473,,,
Andy Perez,,,,,,700321,1,1,0.2433451543386996,0.2494073434808399,,0.2494073434808399,273.6,209.9,,140.8,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,,,,0.079283978447679,0.09257861559213984,0.4301429103032248,0.009,,,,0.02,0.4458,,,
Daniel Pierce,,,,,,828084,1,1,0.2384416011731682,0.1884960748278601,,0.1884960748278601,268.8,183.5,,128.1,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,,,,0.07912619796628965,0.09257861559213984,0.4301429103032248,0.009,,,,0.02,0.4457,,,
Cam Cannarella,,,,,,703448,1,1,0.2231097142264347,0.2679788016459142,,0.2679788016459142,253.8,218.0,,144.7,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,,,,0.07863313396194795,0.09257861559213984,0.4301429103032248,0.009,,,,0.02,0.4452,,,
Freili Encarnacion,,,,,,703175,1,1,0.2138711872715998,0.1674687185711063,,0.1674687185711063,244.8,174.4,,123.7,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,,,,0.07833729555934292,0.09257861559213984,0.4301429103032248,0.009,,,,0.02,0.4449,,,
Jake McCutcheon,,,,,,823817,1,1,0.2137190169969574,0.2301886432108348,,0.2301886432108348,244.7,201.6,,136.8,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,,,,0.07833400846598064,0.09257861559213984,0.4301429103032248,0.009,,,,0.02,0.4449,,,
Alexey Lumpuy,,,,,,815121,1,1,0.2050561592790108,0.2369829683419828,,0.2369829683419828,236.2,204.5,,138.2,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,,,,0.078054605530187,0.09257861559213984,0.4301429103032248,0.009,,,,0.02,0.4446,,,
Pedro Catuy,,,,,,806869,1,1,0.2028096258022108,0.2050218648800199,,0.2050218648800199,234.0,190.7,,131.6,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,,,,0.07798228947621688,0.09257861559213984,0.4301429103032248,0.009,,,,0.02,0.4445,,,
Blake Sabol,,,,,,666165,1,1,0.1961806159499454,0.2679045511634804,,0.2679045511634804,227.5,217.9,,144.7,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,,,,0.07776862840766881,0.09257861559213984,0.4301429103032248,0.009,,,,0.02,0.4443,,,
Lizandro Espinoza,,,,,,692371,1,1,0.1937526706160764,0.2408304876481021,,0.2408304876481021,225.1,206.2,,139.1,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,,,,0.07768973816697414,0.09257861559213984,0.4301429103032248,0.009,,,,0.02,0.4443,,,
Geovanny Planchart,,,,,,685712,1,1,0.195912221319576,0.199226009275636,,0.199226009275636,227.2,188.2,,130.3,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,,,,0.07775876712758198,0.09257861559213984,0.4301429103032248,0.009,,,,0.02,0.4443,,,
Jhorman Bravo,,,,,,829939,1,1,0.1907473011793172,0.2499592873269826,,0.2499592873269826,222.2,210.2,,141.0,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,,,,0.07759441245946808,0.09257861559213984,0.4301429103032248,0.009,,,,0.02,0.4442,,,
Jake Rucker,,,,,,696160,1,1,0.1923795723625244,0.2263345384752631,,0.2263345384752631,223.8,199.9,,136.0,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,,,,0.07764700595326453,0.09257861559213984,0.4301429103032248,0.009,,,,0.02,0.4442,,,
Gavin Conticello,,,,,,695521,1,1,0.1863023102189938,0.2816401671878397,,0.2816401671878397,217.8,223.9,,147.6,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,,,,0.07744978035152784,0.09257861559213984,0.4301429103032248,0.009,,,,0.02,0.444,,,
Jacob McCombs,,,,,,829643,1,1,0.1823069879773138,0.2838308352134062,,0.2838308352134062,213.9,224.9,,148.0,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,,,,0.07732158371039899,0.09257861559213984,0.4301429103032248,0.009,,,,0.02,0.4439,,,
