batter,pa_vs_L,pa_vs_R,rate_vs_L,rate_R,annual_rate,total_pa,lift_vs_L_pct,lift_vs_R_pct,player_name,team,rank
405395,582.0,1108.0,0.45017182130584193,0.296028880866426,0.34911242603550297,1690,28.9,-15.2,,,
408234,507.0,1528.0,0.24260355029585798,0.20484293193717276,0.21425061425061426,2035,13.2,-4.4,,,
425783,399.0,926.0,0.14536340852130325,0.3434125269978402,0.2837735849056604,1325,-48.8,21.0,,,
425877,354.0,1344.0,0.3700564971751412,0.2507440476190476,0.2756183745583039,1698,34.3,-9.0,,,
429664,251.0,624.0,0.2788844621513944,0.3060897435897436,0.29828571428571427,875,-6.5,2.6,,,
429665,274.0,790.0,0.38321167883211676,0.3227848101265823,0.3383458646616541,1064,13.3,-4.6,,,
430945,342.0,799.0,0.29239766081871343,0.27284105131414266,0.2787028921998247,1141,4.9,-2.1,,,
435079,222.0,593.0,0.1981981981981982,0.3102866779089376,0.27975460122699386,815,-29.2,10.9,,,
435559,320.0,783.0,0.353125,0.3090676883780332,0.32184950135992746,1103,9.7,-4.0,,,
435622,389.0,712.0,0.40359897172236503,0.16713483146067415,0.2506811989100817,1101,61.0,-33.3,,,
443558,768.0,1587.0,0.3697916666666667,0.2772526780088217,0.30743099787685774,2355,20.3,-9.8,,,
444482,541.0,2205.0,0.17744916820702403,0.31020408163265306,0.28404952658412236,2746,-37.5,9.2,,,
444876,296.0,715.0,0.20945945945945946,0.22237762237762237,0.218595450049456,1011,-4.2,1.7,,,
446334,662.0,1184.0,0.3338368580060423,0.19763513513513514,0.24647887323943662,1846,35.4,-19.8,,,
448801,215.0,659.0,-0.06046511627906977,0.01669195751138088,-0.002288329519450801,874,2542.3,-829.4,,,
451594,204.0,725.0,0.19117647058823528,0.2096551724137931,0.20559741657696448,929,-7.0,2.0,,,
452678,430.0,1028.0,0.2627906976744186,0.2801556420233463,0.27503429355281206,1458,-4.5,1.9,,,
453568,1042.0,2358.0,0.3522072936660269,0.3384223918575064,0.3426470588235294,3400,2.8,-1.2,,,
453943,282.0,729.0,0.24113475177304963,0.2496570644718793,0.24727992087042533,1011,-2.5,1.0,,,
455117,676.0,1622.0,0.14792899408284024,0.0721331689272503,0.09442993907745866,2298,56.7,-23.6,,,
455139,371.0,824.0,0.20215633423180593,0.1638349514563107,0.17573221757322174,1195,15.0,-6.8,,,
455976,361.0,813.0,0.31024930747922436,0.3923739237392374,0.36712095400340716,1174,-15.5,6.9,,,
456715,467.0,1218.0,0.32762312633832974,0.25205254515599346,0.27299703264094954,1685,20.0,-7.7,,,
456781,707.0,1107.0,0.26449787835926447,0.23035230352303523,0.24366041896361632,1814,8.6,-5.5,,,
457705,1099.0,2538.0,0.31210191082802546,0.2462568951930654,0.2661534231509486,3637,17.3,-7.5,,,
457708,355.0,933.0,0.11830985915492957,0.22186495176848875,0.19332298136645962,1288,-38.8,14.8,,,
457759,1061.0,2410.0,0.3704052780395853,0.3369294605809129,0.34716220109478535,3471,6.7,-2.9,,,
457763,402.0,945.0,0.3681592039800995,0.2984126984126984,0.3192279138827023,1347,15.3,-6.5,,,
458015,737.0,1645.0,0.21166892808683854,0.3574468085106383,0.3123425692695214,2382,-32.2,14.4,,,
458731,411.0,1208.0,0.16058394160583941,0.3228476821192053,0.2816553428042001,1619,-43.0,14.6,,,
460075,326.0,626.0,0.44171779141104295,0.26517571884984026,0.32563025210084034,952,35.7,-18.6,,,
460086,341.0,860.0,0.18475073313782991,0.29069767441860467,0.26061615320566195,1201,-29.1,11.5,,,
462101,778.0,1822.0,0.2609254498714653,0.2513721185510428,0.2542307692307692,2600,2.6,-1.1,,,
467092,280.0,822.0,0.3678571428571429,0.29683698296836986,0.31488203266787657,1102,16.8,-5.7,,,
467793,1202.0,3015.0,0.389351081530782,0.2965174129353234,0.32297842067820726,4217,20.6,-8.2,,,
467827,193.0,658.0,0.11398963730569948,0.2629179331306991,0.2291421856639248,851,-50.3,14.7,,,
474568,226.0,608.0,0.3008849557522124,0.19901315789473684,0.22661870503597123,834,32.8,-12.2,,,
474832,512.0,1643.0,0.173828125,0.29214850882531956,0.2640371229698376,2155,-34.2,10.6,,,
475174,209.0,700.0,0.20574162679425836,0.25142857142857145,0.24092409240924093,909,-14.6,4.4,,,
475253,346.0,748.0,0.2398843930635838,0.30080213903743314,0.28153564899451555,1094,-14.8,6.8,,,
476704,443.0,941.0,0.2054176072234763,0.2879914984059511,0.2615606936416185,1384,-21.5,10.1,,,
488726,632.0,1476.0,0.2721518987341772,0.4640921409214092,0.40654648956356737,2108,-33.1,14.2,,,
493329,895.0,1912.0,0.39776536312849164,0.3253138075313807,0.34841467759173494,2807,14.2,-6.6,,,
500743,966.0,2203.0,0.3581780538302277,0.24875170222423967,0.28210792047964656,3169,27.0,-11.8,Miguel Rojas,LAD,143.0
500871,861.0,1917.0,0.3426248548199768,0.2655190401669275,0.2894168466522678,2778,18.4,-8.3,,,
500874,217.0,746.0,0.35944700460829493,0.27479892761394104,0.29387331256490135,963,22.3,-6.5,,,
501303,274.0,686.0,0.18613138686131386,0.21428571428571427,0.20625,960,-9.8,3.9,,,
501981,386.0,915.0,0.31088082901554404,0.21639344262295082,0.2444273635664873,1301,27.2,-11.5,,,
502054,1064.0,2751.0,0.29605263157894735,0.2300981461286805,0.24849279161205767,3815,19.1,-7.4,,,
502110,951.0,2555.0,0.40168243953732913,0.28845401174168295,0.31916714204221336,3506,25.9,-9.6,,,
502210,312.0,881.0,0.32051282051282054,0.2849035187287174,0.2942162615255658,1193,8.9,-3.2,,,
502481,136.0,702.0,0.1323529411764706,0.19230769230769232,0.18257756563245822,838,-27.5,5.3,,,
502517,222.0,607.0,0.26576576576576577,0.3756177924217463,0.34620024125452353,829,-23.2,8.5,,,
502671,1112.0,3463.0,0.44064748201438847,0.26393300606410625,0.30688524590163935,4575,43.6,-14.0,,,
503556,454.0,1075.0,0.24669603524229075,0.17767441860465116,0.19816873773708307,1529,24.5,-10.3,,,
506702,272.0,569.0,0.10294117647058823,0.005272407732864675,0.036860879904875146,841,179.3,-85.7,,,
514888,1081.0,3093.0,0.4246068455134135,0.36566440349175555,0.38092956396741734,4174,11.5,-4.0,Jose Altuve,HOU,71.0
514917,758.0,1871.0,0.25857519788918204,0.23142704436130412,0.2392544693799924,2629,8.1,-3.3,,,
516416,698.0,1832.0,0.3982808022922636,0.27565502183406115,0.30948616600790513,2530,28.7,-10.9,,,
516770,419.0,1250.0,0.3126491646778043,0.2472,0.2636309167165968,1669,18.6,-6.2,,,
516782,966.0,2292.0,0.2691511387163561,0.3045375218150087,0.29404542664211175,3258,-8.5,3.6,,,
518586,397.0,465.0,0.28463476070528965,0.11182795698924732,0.191415313225058,862,48.7,-41.6,,,
518595,489.0,1431.0,0.3333333333333333,0.1872816212438854,0.22447916666666667,1920,48.5,-16.6,,,
518618,133.0,724.0,0.09774436090225563,0.27900552486187846,0.2508751458576429,857,-61.0,11.2,,,
518626,566.0,1590.0,0.33568904593639576,0.2672955974842767,0.2852504638218924,2156,17.7,-6.3,,,
518692,1415.0,3371.0,0.3385159010600707,0.43132601601898546,0.4038863351441705,4786,-16.2,6.8,Freddie Freeman,LAD,9.0
518735,670.0,1879.0,0.2955223880597015,0.27833954230973923,0.28285602196939974,2549,4.5,-1.6,,,
518792,380.0,1924.0,0.15263157894736842,0.3024948024948025,0.2777777777777778,2304,-45.1,8.9,,,
518934,971.0,2417.0,0.35015447991761073,0.28175424079437317,0.301357733175915,3388,16.2,-6.5,,,
518960,252.0,553.0,0.21428571428571427,0.2513562386980108,0.23975155279503105,805,-10.6,4.8,,,
519048,209.0,837.0,0.11961722488038277,0.31899641577060933,0.27915869980879543,1046,-57.2,14.3,,,
519058,561.0,1534.0,0.26024955436720143,0.29595827900912647,0.2863961813842482,2095,-9.1,3.3,,,
519203,811.0,2387.0,0.3477188655980271,0.3586091328026812,0.35584740462789244,3198,-2.3,0.8,,,
519317,772.0,2191.0,0.30569948186528495,0.22044728434504793,0.24265946675666555,2963,26.0,-9.2,Giancarlo Stanton,NYY,229.0
520471,502.0,1137.0,0.2848605577689243,0.1882145998240985,0.2178157413056742,1639,30.8,-13.6,,,
521692,900.0,2654.0,0.2811111111111111,0.2724189902034665,0.2746201463140124,3554,2.4,-0.8,Salvador Perez,KC,138.0
527038,1053.0,1857.0,0.33048433048433046,0.33225632740980077,0.3316151202749141,2910,-0.3,0.2,,,
541645,544.0,1435.0,0.23897058823529413,0.19303135888501743,0.20565942395149064,1979,16.2,-6.1,,,
542194,255.0,557.0,0.1843137254901961,0.1436265709156194,0.1564039408866995,812,17.8,-8.2,,,
542255,243.0,744.0,0.23868312757201646,0.2916666666666667,0.2786220871327254,987,-14.3,4.7,,,
542303,876.0,2879.0,0.2796803652968037,0.3025356026398055,0.29720372836218373,3755,-5.9,1.8,Marcell Ozuna,PIT,170.0
542340,582.0,1372.0,0.17010309278350516,0.21209912536443148,0.19959058341862845,1954,-14.8,6.3,,,
542364,157.0,936.0,0.044585987261146494,0.2467948717948718,0.21774931381518756,1093,-79.5,13.3,,,
542583,613.0,1453.0,0.2642740619902121,0.26083964211975225,0.26185866408518876,2066,0.9,-0.4,,,
542932,447.0,1128.0,0.19686800894854586,0.20390070921985815,0.2019047619047619,1575,-2.5,1.0,,,
543063,707.0,1854.0,0.2036775106082037,0.24541531823085222,0.23389301054275674,2561,-12.9,4.9,,,
543068,729.0,1787.0,0.3223593964334705,0.27644096250699496,0.28974562798092207,2516,11.3,-4.6,,,
543228,579.0,1397.0,0.3177892918825561,0.1725125268432355,0.21508097165991902,1976,47.8,-19.8,,,
543257,829.0,1931.0,0.3088057901085645,0.19471776281719316,0.2289855072463768,2760,34.9,-15.0,,,
543281,447.0,1171.0,0.24608501118568232,0.24679760888129804,0.2466007416563659,1618,-0.2,0.1,,,
543305,499.0,1291.0,0.24248496993987975,0.24089852827265684,0.24134078212290502,1790,0.5,-0.2,,,
543309,444.0,999.0,0.240990990990991,0.16016016016016016,0.18503118503118504,1443,30.2,-13.4,Kyle Higashioka,TEX,256.0
543333,703.0,1725.0,0.1934566145092461,0.2655072463768116,0.24464579901153213,2428,-20.9,8.5,,,
543401,330.0,782.0,0.20606060606060606,0.30051150895140666,0.27248201438848924,1112,-24.4,10.3,,,
543510,693.0,1438.0,0.17316017316017315,0.14186369958275383,0.15204129516658846,2131,13.9,-6.7,James McCann,AZ,308.0
543543,171.0,938.0,0.005847953216374269,0.22707889125799574,0.19296663660955815,1109,-97.0,17.7,,,
543592,365.0,688.0,0.33972602739726027,0.18313953488372092,0.23741690408357075,1053,43.1,-22.9,,,
543685,556.0,1550.0,0.4028776978417266,0.3825806451612903,0.3879392212725546,2106,3.9,-1.4,,,
543760,1353.0,3550.0,0.3296378418329638,0.33492957746478874,0.33346930450744444,4903,-1.1,0.4,Marcus Semien,NYM,175.0
543768,231.0,895.0,0.09956709956709957,0.264804469273743,0.23090586145648312,1126,-56.9,14.7,,,
543807,996.0,2985.0,0.29819277108433734,0.3504187604690117,0.33735242401406684,3981,-11.6,3.9,George Springer,TOR,73.0
543829,278.0,790.0,0.2158273381294964,0.23291139240506328,0.22846441947565543,1068,-5.5,1.9,,,
