owner,name,team,own,slots,per_game,rank,signal,etfr,src,vol,inj,ret,xfp_ros,xfp_po,buckets
MINE,Aaron Judge,NYY,,"['RF', 'OF', 'DH', 'UTIL', 'BE', 'IL']",2.47,6.0,add,13.0,id·vol,2.19,SIXTY_DAY_DL,2026-09-18,3.0,2.0,"{'UTIL', 'OF'}"
MINE,Vladimir Guerrero Jr.,Tor,,"['1B', '1B/3B', 'IF', 'DH', 'UTIL', 'BE', 'IL']",2.04,45.0,hold,21.0,id·vol,3.22,,,46.0,27.0,"{'UTIL', '1B/3B'}"
MINE,Corbin Carroll,Ari,,"['RF', 'OF', 'UTIL', 'BE', 'IL']",2.47,7.0,add,28.0,id·vol,3.92,,,67.0,39.0,"{'UTIL', 'OF'}"
MINE,Elly De La Cruz,Cin,,"['SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",2.06,44.0,hold,22.0,id·vol,4.2,,,60.0,35.0,"{'2B/SS', 'UTIL'}"
MINE,Pete Alonso,Bal,,"['1B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', 'DH']",2.24,19.0,hold,26.0,id·vol,3.79,,,59.0,35.0,"{'UTIL', '1B/3B'}"
MINE,Wyatt Langford,Tex,,"['LF', 'CF', 'OF', 'UTIL', 'BE', 'IL']",2.0,59.0,hold,14.0,id·vol,3.81,,,53.0,31.0,"{'UTIL', 'OF'}"
MINE,Luis Arraez,Phi,,"['1B', '1B/3B', 'IF', 'DH', 'UTIL', 'BE', 'IL', '2B', '2B/SS']",2.0,60.0,add,22.0,id·vol,3.78,,,53.0,31.0,"{'2B/SS', 'UTIL', '1B/3B'}"
MINE,Michael Harris II,Atl,,"['CF', 'OF', 'UTIL', 'BE', 'IL']",2.13,29.0,add,22.0,id·vol,3.51,,,52.0,31.0,"{'UTIL', 'OF'}"
MINE,Jordan Walker,StL,,"['RF', 'OF', 'UTIL', 'BE', 'IL']",1.86,99.0,hold,21.0,id·vol,3.59,,,46.0,27.0,"{'UTIL', 'OF'}"
MINE,Max Muncy,LAD,,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",1.95,68.0,hold,18.0,id·vol,2.67,,,36.0,21.0,"{'UTIL', '1B/3B'}"
MINE,Hunter Goodman,Col,,"['C', 'DH', 'UTIL', 'BE', 'IL']",1.99,61.0,hold,19.0,id·vol,2.69,TEN_DAY_DL,2026-08-25,36.0,21.0,"{'C', 'UTIL'}"
MINE,Luis Garcia Jr.,NYY,,"['2B', '2B/SS', 'IF', 'UTIL', 'BE', 'IL', '1B', '1B/3B', 'DH']",2.24,14.0,add,20.0,id·vol,3.07,,,48.0,28.0,"{'2B/SS', 'UTIL', '1B/3B'}"
MINE,Jackson Merrill,SD,,"['CF', 'OF', 'UTIL', 'BE', 'IL']",2.18,24.0,add,24.0,id·vol,3.68,,,56.0,33.0,"{'UTIL', 'OF'}"
MINE,Bryson Stott,Phi,,"['2B', '2B/SS', 'IF', 'UTIL', 'BE', 'IL', '3B', '1B/3B']",2.04,47.0,add,21.0,id·vol,3.36,,,48.0,28.0,"{'2B/SS', 'UTIL', '1B/3B'}"
MINE,Joshua Baez,StL,,"['CF', 'RF', 'OF', 'UTIL', 'BE', 'IL']",,,,,NO_DATA,,,,,,"{'UTIL', 'OF'}"
FA,Jose Altuve,Hou,72.4,"['2B', '2B/SS', 'IF', 'LF', 'OF', 'DH', 'UTIL', 'BE', 'IL']",1.79,121.0,hold,16.0,id·vol,3.31,,,41.0,24.0,"{'2B/SS', 'UTIL', 'OF'}"
FA,Jarren Duran,Bos,68.3,"['LF', 'CF', 'OF', 'UTIL', 'BE', 'IL']",1.71,164.0,hold,19.0,id·vol,3.55,,,42.0,25.0,"{'UTIL', 'OF'}"
FA,Salvador Perez,KC,64.8,"['C', '1B', '1B/3B', 'IF', 'DH', 'UTIL', 'BE', 'IL']",1.64,222.0,hold,17.0,id·vol,3.13,,,36.0,21.0,"{'C', 'UTIL', '1B/3B'}"
FA,Jeremy Pena,Hou,63.4,"['SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",1.81,114.0,hold,13.0,id·vol,3.69,,,46.0,27.0,"{'2B/SS', 'UTIL'}"
FA,Austin Riley,Atl,61.1,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",1.45,349.0,drop,16.0,id·vol,3.11,,,31.0,18.0,"{'UTIL', '1B/3B'}"
FA,Maikel Garcia,KC,58.3,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",1.79,122.0,hold,12.0,id·vol,2.6,TEN_DAY_DL,2026-09-01,23.0,13.0,"{'UTIL', '1B/3B'}"
FA,Tyler Soderstrom,Oak,54.4,"['1B', '1B/3B', 'IF', 'LF', 'OF', 'UTIL', 'BE', 'IL']",1.91,80.0,hold,18.0,id·vol,2.88,SIXTY_DAY_DL,2027-02-01,0.0,0.0,"{'UTIL', '1B/3B', 'OF'}"
FA,Caleb Durbin,Bos,50.0,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",1.94,73.0,hold,19.0,id·vol,3.43,,,46.0,27.0,"{'UTIL', '1B/3B'}"
FA,Ryan O'Hearn,Pit,49.8,"['1B', '1B/3B', 'IF', 'RF', 'OF', 'DH', 'UTIL', 'BE', 'IL']",1.77,133.0,hold,15.0,id·vol,2.04,TEN_DAY_DL,2026-09-18,2.0,1.0,"{'UTIL', '1B/3B', 'OF'}"
FA,Chandler Simpson,TB,47.8,"['LF', 'CF', 'OF', 'UTIL', 'BE', 'IL']",1.83,108.0,hold,19.0,id·vol,3.59,,,46.0,27.0,"{'UTIL', 'OF'}"
FA,Willy Adames,SF,47.3,"['SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",1.7,169.0,hold,18.0,id·vol,3.16,TEN_DAY_DL,2026-09-07,18.0,11.0,"{'2B/SS', 'UTIL'}"
FA,Teoscar Hernandez,LAD,47.1,"['RF', 'OF', 'UTIL', 'BE', 'IL', 'LF']",1.49,324.0,drop,12.0,id·vol,2.85,,,29.0,17.0,"{'UTIL', 'OF'}"
FA,Vinnie Pasquantino,KC,45.2,"['1B', '1B/3B', 'IF', 'DH', 'UTIL', 'BE', 'IL']",2.08,39.0,hold,16.0,id·vol,3.01,,,44.0,26.0,"{'UTIL', '1B/3B'}"
FA,Brooks Lee,Min,44.5,"['2B', '3B', 'SS', '2B/SS', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",1.7,175.0,hold,17.0,id·vol,3.28,,,39.0,23.0,"{'2B/SS', 'UTIL', '1B/3B'}"
FA,Ryan Jeffers,Min,43.3,"['C', 'DH', 'UTIL', 'BE', 'IL']",1.95,67.0,hold,11.0,id·vol,2.98,,,40.0,24.0,"{'C', 'UTIL'}"
FA,Matt Chapman,SF,42.8,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",1.49,320.0,drop,11.0,id·vol,1.93,SIXTY_DAY_DL,2027-02-01,0.0,0.0,"{'UTIL', '1B/3B'}"
FA,Brent Rooker,Oak,40.5,"['RF', 'OF', 'DH', 'UTIL', 'BE', 'IL']",1.56,274.0,hold,7.0,id·vol,2.14,SIXTY_DAY_DL,2027-02-01,0.0,0.0,"{'UTIL', 'OF'}"
FA,Yainer Diaz,Hou,40.1,"['C', 'DH', 'UTIL', 'BE', 'IL']",1.67,200.0,hold,9.0,id·vol,2.58,,,30.0,18.0,"{'C', 'UTIL'}"
