batter_name,batter,pa,confidence,primary_position,fantasy_positions,fantasy_positions_display,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,xwoba_vs_expected,tag,season_stage
Aaron Judge,592450,761,Tier A,OF,OF|DH,"OF, DH",148.1,106.7,91.4,147.9,0.427,0.22,0.472,0.235,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
Shohei Ohtani,660271,803,Tier A,TWP,DH,DH,142.7,99.1,101.3,139.8,0.472,0.28,0.442,0.194,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
Juan Soto,665742,798,Tier A,OF,OF,OF,137.2,103.9,105.3,131.9,0.375,0.16,0.47,0.154,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
Marcell Ozuna,542303,697,Tier A,DH,DH,DH,130.1,113.1,93.9,128.4,0.468,0.298,0.403,0.137,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
Matt Wallner,670242,267,Tier B,OF,OF|DH,"OF, DH",122.5,111.6,79.5,128.2,0.479,0.265,0.357,0.135,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
Brent Rooker,667670,618,Tier A,OF,DH,DH,128.5,103.7,96.3,127.7,0.501,0.286,0.383,0.133,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
Giancarlo Stanton,519317,536,Tier A,DH,DH,DH,126.5,89.2,100.1,127.1,0.469,0.277,0.368,0.13,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
Kerry Carpenter,681481,340,Tier B,OF,OF|DH,"OF, DH",128.1,101.1,98.4,127.0,0.511,0.33,0.383,0.129,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
Michael Toglia,669911,470,Tier A,1B,1B|OF,"1B, OF",120.5,96.6,88.2,125.4,0.451,0.288,0.362,0.121,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
Kyle Schwarber,656941,718,Tier A,OF,DH,DH,121.6,94.1,92.5,125.0,0.402,0.213,0.384,0.119,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
Oneil Cruz,665833,617,Tier A,OF,SS|OF,"SS, OF",120.8,81.6,98.1,124.2,0.464,0.322,0.346,0.115,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
Fernando Tatís,665487,472,Tier A,OF,OF,OF,130.5,115.2,104.1,123.8,0.512,0.302,0.403,0.113,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
Rafael Devers,646240,593,Tier A,DH,3B,3B,124.3,108.6,95.9,123.1,0.509,0.332,0.367,0.11,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
Yordan Álvarez,670541,644,Tier A,OF,OF|DH,"OF, DH",131.3,88.1,119.9,122.8,0.479,0.273,0.414,0.108,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
Tyler O'Neill,641933,477,Tier A,OF,OF|DH,"OF, DH",115.3,100.6,83.1,122.0,0.446,0.263,0.34,0.104,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong,mature
