batter_name,batter,pa,confidence,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,xwoba_vs_expected,tag
Aaron Judge,592450,687,Tier A,147.3,100.8,99.1,144.8,0.438,0.234,0.59,0.22,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Shohei Ohtani,660271,783,Tier A,141.3,93.5,97.1,141.5,0.45,0.255,0.56,0.203,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Kyle Schwarber,656941,751,Tier A,128.9,99.6,91.3,131.2,0.419,0.214,0.518,0.151,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Nick Kurtz,701762,487,Tier A,125.8,95.1,89.5,130.1,0.431,0.248,0.504,0.145,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Giancarlo Stanton,519317,310,Tier B,123.9,84.1,93.4,128.7,0.422,0.274,0.507,0.138,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
James Wood,695578,689,Tier A,121.3,73.3,93.5,128.4,0.402,0.251,0.502,0.137,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Juan Soto,665742,713,Tier A,129.0,91.0,107.5,125.7,0.357,0.174,0.491,0.123,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Jonathan Aranda,666018,428,Tier A,124.2,102.7,93.1,125.3,0.485,0.272,0.482,0.121,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Kyle Stowers,669065,469,Tier A,126.1,120.6,90.6,124.7,0.537,0.282,0.487,0.118,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Ronald Acuña,660670,407,Tier A,121.9,123.6,83.8,123.2,0.462,0.243,0.481,0.11,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Cal Raleigh,663728,756,Tier A,121.8,104.6,92.3,123.1,0.518,0.292,0.47,0.11,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Pete Alonso,624413,716,Tier A,125.2,99.2,103.0,122.6,0.464,0.272,0.473,0.107,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Mike Trout,545361,568,Tier A,116.6,95.3,89.0,121.6,0.386,0.228,0.486,0.102,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Roman Anthony,701350,303,Tier B,117.6,82.4,96.9,121.5,0.376,0.218,0.469,0.102,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Jo Adell,666176,582,Tier A,123.8,111.5,97.8,121.1,0.526,0.332,0.474,0.1,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Riley Greene,682985,702,Tier A,118.0,109.1,88.0,120.6,0.528,0.313,0.454,0.097,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Rafael Devers,646240,724,Tier A,118.2,109.5,88.7,120.4,0.473,0.245,0.452,0.096,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
