batter_name,batter,pa,confidence,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,rank_gap,rolling_trend,xwoba_vs_expected,tag
Jack Suwinski,669261,181,Tier C,92.7,95.4,84.5,101.1,0.4,0.219,0.387,-0.484,cold,-0.002,surface xwOBA above avg; large rank divergence (results >> process); Process+ below average
Dalton Rushing,687221,156,Tier C,98.4,99.3,86.0,105.0,0.451,0.228,0.41,-0.407,hot,0.018,surface xwOBA elite (top 25%); large rank divergence (results >> process); Process+ below average
Martín Maldonado,455117,166,Tier C,92.2,64.8,100.7,99.4,0.457,0.332,0.371,-0.387,cold,-0.011,surface xwOBA above avg; large rank divergence (results >> process); chasing (low Decision+); Process+ below average
Christian Moore,695681,190,Tier C,93.0,104.2,82.4,100.6,0.472,0.267,0.375,-0.382,hot,-0.004,surface xwOBA above avg; large rank divergence (results >> process); Process+ below average
Michael Taylor,572191,333,Tier B,94.5,104.3,86.8,99.9,0.515,0.314,0.381,-0.38,warm,-0.008,surface xwOBA above avg; large rank divergence (results >> process); Process+ below average
Michael Toglia,669911,345,Tier B,99.6,88.5,83.2,109.6,0.489,0.294,0.411,-0.375,cold,0.041,surface xwOBA elite (top 25%); large rank divergence (results >> process); chasing (low Decision+); Process+ below average
Denzel Clarke,672016,159,Tier C,93.0,85.0,91.0,100.5,0.471,0.285,0.374,-0.373,cold,-0.005,surface xwOBA above avg; large rank divergence (results >> process); chasing (low Decision+); Process+ below average
Pavin Smith,656976,299,Tier B,100.6,82.5,90.5,108.4,0.405,0.221,0.413,-0.36,warm,0.035,surface xwOBA elite (top 25%); large rank divergence (results >> process); chasing (low Decision+); Process+ below average
Davis Schneider,676914,253,Tier B,88.9,117.5,80.4,94.9,0.419,0.221,0.359,-0.351,cold,-0.033,surface xwOBA OK; large rank divergence (results >> process); Process+ very weak — high regression risk
Riley Adams,656180,291,Tier B,101.0,97.1,82.5,109.5,0.483,0.328,0.41,-0.317,hot,0.041,surface xwOBA elite (top 25%); results ahead of process; Process+ below average
Nolan Gorman,669357,404,Tier A,99.6,98.9,84.5,106.9,0.473,0.26,0.398,-0.301,warm,0.028,surface xwOBA above avg; results ahead of process; Process+ below average
Blaze Alexander,677942,266,Tier B,99.9,100.8,85.3,106.4,0.475,0.262,0.398,-0.291,warm,0.025,surface xwOBA above avg; results ahead of process; Process+ below average
Rhys Hoskins,656555,330,Tier B,97.4,100.0,91.4,101.5,0.403,0.222,0.382,-0.278,cold,0.0,surface xwOBA above avg; results ahead of process; Process+ below average
Mitch Garver,641598,307,Tier B,92.9,90.8,100.1,95.1,0.406,0.212,0.36,-0.273,warm,-0.032,surface xwOBA OK; results ahead of process; chasing (low Decision+); Process+ below average
Tyler Stephenson,663886,348,Tier B,104.8,94.2,87.6,111.3,0.438,0.271,0.426,-0.267,cold,0.05,surface xwOBA elite (top 25%); results ahead of process; Process+ below average
Rob Refsnyder,608701,220,Tier C,102.1,91.9,98.0,104.5,0.41,0.249,0.41,-0.264,improving,0.015,surface xwOBA elite (top 25%); results ahead of process; chasing (low Decision+); Process+ below average
Colton Cowser,681297,361,Tier B,103.7,81.0,92.4,110.8,0.425,0.259,0.418,-0.259,improving,0.047,surface xwOBA elite (top 25%); results ahead of process; chasing (low Decision+); Process+ below average
Dylan Moore,664238,251,Tier B,91.9,109.3,84.1,97.8,0.489,0.255,0.352,-0.253,warm,-0.019,surface xwOBA OK; results ahead of process; Process+ below average
Paul Dejong,657557,213,Tier C,94.2,120.4,84.6,97.4,0.57,0.331,0.362,-0.249,cold,-0.021,surface xwOBA OK; results ahead of process; Process+ below average
