batter,year,sos_opp_sp_fp_per_start,n_pa_with_sos
112526,2018,14.876,2
134181,2018,11.506985740867751,232
400085,2018,11.36385639945224,21
400121,2018,11.189111831521043,231
400284,2018,12.817855548992256,53
405395,2018,11.051194764093333,238
407812,2018,14.838135125810505,27
408045,2018,11.460434162887296,239
408234,2018,11.554932865254882,80
408236,2018,11.599817952014705,95
408252,2018,12.466475875073435,9
408314,2018,11.467393174823208,90
425772,2018,11.3097918997224,112
425783,2018,11.525717922315081,293
425784,2018,10.14992282284121,40
425794,2018,10.717290361149399,10
425844,2018,9.995518851320924,49
425877,2018,11.074703819790713,259
429664,2018,11.656694246729279,151
429665,2018,10.190291947223926,281
429719,2018,17.23734939759036,2
430832,2018,10.936121496479647,173
430935,2018,12.40923429229045,19
430945,2018,11.554856910431706,323
431145,2018,11.346218303393528,161
431151,2018,9.094999999999999,1
434158,2018,10.957222976665681,188
434378,2018,12.653030303030302,2
434538,2018,13.448958333333332,2
434628,2018,12.32,3
434658,2018,10.839896245023537,97
434670,2018,11.335588998559896,101
434671,2018,12.40878028760512,30
434778,2018,11.611940992133752,199
435062,2018,11.298514773769591,88
435064,2018,10.89937884438396,70
435079,2018,11.77307571429004,243
435221,2018,9.964569637201521,20
435263,2018,11.449873180764557,85
435522,2018,11.085065640314076,148
435559,2018,11.941273530417975,182
435622,2018,11.841871838415399,262
443558,2018,11.342691061442766,262
444432,2018,11.418136340576744,182
444482,2018,11.345517747776034,292
444489,2018,11.437413298764136,162
444876,2018,11.224718069992079,233
445055,2018,10.877184489651462,256
445213,2018,19.98877551020408,1
445988,2018,11.722161141929675,108
446192,2018,14.37072142064373,5
446263,2018,11.140583889857751,174
446308,2018,11.178600781072875,117
446334,2018,11.450781437603549,288
446359,2018,11.40399894839338,122
446372,2018,10.874021291208791,4
446386,2018,10.836360201164752,103
446481,2018,10.585697665129256,71
446653,2018,9.679667851386242,28
448179,2018,9.820398937873842,24
448306,2018,13.830730397422126,7
448602,2018,11.261629851998803,88
448801,2018,11.263126821646482,251
448802,2018,14.430648148148146,4
448855,2018,11.020720248041819,24
449181,2018,12.076526824847205,36
450203,2018,13.919036281179135,4
450306,2018,12.081993776900088,21
450314,2018,10.810964586030405,238
450665,2018,12.925581395348836,1
451192,2018,11.36059505025654,67
451594,2018,11.044366694254009,190
451596,2018,6.051785714285713,2
452095,2018,11.692908596111936,111
452104,2018,10.528108797716332,25
452254,2018,12.116532757138593,115
452655,2018,11.173461491338822,222
452657,2018,10.466419187613624,42
452678,2018,11.84327358366554,287
453203,2018,12.288842465978663,17
453281,2018,12.374747971477746,3
453286,2018,10.809561320424413,48
453329,2018,12.678140426552467,17
453385,2018,11.11463664707568,38
453562,2018,11.382872886633981,34
453568,2018,11.972947191761236,294
453923,2018,11.408070808942183,95
453943,2018,11.009181243971007,221
454560,2018,11.288178669174972,87
455104,2018,11.95968250072962,131
455117,2018,11.823553842782985,178
455139,2018,11.879691098362681,177
455755,2018,10.497491228070174,4
455759,2018,10.590755696265665,47
455976,2018,11.837095400293256,319
456030,2018,9.98167727009832,7
456078,2018,11.422983851244158,92
456124,2018,11.95940846919358,97
456488,2018,11.085739116579148,212
456501,2018,11.213956771588336,12
456665,2018,11.750854948295407,106
456701,2018,12.3050833616284,24
456715,2018,11.501569771383798,305
457454,2018,10.267741935483869,4
457705,2018,11.2849081250807,350
457706,2018,11.511687159239207,166
457708,2018,11.237194719664314,281
457727,2018,11.870242765398643,167
457759,2018,11.195687808287886,181
457763,2018,11.312867449686385,240
457803,2018,11.343208845441199,162
457918,2018,7.349208144796379,4
458015,2018,11.045178355216045,304
458675,2018,12.534413020136114,28
458677,2018,9.282758620689652,1
458681,2018,12.516328029375764,2
458731,2018,11.305718208578167,249
458913,2018,10.401355944751412,47
459964,2018,11.163863357255865,106
