name,own,pos,team,status,pct,model_rank,model_rate,marcel,conf,eff,ret,ret_src,volume,censor,ev
Reynaldo Lopez,FA,SP,Atl,FIFTEEN_DAY_DL,4.85,147.0,9.642238815479098,12.76,HIGH,48.0,2026-08-22,ESPN,6.3,0.228,62.5
Jeffrey Springs,FA,SP,Oak,FIFTEEN_DAY_DL,7.43,295.0,7.572771010210596,10.09,HIGH,59.4,2026-08-19,ESPN,6.9,0.228,53.4
Mike Burrows,FA,SP,Hou,FIFTEEN_DAY_DL,1.55,237.0,8.417776152183105,9.79,MEDIUM,36.0,2026-08-19,ESPN,6.9,0.228,51.8
Jose Suarez,FA,SP,Oak,FIFTEEN_DAY_DL,0.08,301.0,7.46308477153152,10.89,MEDIUM,21.6,2026-08-26,ESPN,5.7,0.228,47.6
Tyler Glasnow,MINE,SP,LAD,SIXTY_DAY_DL,100.0,17.0,13.853206126053156,14.02,HIGH,55.2,2026-08-25,ESPN,5.8,0.432,46.4
Luis Ortiz,FA,SP,Cle,OUT,0.03,209.0,8.84,12.06,MEDIUM,37.0,2026-08-30,IL15 prior,5.0,0.228,46.3
Lucas Giolito,FA,SP,SD,FIFTEEN_DAY_DL,0.96,321.0,6.9616872713146,11.07,HIGH,51.4,2026-08-28,ESPN,5.3,0.228,45.4
Jameson Taillon,FA,SP,Tor,FIFTEEN_DAY_DL,2.51,165.0,9.465569674693649,11.0,HIGH,77.8,2026-08-28,ESPN,5.3,0.228,45.1
Spencer Arrighetti,FA,SP,Tor,FIFTEEN_DAY_DL,13.19,248.0,8.259051942281761,10.11,HIGH,46.4,2026-08-26,ESPN,5.7,0.228,44.2
Slade Cecconi,FA,SP,Cle,FIFTEEN_DAY_DL,1.44,173.0,9.303296617191082,9.8,HIGH,56.8,2026-08-25,ESPN,5.8,0.228,44.1
Tony Gonsolin,FA,SP,KC,FIFTEEN_DAY_DL,0.04,307.0,7.33,11.19,MEDIUM,37.4,2026-08-30,IL15 prior,5.0,0.228,42.9
Alex Cobb,FA,SP,FA,OUT,0.01,205.0,8.94,11.03,MEDIUM,42.2,2026-08-30,IL15 prior,5.0,0.228,42.3
Jack Flaherty,FA,SP,Det,FIFTEEN_DAY_DL,30.37,85.0,10.958957680682918,11.62,HIGH,70.4,2026-09-01,ESPN,4.6,0.228,41.5
Yu Darvish,FA,SP,SD,OUT,0.07,203.0,8.96,10.77,MEDIUM,42.2,2026-08-30,IL15 prior,5.0,0.228,41.3
Davis Martin,FA,SP,ChW,FIFTEEN_DAY_DL,35.04,178.0,9.220971648107447,10.22,HIGH,62.4,2026-08-29,ESPN,5.1,0.228,40.6
Yusei Kikuchi,FA,SP,LAA,SIXTY_DAY_DL,6.86,115.0,10.152848744081464,10.88,HIGH,63.6,2026-08-21,ESPN,6.5,0.432,40.3
Gavin Stone,FA,SP,LAD,SIXTY_DAY_DL,0.18,107.0,10.36,10.79,MEDIUM,28.2,2026-08-21,ESPN,6.5,0.432,39.9
Nestor Cortes,FA,SP,FA,OUT,0.05,116.0,10.15,10.31,MEDIUM,30.4,2026-08-30,IL15 prior,5.0,0.228,39.6
