batter,bb_pct_AVG,bb_pct_STRONG,bb_pct_WEAK,iso_AVG,iso_STRONG,iso_WEAK,k_pct_AVG,k_pct_STRONG,k_pct_WEAK,pa_AVG,pa_STRONG,pa_WEAK,bb_protect_lift,iso_protect_lift,player_name
134181,6.27,6.92,8.07,0.136,0.219,0.142,18.81,20.0,20.81,335.0,260.0,322.0,-1.15,0.077,
400121,7.1,,6.86,0.079,,0.113,7.1,,9.2,183.0,,598.0,,,
405395,7.17,6.58,5.1,0.202,0.193,0.199,13.77,11.89,14.33,1046.0,866.0,942.0,1.48,-0.006,
408045,9.27,7.6,13.16,0.099,0.088,0.083,16.94,15.59,15.79,248.0,513.0,266.0,-5.56,0.005,
408234,8.33,9.08,8.23,0.107,0.131,0.106,20.89,22.02,20.38,1321.0,672.0,1629.0,0.85,0.025,
408236,,,7.35,,,0.157,,,15.44,,,136.0,,,
425772,6.25,6.6,5.49,0.036,0.02,0.123,38.46,45.28,31.32,208.0,106.0,182.0,1.11,-0.103,
425783,13.56,12.56,11.97,0.17,0.169,0.217,25.08,24.78,20.51,1232.0,892.0,468.0,0.59,-0.048,
425784,7.21,,,0.165,,,29.73,,,111.0,,,,,
425794,3.48,,,0.023,,,34.78,,,115.0,,,,,
425877,4.2,6.35,4.64,0.14,0.102,0.143,15.15,13.68,13.45,1096.0,709.0,1100.0,1.71,-0.041,
429664,4.97,8.01,6.31,0.159,0.164,0.139,14.9,15.23,16.99,443.0,1011.0,206.0,1.7,0.025,
429665,10.23,9.4,15.77,0.247,0.286,0.227,21.93,21.2,22.75,1017.0,415.0,501.0,-6.37,0.059,
430832,14.58,15.89,16.78,0.185,0.211,0.125,30.51,27.81,25.5,295.0,151.0,149.0,-0.89,0.086,
430945,5.01,4.27,4.29,0.143,0.149,0.122,17.79,13.55,19.46,759.0,819.0,560.0,-0.02,0.027,
431145,14.93,17.5,11.43,0.126,0.096,0.166,23.66,22.5,25.24,355.0,120.0,210.0,6.07,-0.07,
434158,12.19,11.82,11.44,0.163,0.192,0.217,28.1,25.15,27.11,484.0,330.0,402.0,0.38,-0.025,
434658,,6.92,,,0.079,,,18.87,,,159.0,,,,
434670,6.08,8.51,13.0,0.146,0.124,0.174,24.32,15.74,23.0,148.0,235.0,100.0,-4.49,-0.05,
434778,10.66,11.16,12.53,0.17,0.117,0.169,19.88,18.6,15.45,488.0,215.0,479.0,-1.37,-0.052,
435062,5.61,4.93,5.15,0.184,0.239,0.126,14.85,20.18,13.06,303.0,223.0,291.0,-0.22,0.113,
435064,6.98,,7.55,0.109,,0.043,27.91,,23.58,172.0,,106.0,,,
435079,4.61,6.62,7.29,0.123,0.149,0.16,14.47,11.54,13.9,304.0,468.0,590.0,-0.67,-0.011,
435263,8.68,9.91,6.71,0.127,0.145,0.171,18.06,13.79,20.73,288.0,232.0,328.0,3.2,-0.026,
435522,10.1,11.47,10.34,0.133,0.137,0.109,21.78,25.23,19.78,574.0,218.0,445.0,1.13,0.028,
435559,5.04,6.12,6.26,0.16,0.096,0.177,12.46,15.51,13.97,674.0,245.0,687.0,-0.14,-0.081,
435622,8.92,7.01,7.65,0.2,0.169,0.166,22.93,21.65,24.36,628.0,328.0,706.0,-0.64,0.003,
443558,10.63,8.78,8.5,0.262,0.236,0.191,21.76,24.52,21.75,1195.0,1925.0,1283.0,0.28,0.045,
444432,5.95,2.86,7.05,0.135,0.2,0.178,21.43,28.57,24.69,168.0,105.0,397.0,-4.19,0.022,
444482,8.66,6.68,6.88,0.169,0.2,0.134,20.32,20.5,19.01,1870.0,1571.0,1236.0,-0.2,0.066,
444489,8.82,,6.82,0.242,,0.16,15.88,,21.11,170.0,,469.0,,,
444876,3.97,5.18,5.58,0.089,0.113,0.055,17.85,15.54,15.06,353.0,637.0,538.0,-0.4,0.058,
445055,5.85,5.34,5.64,0.059,0.093,0.049,15.45,17.03,16.3,479.0,599.0,319.0,-0.3,0.044,
445988,3.29,4.41,4.07,0.048,0.077,0.081,15.13,15.69,15.38,304.0,204.0,221.0,0.34,-0.004,
446263,6.36,,8.48,0.109,,0.183,27.27,,29.02,220.0,,448.0,,,
446308,,,8.87,,,0.14,,,21.37,,,248.0,,,
446334,7.46,8.74,7.74,0.191,0.181,0.207,22.37,26.61,22.04,1435.0,778.0,930.0,1.0,-0.026,
446359,10.34,6.32,6.1,0.122,0.125,0.088,16.55,15.09,18.31,145.0,285.0,213.0,0.22,0.037,
446386,,,12.69,,,0.152,,,22.39,,,134.0,,,
446481,10.0,,,0.128,,,33.0,,,100.0,,,,,
448602,15.25,,7.46,0.218,,0.276,25.99,,26.87,177.0,,201.0,,,
448801,8.54,8.0,8.0,0.159,0.082,0.14,35.85,37.71,37.41,410.0,175.0,850.0,0.0,-0.058,
450314,9.95,11.07,12.23,0.135,0.111,0.057,13.11,11.4,12.23,412.0,605.0,188.0,-1.16,0.054,
451192,,,4.74,,,0.117,,,18.42,,,190.0,,,
451594,11.01,14.29,11.0,0.131,0.131,0.194,21.63,24.73,22.33,527.0,728.0,300.0,3.29,-0.063,
452095,12.13,,11.11,0.147,,0.13,25.25,,28.1,305.0,,306.0,,,
452254,7.0,6.99,6.13,0.203,0.25,0.162,21.67,27.27,23.23,443.0,143.0,310.0,0.86,0.088,
452655,12.09,4.69,10.64,0.17,0.188,0.095,12.75,15.02,19.33,306.0,213.0,357.0,-5.95,0.093,
452657,,5.56,,,0.104,,,37.04,,,108.0,,,,
452678,6.51,8.78,9.42,0.178,0.157,0.189,20.0,22.16,21.19,860.0,740.0,892.0,-0.64,-0.032,
453286,,0.0,,,0.006,,,36.78,,,174.0,,,,
453562,,5.56,,,0.011,,,50.0,,,108.0,,,,
453568,7.16,7.86,8.48,0.183,0.192,0.195,16.76,18.04,14.81,2094.0,2927.0,1344.0,-0.62,-0.003,
453923,4.9,,,0.096,,,38.46,,,143.0,,,,,
453943,7.94,11.46,8.23,0.169,0.172,0.209,22.37,22.91,21.29,617.0,419.0,498.0,3.23,-0.037,
455104,11.21,8.33,11.76,0.074,0.112,0.119,33.64,25.93,29.41,107.0,108.0,153.0,-3.43,-0.007,
455117,7.41,7.1,6.62,0.134,0.153,0.145,29.31,30.95,25.9,904.0,2013.0,1027.0,0.48,0.008,
455139,11.85,9.14,10.48,0.183,0.206,0.186,32.13,24.73,31.9,498.0,186.0,1050.0,-1.34,0.02,
455976,10.42,8.02,11.21,0.117,0.146,0.153,11.66,11.48,12.53,643.0,723.0,758.0,-3.19,-0.007,
456078,5.19,,6.07,0.112,,0.201,21.48,,29.37,135.0,,412.0,,,
456124,,,2.03,,,0.144,,,19.29,,,197.0,,,
456488,2.68,3.87,2.83,0.125,0.094,0.095,14.77,12.71,15.07,298.0,181.0,637.0,1.04,-0.001,
456665,14.44,10.13,8.41,0.237,0.237,0.116,17.11,17.72,23.01,187.0,158.0,226.0,1.72,0.121,
456715,9.59,9.78,8.03,0.087,0.111,0.095,20.11,15.23,18.39,751.0,1871.0,386.0,1.75,0.016,
456781,6.05,6.21,7.1,0.143,0.102,0.117,23.17,20.83,19.42,794.0,725.0,958.0,-0.89,-0.015,
457705,12.17,13.2,13.66,0.172,0.173,0.156,23.24,21.74,21.73,1988.0,3234.0,1523.0,-0.46,0.017,
457706,7.04,6.02,8.56,0.099,0.024,0.106,35.21,36.09,32.09,142.0,133.0,187.0,-2.54,-0.082,
457708,12.22,10.39,10.57,0.189,0.196,0.242,29.88,29.27,29.89,810.0,1165.0,435.0,-0.18,-0.046,
457727,7.56,6.67,7.67,0.129,0.171,0.131,25.21,24.62,24.38,357.0,195.0,365.0,-1.0,0.04,
457759,9.63,10.06,9.72,0.154,0.184,0.185,16.95,15.76,16.1,1776.0,2932.0,1615.0,0.34,-0.001,
457763,10.43,10.72,7.97,0.133,0.164,0.094,15.0,16.81,15.38,1313.0,821.0,364.0,2.75,0.07,
457803,7.17,10.7,9.7,0.223,0.239,0.217,25.56,24.35,19.77,446.0,271.0,526.0,1.0,0.022,
458015,13.49,14.97,13.82,0.176,0.168,0.253,22.71,18.43,23.44,1334.0,2084.0,977.0,1.15,-0.085,
458731,11.36,11.61,9.07,0.164,0.202,0.2,17.35,20.75,20.82,1470.0,853.0,562.0,2.54,0.002,
459964,13.95,15.32,22.79,0.144,0.124,0.136,20.07,21.62,16.91,294.0,222.0,136.0,-7.47,-0.012,
