mlbam_id,player_name,player_type,live_blend_xfp,ci_lower,ci_upper,fitted_split_day,live_split_day,n_features_used,confidence_tier
519242,"Sale, Chris",SP,12.6362,2.9093,20.1649,93,97,19,HIGH
543135,"Eovaldi, Nathan",SP,8.9502,2.8724,14.9901,93,97,19,HIGH
547179,"Lorenzen, Michael",SP,6.9634,-8.3001,12.9082,93,97,19,HIGH
571927,"Matz, Steven",SP,8.7341,-0.8059,14.5746,93,97,19,MED
579328,"Kikuchi, Yusei",SP,10.5726,-7.4317,16.2906,93,97,19,MED
592332,"Gausman, Kevin",SP,11.6496,3.42,17.0157,93,97,19,HIGH
592662,"Ray, Robbie",SP,11.0061,-2.5748,16.7119,93,97,19,HIGH
592791,"Taillon, Jameson",SP,8.7326,-7.3018,18.5199,93,97,19,HIGH
593958,"Rodriguez, Eduardo",SP,7.1374,-0.4388,12.8312,93,97,19,HIGH
594798,"deGrom, Jacob",SP,15.0037,5.7277,23.2865,93,97,19,HIGH
605135,"Bassitt, Chris",SP,5.4249,-9.0138,15.5039,93,97,19,MED
605280,"Holmes, Clay",SP,10.1937,1.8858,16.4705,93,97,19,MED
605288,"Houser, Adrian",SP,4.0587,-3.8816,9.3557,93,97,19,HIGH
605400,"Nola, Aaron",SP,8.2932,0.0254,14.585,93,97,19,HIGH
605488,"Springs, Jeffrey",SP,12.6112,3.4476,18.7066,93,97,19,HIGH
605540,"Woodruff, Brandon",SP,11.5961,5.7286,17.5517,93,97,19,MED
607192,"Glasnow, Tyler",SP,15.1512,5.2437,22.6752,93,97,19,MED
607259,"Martinez, Nick",SP,11.9018,3.2089,17.4649,93,97,19,HIGH
607625,"Lugo, Seth",SP,11.7708,2.1303,17.0545,93,97,19,HIGH
608331,"Fried, Max",SP,11.7555,6.5746,17.6913,93,97,19,MED
608372,"Sugano, Tomoyuki",SP,7.0882,-10.9338,12.7148,93,97,19,HIGH
608379,"Wacha, Michael",SP,9.5725,2.996,16.2491,93,97,19,HIGH
608566,"Márquez, Germán",SP,4.5187,-5.0687,9.3888,93,97,19,MED
621111,"Buehler, Walker",SP,8.0431,-1.4911,16.8797,93,97,19,HIGH
621121,"McCullers Jr., Lance",SP,8.9034,1.4043,14.313,93,97,19,MED
622491,"Castillo, Luis",SP,4.9105,-4.155,9.6446,93,97,19,HIGH
622663,"Severino, Luis",SP,7.5261,-0.413,14.2198,93,97,19,HIGH
624133,"Suarez, Ranger",SP,6.6954,-5.8093,13.7528,93,97,19,HIGH
641816,"Mahle, Tyler",SP,7.3478,-0.65,14.0619,93,97,19,HIGH
641927,"Ober, Bailey",SP,9.0465,1.9826,15.4637,93,97,19,HIGH
642547,"Peralta, Freddy",SP,12.005,5.7154,17.9373,93,97,19,HIGH
645261,"Alcantara, Sandy",SP,12.4147,3.2513,17.7089,93,97,19,HIGH
647336,"Soroka, Michael",SP,8.4758,-1.4529,14.8658,93,97,19,HIGH
650633,"King, Michael",SP,11.5815,4.8513,17.695,93,97,19,HIGH
650644,"Civale, Aaron",SP,8.6217,-0.3983,14.3374,93,97,19,HIGH
650911,"Sánchez, Cristopher",SP,11.9868,2.4146,17.8484,93,97,19,HIGH
656302,"Cease, Dylan",SP,15.5746,6.5506,21.1357,93,97,19,HIGH
656427,"Flaherty, Jack",SP,2.9598,-5.2817,8.8024,93,97,19,HIGH
656492,"Griffin, Foster",SP,7.4657,-6.1152,12.995,93,97,19,HIGH
656550,"Holmes, Grant",SP,8.1337,-0.9522,14.2509,93,97,19,HIGH
656605,"Keller, Mitch",SP,13.3205,5.8101,19.0354,93,97,19,HIGH
656876,"Rasmussen, Drew",SP,13.3267,3.4305,19.5572,93,97,19,HIGH
657277,"Webb, Logan",SP,8.3631,-0.8004,14.0019,93,97,19,HIGH
657746,"Ryan, Joe",SP,11.2324,2.1574,17.6568,93,97,19,HIGH
663436,"Martin, Davis",SP,10.5298,1.2862,14.933,93,97,19,HIGH
663460,"Bubic, Kris",SP,12.0318,2.3092,16.5199,93,97,19,MED
663554,"Mize, Casey",SP,11.9568,1.4608,18.3664,93,97,19,MED
663556,"McClanahan, Shane",SP,10.5782,-1.8769,16.2932,93,97,19,HIGH
663623,"Irvin, Jake",SP,9.4329,-2.0535,15.3701,93,97,19,MED
663903,"Singer, Brady",SP,3.9975,-3.9671,9.946,93,97,19,HIGH
663978,"Paddack, Chris",SP,5.874,-2.0237,11.7186,93,97,19,MED
664285,"Valdez, Framber",SP,10.8449,4.6343,16.3703,93,97,19,HIGH
665795,"Cabrera, Edward",SP,11.0967,3.7971,16.3937,93,97,19,HIGH
666142,"Ragans, Cole",SP,7.2553,0.1963,14.7793,93,97,19,MED
666200,"Luzardo, Jesús",SP,16.142,7.0788,22.5516,93,97,19,HIGH
667755,"Soriano, José",SP,15.8728,10.6234,21.6217,93,97,19,HIGH
668678,"Gallen, Zac",SP,5.2549,-2.6022,9.7899,93,97,19,HIGH
668909,"Williams, Gavin",SP,12.5869,5.5288,18.0006,93,97,19,HIGH
669022,"Gore, MacKenzie",SP,9.7656,0.6021,15.7178,93,97,19,HIGH
669160,"May, Dustin",SP,6.7473,-2.7544,12.6162,93,97,19,HIGH
669194,"Nelson, Ryne",SP,7.0066,-2.0731,12.0043,93,97,19,HIGH
669302,"Gilbert, Logan",SP,14.2382,6.6516,19.1457,93,97,19,HIGH
669358,"Baz, Shane",SP,11.3077,4.6539,17.4246,93,97,19,HIGH
