mlbam_id,player_name,player_type,live_blend_xfp,ci_lower,ci_upper,fitted_split_day,live_split_day,n_features_used,confidence_tier
453286,"Scherzer, Max",SP,0.3185,-9.9836,6.438,93,105,19,MED
500779,"Quintana, Jose",SP,4.078,-4.6061,12.2284,93,105,19,MED
518876,"Kelly, Merrill",SP,5.1591,-4.423,10.9749,93,105,19,HIGH
519242,"Sale, Chris",SP,17.128,5.7919,23.9939,93,105,19,HIGH
527048,"Pérez, Martín",SP,8.0726,-2.1527,15.0938,93,105,19,HIGH
543037,"Cole, Gerrit",SP,11.6395,2.6417,17.7645,93,105,19,MED
543135,"Eovaldi, Nathan",SP,13.9535,3.6699,19.9194,93,105,19,HIGH
543243,"Gray, Sonny",SP,11.9423,4.5731,20.0926,93,105,19,HIGH
547179,"Lorenzen, Michael",SP,5.5972,-3.0173,11.9733,93,105,19,HIGH
554430,"Wheeler, Zack",SP,14.516,2.3643,20.5379,93,105,19,HIGH
571510,"Boyd, Matthew",SP,12.5798,3.3727,19.3358,93,105,19,MED
571578,"Corbin, Patrick",SP,4.412,-3.5902,11.0545,93,105,19,HIGH
571927,"Matz, Steven",SP,6.9815,-8.1032,13.0066,93,105,19,MED
571945,"Mikolas, Miles",SP,4.2124,-4.7696,10.1162,93,105,19,MED
579328,"Kikuchi, Yusei",SP,10.9355,0.7249,16.7482,93,105,19,MED
592332,"Gausman, Kevin",SP,10.7277,4.6508,17.1994,93,105,19,HIGH
592662,"Ray, Robbie",SP,7.185,-3.1427,12.646,93,105,19,HIGH
592791,"Taillon, Jameson",SP,7.0781,-2.7422,14.2054,93,105,19,HIGH
593958,"Rodriguez, Eduardo",SP,9.2851,2.0331,15.8852,93,105,19,HIGH
594798,"deGrom, Jacob",SP,16.5118,3.2513,22.1088,93,105,19,HIGH
605135,"Bassitt, Chris",SP,5.8556,-4.0639,11.8627,93,105,19,MED
605280,"Holmes, Clay",SP,10.4837,0.0962,18.3112,93,105,19,MED
605288,"Houser, Adrian",SP,6.4918,-6.5437,13.5541,93,105,19,HIGH
605400,"Nola, Aaron",SP,8.8053,-0.0431,15.3999,93,105,19,HIGH
605488,"Springs, Jeffrey",SP,6.474,-4.8983,12.9761,93,105,19,HIGH
605540,"Woodruff, Brandon",SP,13.5103,5.2156,19.4891,93,105,19,MED
607067,"Rea, Colin",SP,6.3225,-4.6,12.9269,93,105,19,HIGH
607074,"Rodón, Carlos",SP,11.7493,1.8298,18.3467,93,105,19,MED
607192,"Glasnow, Tyler",SP,14.4472,2.7283,21.753,93,105,19,MED
607200,"Fedde, Erick",SP,7.0646,-1.9975,14.0895,93,105,19,MED
607259,"Martinez, Nick",SP,11.9543,-3.1068,18.0447,93,105,19,HIGH
607536,"Freeland, Kyle",SP,6.9716,-4.7468,14.1672,93,105,19,HIGH
607625,"Lugo, Seth",SP,7.212,-4.1143,13.9322,93,105,19,HIGH
608331,"Fried, Max",SP,13.2251,4.2273,19.7264,93,105,19,MED
608372,"Sugano, Tomoyuki",SP,4.6708,-4.324,9.6274,93,105,19,HIGH
608379,"Wacha, Michael",SP,11.161,-0.1328,16.6193,93,105,19,HIGH
608566,"Márquez, Germán",SP,4.4017,-4.596,12.2467,93,105,19,MED
621111,"Buehler, Walker",SP,7.8997,-4.8948,13.9262,93,105,19,HIGH
621121,"McCullers Jr., Lance",SP,7.0645,-3.1716,13.967,93,105,19,MED
622491,"Castillo, Luis",SP,8.9001,0.6423,15.6578,93,105,19,HIGH
622663,"Severino, Luis",SP,9.2692,-3.9913,15.4488,93,105,19,HIGH
623211,"Brazobán, Huascar",SP,9.9874,-1.7316,16.7488,93,105,19,MED
624133,"Suarez, Ranger",SP,13.0325,5.6386,19.1402,93,105,19,HIGH
625643,"López, Reynaldo",SP,8.9183,1.6663,15.8051,93,105,19,MED
641743,"Kay, Anthony",SP,7.2901,-4.8669,13.1481,93,105,19,HIGH
641778,"Lauer, Eric",SP,4.3725,-5.9445,11.1339,93,105,19,HIGH
641793,"Littell, Zack",SP,3.6931,-4.7046,10.8179,93,105,19,HIGH
641816,"Mahle, Tyler",SP,8.5474,-2.9458,14.731,93,105,19,HIGH
641927,"Ober, Bailey",SP,7.8384,-1.7836,14.2164,93,105,19,HIGH
642547,"Peralta, Freddy",SP,7.7434,-0.6051,14.8445,93,105,19,HIGH
643377,"Jax, Griffin",SP,12.0965,-0.7095,18.5642,93,105,19,HIGH
645261,"Alcantara, Sandy",SP,11.7765,4.3621,18.8403,93,105,19,HIGH
