pitcher,player_name,pitches,plv,plv_std,plv_raw,swing_pct,whiff_pct,cs_pct,xwoba_model,contact_pct,plv_pctile,primary_position,sample_warning
623352,Josh Hader,1235,5.955,1.383,-0.021,0.485,0.415,0.458,0.326,0.585,100.0,P,False
682254,Mason Montgomery,158,5.871,1.489,-0.024,0.52,0.422,0.468,0.331,0.578,99.9,P,True
656629,Michael Kopech,1314,5.799,1.418,-0.027,0.513,0.416,0.463,0.33,0.584,99.7,P,False
656945,Tanner Scott,1265,5.694,1.408,-0.03,0.518,0.405,0.495,0.339,0.595,99.6,P,False
695243,Mason Miller,1037,5.68,1.448,-0.031,0.502,0.401,0.473,0.33,0.599,99.4,P,False
594798,Jacob Degrom,172,5.636,1.208,-0.033,0.527,0.407,0.52,0.33,0.593,99.3,P,True
677053,Andrew Nardi,988,5.626,1.19,-0.033,0.5,0.373,0.454,0.337,0.627,99.2,P,False
672391,Kaleb Ort,366,5.6,1.37,-0.034,0.49,0.377,0.504,0.337,0.623,99.0,P,False
669093,Jeremiah Estrada,1098,5.577,1.387,-0.035,0.525,0.394,0.503,0.328,0.606,98.9,P,False
685801,Hunter Bigge,311,5.545,1.234,-0.036,0.496,0.385,0.474,0.331,0.615,98.8,P,False
681911,Alex Vesia,1227,5.539,1.24,-0.036,0.512,0.392,0.455,0.326,0.608,98.6,P,False
623149,Paul Sewald,661,5.513,1.209,-0.037,0.526,0.373,0.525,0.344,0.627,98.5,P,False
640462,A. J. Puk,1173,5.506,1.424,-0.037,0.503,0.373,0.494,0.337,0.627,98.3,P,False
683004,Jack Leiter,669,5.489,1.306,-0.038,0.468,0.407,0.472,0.335,0.593,98.2,P,False
657697,Vinny Nittoli,209,5.466,1.153,-0.039,0.479,0.39,0.482,0.326,0.61,98.1,P,False
673380,Dedniel Núñez,521,5.459,1.441,-0.039,0.538,0.428,0.529,0.333,0.572,97.9,P,False
518886,Craig Kimbrel,963,5.459,1.424,-0.039,0.466,0.4,0.469,0.347,0.6,97.8,P,False
554340,Yimi García,661,5.458,1.366,-0.039,0.492,0.347,0.483,0.326,0.653,97.7,P,False
643377,Griffin Jax,1085,5.454,1.378,-0.039,0.54,0.405,0.474,0.319,0.595,97.5,P,False
681402,Gus Varland,455,5.451,1.431,-0.039,0.478,0.37,0.537,0.34,0.63,97.4,P,False
547973,Aroldis Chapman,1148,5.451,1.468,-0.039,0.488,0.401,0.492,0.338,0.599,97.2,P,False
579328,Yusei Kikuchi,3006,5.45,1.398,-0.039,0.489,0.375,0.503,0.35,0.625,97.1,P,False
656730,Trevor Megill,696,5.445,1.346,-0.039,0.516,0.37,0.498,0.336,0.63,97.0,P,False
668338,Tyson Miller,945,5.442,1.258,-0.04,0.507,0.392,0.488,0.325,0.608,96.8,P,False
621242,Edwin Díaz,1114,5.442,1.382,-0.04,0.473,0.425,0.452,0.325,0.575,96.7,P,False
663158,Robert Suarez,1040,5.438,1.249,-0.04,0.519,0.326,0.501,0.337,0.674,96.5,P,False
642207,Devin Williams,435,5.427,1.45,-0.04,0.495,0.406,0.447,0.329,0.594,96.4,P,False
669211,Keegan Akin,1254,5.426,1.266,-0.04,0.499,0.355,0.513,0.34,0.645,96.3,P,False
656876,Drew Rasmussen,459,5.419,1.449,-0.04,0.488,0.33,0.5,0.328,0.67,96.1,P,False
656302,Dylan Cease,3383,5.41,1.364,-0.041,0.483,0.409,0.454,0.32,0.591,96.0,P,False
605483,Blake Snell,1773,5.41,1.368,-0.041,0.476,0.411,0.419,0.326,0.589,95.9,P,False
