pitcher,player_name,pitches,plv,plv_std,plv_raw,swing_pct,whiff_pct,cs_pct,xwoba_model,contact_pct,plv_pctile,primary_position
623352,Josh Hader,274,5.9,1.38,-0.023,0.531,0.414,0.44,0.337,0.586,100.0,P
694819,Jacob Misiorowski,1746,5.852,1.472,-0.025,0.53,0.422,0.516,0.335,0.578,99.8,P
656945,Tanner Scott,574,5.758,1.279,-0.028,0.516,0.418,0.499,0.34,0.582,99.7,P
656730,Trevor Megill,584,5.602,1.385,-0.034,0.518,0.377,0.493,0.334,0.623,99.5,P
676263,Jack Dreyer,629,5.597,1.291,-0.034,0.478,0.382,0.501,0.335,0.618,99.3,P
686973,Louis Varland,806,5.588,1.422,-0.034,0.513,0.427,0.468,0.324,0.573,99.2,P
695243,Mason Miller,647,5.578,1.363,-0.035,0.489,0.417,0.452,0.325,0.583,99.0,P
682982,Daniel Espino,101,5.561,1.155,-0.035,0.473,0.36,0.444,0.325,0.64,98.9,P
695505,Chase Burns,1745,5.531,1.32,-0.036,0.512,0.412,0.455,0.323,0.588,98.7,P
669093,Jeremiah Estrada,338,5.516,1.408,-0.037,0.484,0.446,0.418,0.322,0.554,98.5,P
594798,Jacob Degrom,1605,5.515,1.322,-0.037,0.504,0.402,0.479,0.328,0.598,98.4,P
623149,Paul Sewald,578,5.511,1.171,-0.037,0.509,0.339,0.534,0.346,0.661,98.2,P
681870,Erik Sabrowski,513,5.485,1.293,-0.038,0.472,0.369,0.479,0.349,0.631,98.0,P
677053,Andrew Nardi,395,5.483,1.324,-0.038,0.515,0.391,0.498,0.335,0.609,97.9,P
518886,Craig Kimbrel,496,5.475,1.33,-0.038,0.468,0.389,0.452,0.339,0.611,97.7,P
671922,Cade Smith,810,5.471,1.353,-0.039,0.528,0.381,0.489,0.341,0.619,97.6,P
682254,Mason Montgomery,696,5.469,1.408,-0.039,0.509,0.419,0.481,0.338,0.581,97.4,P
690986,Kyle Harrison,1539,5.459,1.42,-0.039,0.506,0.344,0.512,0.354,0.656,97.2,P
642207,Devin Williams,624,5.443,1.314,-0.04,0.495,0.387,0.444,0.329,0.613,97.1,P
664854,Ryan Helsley,303,5.434,1.572,-0.04,0.457,0.447,0.446,0.323,0.553,96.9,P
