side,metric,n,dispersion,r_split,r_fwd
HITTER,K%,1805,1.128766296257905,0.7751719647708453,-0.23402606309535848
HITTER,BB%,1805,1.154136170599697,0.6254205335807174,0.16689849222665928
HITTER,K-BB%,1805,1.1338481987867184,0.681586999039334,-0.29373754968878474
HITTER,HR/PA,1805,1.0340877506665787,0.540536515965606,0.23040150136270549
HITTER,SB/PA,1805,1.0256637295716928,0.752306071507425,0.06710371029141521
HITTER,TB/PA,1805,1.8091114955166598,0.3426971189126269,0.2879995460726892
SP,K%,921,1.15169397958282,0.7284363493473843,0.5404114380309636
SP,BB%,921,1.0710914890601424,0.4832299831364846,-0.14385961348955076
SP,K-BB%,921,1.1163024685816076,0.6724111594649164,0.5359046269660647
SP,H/TBF,921,1.0494938062825911,0.3669625471326029,-0.3321103705813764
SP,ER/TBF,921,1.3618921217411064,0.22960661448825836,-0.28820762619972495
