date,section,metric,segment,value,status,note
2026-07-18,forward_accuracy,window_7d,all,7,INFO,anchor=2026-07-11 fwd_days=7
2026-07-18,forward_accuracy,rh3_spearman_rate_7d,all,0.432,INSUFFICIENT,anchor=2026-07-11 fwd_days=7 n=23 pa_floor=15 (survivorship: conditional on volume)
2026-07-18,forward_accuracy,rh3_spearman_total_7d,all,0.4746,INFO,n=23 rate-model vs fwd TOTAL fp
2026-07-18,forward_accuracy,rh3_spearman_rate_7d,C,,INSUFFICIENT,n=1 (position backfilled from latest snapshot)
2026-07-18,forward_accuracy,rh3_spearman_rate_7d,non_C,0.3675,INFO,n=21 (position backfilled from latest snapshot)
2026-07-18,forward_accuracy,rp3_spearman_rate_7d,all,,INSUFFICIENT,anchor=2026-07-11 fwd_days=7 n=5 start_floor=2 (survivorship: conditional on volume)
2026-07-18,forward_accuracy,rp3_spearman_total_7d,all,,INFO,n=5 rate-model vs fwd TOTAL fp
2026-07-18,forward_accuracy,rp3_spearman_rate_7d,data_driven,,INSUFFICIENT,n=5
2026-07-18,forward_accuracy,rprs2_spearman_total_7d,all,,INSUFFICIENT,anchor=2026-07-11 fwd_days=7 n=9 app_floor=3 proj=RoS-total (rank-only; incl sv/hld)
2026-07-18,forward_accuracy,rprs2_spearman_rate_7d,all,,INFO,n=9 vs fwd fp/appearance
2026-07-18,forward_accuracy,window_14d,all,14,INFO,anchor=2026-07-04 fwd_days=14
2026-07-18,forward_accuracy,rh3_spearman_rate_14d,all,0.1144,INFO,anchor=2026-07-04 fwd_days=14 n=283 pa_floor=17 (survivorship: conditional on volume)
2026-07-18,forward_accuracy,rh3_spearman_total_14d,all,0.2807,INFO,n=283 rate-model vs fwd TOTAL fp
2026-07-18,forward_accuracy,rh3_vs_prior_delta_14d,all,0.0543,INFO,n=283 spearman(model)-spearman(prior); >0 = in-season layer earning
2026-07-18,forward_accuracy,rh3_bias_14d,T1_low,-0.0433,INFO,n=95 MAE=0.254
2026-07-18,forward_accuracy,rh3_bias_14d,T2_mid,-0.0096,INFO,n=94 MAE=0.244
2026-07-18,forward_accuracy,rh3_bias_14d,T3_high,0.0671,INFO,n=94 MAE=0.230
2026-07-18,forward_accuracy,rh3_spearman_rate_14d,C,-0.0021,INFO,n=34 (position backfilled from latest snapshot)
2026-07-18,forward_accuracy,rh3_spearman_rate_14d,non_C,0.0962,INFO,n=232 (position backfilled from latest snapshot)
