opp_name,slot_group,my_value,opp_value,edge
Boone's Bad Bullpen,C,195.8,242.6,-46.8
Boone's Bad Bullpen,1B,249.9,255.4,-5.5
Boone's Bad Bullpen,2B,207.8,189.4,18.4
Boone's Bad Bullpen,3B,233.2,259.6,-26.4
Boone's Bad Bullpen,SS,234.5,237.9,-3.4
Boone's Bad Bullpen,MI (2B/SS),229.5,209.1,20.4
Boone's Bad Bullpen,CI (1B/3B),239.1,196.3,42.8
Boone's Bad Bullpen,OF,1062.4,1030.9,31.5
Boone's Bad Bullpen,UTIL,105.9,165.0,-59.1
Boone's Bad Bullpen,SP,1575.2,1528.4,46.8
Boone's Bad Bullpen,RP,827.8,876.5,-48.7
Team Solomon,C,195.8,207.4,-11.6
Team Solomon,1B,249.9,302.6,-52.7
Team Solomon,2B,207.8,233.4,-25.6
Team Solomon,3B,233.2,201.6,31.6
Team Solomon,SS,234.5,225.8,8.7
Team Solomon,MI (2B/SS),229.5,170.0,59.5
Team Solomon,CI (1B/3B),239.1,249.0,-9.9
Team Solomon,OF,1062.4,1091.3,-28.9
Team Solomon,UTIL,105.9,186.9,-81.0
Team Solomon,SP,1575.2,1689.3,-114.1
Team Solomon,RP,827.8,581.1,246.7
Late Night Bettsing,C,195.8,246.5,-50.7
Late Night Bettsing,1B,249.9,248.7,1.2
Late Night Bettsing,2B,207.8,196.2,11.6
Late Night Bettsing,3B,233.2,303.7,-70.5
Late Night Bettsing,SS,234.5,230.1,4.4
Late Night Bettsing,MI (2B/SS),229.5,211.6,17.9
Late Night Bettsing,CI (1B/3B),239.1,245.7,-6.6
Late Night Bettsing,OF,1062.4,1000.3,62.1
Late Night Bettsing,UTIL,105.9,214.7,-108.8
Late Night Bettsing,SP,1575.2,1454.9,120.2
Late Night Bettsing,RP,827.8,772.2,55.6
U Just Lost To Edwin Diaz,C,195.8,269.5,-73.7
U Just Lost To Edwin Diaz,1B,249.9,244.5,5.4
U Just Lost To Edwin Diaz,2B,207.8,239.5,-31.7
U Just Lost To Edwin Diaz,3B,233.2,216.1,17.1
U Just Lost To Edwin Diaz,SS,234.5,214.2,20.3
U Just Lost To Edwin Diaz,MI (2B/SS),229.5,207.5,22.0
U Just Lost To Edwin Diaz,CI (1B/3B),239.1,226.3,12.8
U Just Lost To Edwin Diaz,OF,1062.4,1125.0,-62.6
U Just Lost To Edwin Diaz,UTIL,105.9,211.5,-105.6
U Just Lost To Edwin Diaz,SP,1575.2,1445.9,129.3
U Just Lost To Edwin Diaz,RP,827.8,757.2,70.6
2015 Draft First Round,C,195.8,169.2,26.6
2015 Draft First Round,1B,249.9,186.6,63.3
2015 Draft First Round,2B,207.8,231.9,-24.1
2015 Draft First Round,3B,233.2,264.8,-31.6
2015 Draft First Round,SS,234.5,270.6,-36.1
2015 Draft First Round,MI (2B/SS),229.5,206.3,23.2
2015 Draft First Round,CI (1B/3B),239.1,195.6,43.5
2015 Draft First Round,OF,1062.4,1084.0,-21.6
2015 Draft First Round,UTIL,105.9,261.4,-155.5
2015 Draft First Round,SP,1575.2,1602.5,-27.4
2015 Draft First Round,RP,827.8,600.2,227.6
Frendy's Fantastic Team,C,195.8,291.5,-95.7
Frendy's Fantastic Team,1B,249.9,251.3,-1.4
Frendy's Fantastic Team,2B,207.8,264.5,-56.7
Frendy's Fantastic Team,3B,233.2,238.5,-5.3
Frendy's Fantastic Team,SS,234.5,0.0,234.5
Frendy's Fantastic Team,MI (2B/SS),229.5,247.5,-18.0
Frendy's Fantastic Team,CI (1B/3B),239.1,226.0,13.1
Frendy's Fantastic Team,OF,1062.4,1098.4,-36.0
Frendy's Fantastic Team,UTIL,105.9,222.1,-116.2
Frendy's Fantastic Team,SP,1575.2,1553.7,21.5
Frendy's Fantastic Team,RP,827.8,135.6,692.2
Treasure Island Mashers,C,195.8,156.2,39.6
Treasure Island Mashers,1B,249.9,259.2,-9.3
Treasure Island Mashers,2B,207.8,242.6,-34.8
Treasure Island Mashers,3B,233.2,167.2,66.0
Treasure Island Mashers,SS,234.5,232.4,2.1
Treasure Island Mashers,MI (2B/SS),229.5,218.9,10.6
Treasure Island Mashers,CI (1B/3B),239.1,193.3,45.8
Treasure Island Mashers,OF,1062.4,1030.4,32.0
Treasure Island Mashers,UTIL,105.9,167.4,-61.5
Treasure Island Mashers,SP,1575.2,1486.8,88.3
Treasure Island Mashers,RP,827.8,223.7,604.1
