batter,home_team,pa,core_fp,rate,annual_rate,total_pa,lift_pct,player_name,team,rank
405395,ATH,67,26,0.3880597014925373,0.35551811288963775,1187,9.2,,,
405395,HOU,69,16,0.2318840579710145,0.35551811288963775,1187,-34.8,,,
405395,KC,50,21,0.42,0.35551811288963775,1187,18.1,,,
405395,LAA,546,174,0.31868131868131866,0.35551811288963775,1187,-10.4,,,
405395,LAD,115,39,0.3391304347826087,0.35551811288963775,1187,-4.6,,,
405395,SEA,80,30,0.375,0.35551811288963775,1187,5.5,,,
405395,STL,189,86,0.455026455026455,0.35551811288963775,1187,28.0,,,
405395,TEX,71,30,0.4225352112676056,0.35551811288963775,1187,18.9,,,
408234,BAL,42,19,0.4523809523809524,0.20410557184750733,1705,121.6,,,
408234,BOS,61,5,0.08196721311475409,0.20410557184750733,1705,-59.8,,,
408234,CLE,127,15,0.11811023622047244,0.20410557184750733,1705,-42.1,,,
408234,CWS,107,27,0.2523364485981308,0.20410557184750733,1705,23.6,,,
408234,DET,1025,255,0.24878048780487805,0.20410557184750733,1705,21.9,,,
408234,KC,106,20,0.18867924528301888,0.20410557184750733,1705,-7.6,,,
408234,MIN,106,21,0.19811320754716982,0.20410557184750733,1705,-2.9,,,
408234,NYY,41,-6,-0.14634146341463414,0.20410557184750733,1705,-171.7,,,
408234,TB,44,-8,-0.18181818181818182,0.20410557184750733,1705,-189.1,,,
408234,TOR,46,0,0.0,0.20410557184750733,1705,-100.0,,,
425783,ATH,86,24,0.27906976744186046,0.2618069815195072,974,6.6,,,
425783,HOU,79,-12,-0.1518987341772152,0.2618069815195072,974,-158.0,,,
425783,LAA,72,21,0.2916666666666667,0.2618069815195072,974,11.4,,,
425783,SEA,77,25,0.3246753246753247,0.2618069815195072,974,24.0,,,
425783,TEX,660,197,0.29848484848484846,0.2618069815195072,974,14.0,,,
425877,AZ,45,22,0.4888888888888889,0.2674982674982675,1443,82.8,,,
425877,CHC,118,27,0.2288135593220339,0.2674982674982675,1443,-14.5,,,
425877,CIN,93,14,0.15053763440860216,0.2674982674982675,1443,-43.7,,,
425877,COL,45,16,0.35555555555555557,0.2674982674982675,1443,32.9,,,
425877,MIA,44,19,0.4318181818181818,0.2674982674982675,1443,61.4,,,
425877,MIL,106,38,0.3584905660377358,0.2674982674982675,1443,34.0,,,
425877,NYM,54,15,0.2777777777777778,0.2674982674982675,1443,3.8,,,
425877,PIT,94,13,0.13829787234042554,0.2674982674982675,1443,-48.3,,,
425877,STL,844,222,0.26303317535545023,0.2674982674982675,1443,-1.7,,,
429665,BOS,69,14,0.2028985507246377,0.37695078031212487,833,-46.2,,,
429665,CLE,318,112,0.3522012578616352,0.37695078031212487,833,-6.6,,,
429665,KC,59,13,0.22033898305084745,0.37695078031212487,833,-41.5,,,
429665,LAA,48,16,0.3333333333333333,0.37695078031212487,833,-11.6,,,
429665,MIN,69,37,0.5362318840579711,0.37695078031212487,833,42.3,,,
429665,NYY,130,59,0.45384615384615384,0.37695078031212487,833,20.4,,,
429665,SEA,140,63,0.45,0.37695078031212487,833,19.4,,,
435622,AZ,58,21,0.3620689655172414,0.2833957553058677,801,27.8,,,
435622,COL,557,170,0.3052064631956912,0.2833957553058677,801,7.7,,,
435622,LAD,62,14,0.22580645161290322,0.2833957553058677,801,-20.3,,,
435622,SD,57,5,0.08771929824561403,0.2833957553058677,801,-69.0,,,
435622,SF,67,17,0.2537313432835821,0.2833957553058677,801,-10.5,,,
443558,ATH,59,14,0.23728813559322035,0.3312678741658723,2098,-28.4,,,
443558,BAL,69,22,0.3188405797101449,0.3312678741658723,2098,-3.8,,,
443558,BOS,55,35,0.6363636363636364,0.3312678741658723,2098,92.1,,,
443558,CLE,75,24,0.32,0.3312678741658723,2098,-3.4,,,
443558,CWS,101,59,0.5841584158415841,0.3312678741658723,2098,76.3,,,
443558,DET,108,55,0.5092592592592593,0.3312678741658723,2098,53.7,,,
443558,HOU,64,5,0.078125,0.3312678741658723,2098,-76.4,,,
443558,KC,51,19,0.37254901960784315,0.3312678741658723,2098,12.5,,,
443558,LAA,59,23,0.3898305084745763,0.3312678741658723,2098,17.7,,,
443558,MIN,486,190,0.39094650205761317,0.3312678741658723,2098,18.0,,,
443558,NYY,42,13,0.30952380952380953,0.3312678741658723,2098,-6.6,,,
443558,SD,111,18,0.16216216216216217,0.3312678741658723,2098,-51.0,,,
443558,SEA,322,106,0.32919254658385094,0.3312678741658723,2098,-0.6,,,
443558,TB,118,21,0.17796610169491525,0.3312678741658723,2098,-46.3,,,
443558,TEX,66,30,0.45454545454545453,0.3312678741658723,2098,37.2,,,
443558,TOR,41,3,0.07317073170731707,0.3312678741658723,2098,-77.9,,,
443558,WSH,271,58,0.2140221402214022,0.3312678741658723,2098,-35.4,,,
444482,ATL,55,9,0.16363636363636364,0.2880658436213992,2430,-43.2,,,
444482,AZ,985,347,0.3522842639593909,0.2880658436213992,2430,22.3,,,
444482,CHC,70,14,0.2,0.2880658436213992,2430,-30.6,,,
444482,CIN,54,26,0.48148148148148145,0.2880658436213992,2430,67.1,,,
444482,COL,136,61,0.4485294117647059,0.2880658436213992,2430,55.7,,,
444482,LAD,307,69,0.2247557003257329,0.2880658436213992,2430,-22.0,,,
444482,MIA,69,12,0.17391304347826086,0.2880658436213992,2430,-39.6,,,
444482,NYM,49,-5,-0.10204081632653061,0.2880658436213992,2430,-135.4,,,
444482,PHI,56,20,0.35714285714285715,0.2880658436213992,2430,24.0,,,
444482,PIT,80,23,0.2875,0.2880658436213992,2430,-0.2,,,
444482,SD,229,71,0.31004366812227074,0.2880658436213992,2430,7.6,,,
444482,SF,94,8,0.0851063829787234,0.2880658436213992,2430,-70.5,,,
444482,STL,65,15,0.23076923076923078,0.2880658436213992,2430,-19.9,,,
444482,TB,120,11,0.09166666666666666,0.2880658436213992,2430,-68.2,,,
444482,WSH,61,19,0.3114754098360656,0.2880658436213992,2430,8.1,,,
446334,ATL,45,6,0.13333333333333333,0.24623115577889448,1592,-45.9,,,
446334,AZ,205,64,0.3121951219512195,0.24623115577889448,1592,26.8,,,
446334,CHC,50,16,0.32,0.24623115577889448,1592,30.0,,,
446334,CIN,52,18,0.34615384615384615,0.24623115577889448,1592,40.6,,,
446334,COL,104,33,0.3173076923076923,0.24623115577889448,1592,28.9,,,
446334,LAD,120,5,0.041666666666666664,0.24623115577889448,1592,-83.1,,,
446334,MIA,54,10,0.18518518518518517,0.24623115577889448,1592,-24.8,,,
446334,PIT,53,8,0.1509433962264151,0.24623115577889448,1592,-38.7,,,
446334,SD,115,45,0.391304347826087,0.24623115577889448,1592,58.9,,,
446334,SF,752,185,0.24601063829787234,0.24623115577889448,1592,-0.1,,,
446334,STL,42,2,0.047619047619047616,0.24623115577889448,1592,-80.7,,,
452678,ATL,61,29,0.47540983606557374,0.2920035938903863,1113,62.8,,,
452678,AZ,173,44,0.2543352601156069,0.2920035938903863,1113,-12.9,,,
452678,CIN,57,-1,-0.017543859649122806,0.2920035938903863,1113,-106.0,,,
