batter,total_pa,annual_rate,n_parks,hot1_park,hot1_lift,hot1_pa,hot2_park,hot2_lift,hot3_park,hot3_lift,cold1_park,cold1_lift,cold1_pa,cold2_park,cold2_lift,cold3_park,cold3_lift,player_name,team,rank
405395,1187,0.3555,8,STL,28.0,189,TEX,18.9,KC,18.1,HOU,-34.8,69,LAA,-10.4,LAD,-4.6,,,
408234,1705,0.2041,10,BAL,121.6,42,CWS,23.6,DET,21.9,TB,-189.1,44,NYY,-171.7,TOR,-100.0,,,
425783,974,0.2618,5,SEA,24.0,77,TEX,14.0,LAA,11.4,HOU,-158.0,79,ATH,6.6,LAA,11.4,,,
425877,1443,0.2675,9,AZ,82.8,45,MIA,61.4,MIL,34.0,PIT,-48.3,94,CIN,-43.7,CHC,-14.5,,,
429665,833,0.377,7,MIN,42.3,69,NYY,20.4,SEA,19.4,BOS,-46.2,69,KC,-41.5,LAA,-11.6,,,
435622,801,0.2834,5,AZ,27.8,58,COL,7.7,SF,-10.5,SD,-69.0,57,LAD,-20.3,SF,-10.5,,,
443558,2098,0.3313,17,BOS,92.1,55,CWS,76.3,DET,53.7,TOR,-77.9,41,HOU,-76.4,SD,-51.0,,,
444482,2430,0.2881,15,CIN,67.1,54,COL,55.7,PHI,24.0,NYM,-135.4,49,SF,-70.5,TB,-68.2,,,
446334,1592,0.2462,11,SD,58.9,115,CIN,40.6,CHC,30.0,LAD,-83.1,120,STL,-80.7,ATL,-45.9,,,
452678,1113,0.292,10,PIT,79.4,42,MIA,65.9,ATL,62.8,CIN,-106.0,57,NYM,-13.3,AZ,-12.9,,,
453568,3135,0.3585,16,WSH,37.2,63,PIT,20.7,COL,17.0,TEX,-81.8,46,ATL,-50.2,MIL,-42.6,,,
455117,2009,0.103,15,SEA,138.2,110,TOR,108.0,CLE,108.0,SD,-136.9,79,NYY,-132.9,DET,-100.0,,,
455139,887,0.1657,8,SEA,279.9,54,HOU,112.1,TEX,-18.9,NYY,-145.3,40,BAL,-137.1,LAA,-88.4,,,
455976,825,0.3503,5,MIA,25.9,68,NYM,9.8,ATL,0.8,PHI,-45.1,52,WSH,-7.8,ATL,0.8,,,
456715,1338,0.2616,8,PHI,61.7,52,CIN,47.0,STL,2.2,MIA,-55.5,43,ATL,-33.5,PIT,-20.7,,,
456781,1435,0.2551,13,AZ,107.9,66,COL,100.2,TEX,37.2,SEA,-68.6,100,LAD,-44.0,PHI,-31.8,,,
457705,3395,0.2675,20,CIN,56.1,103,COL,55.8,WSH,40.7,NYM,-83.9,93,LAD,-50.1,AZ,-42.5,,,
457708,980,0.2082,6,LAA,33.2,613,TOR,14.9,TEX,-42.4,HOU,-106.7,72,SEA,-60.9,ATH,-56.3,,,
457759,3225,0.3553,22,PIT,82.4,54,MIA,62.7,NYY,34.0,PHI,-38.6,55,SD,-34.1,CHC,-34.0,,,
457763,982,0.331,5,COL,39.7,80,SF,3.3,SD,-1.9,AZ,-26.8,95,LAD,-26.0,SD,-1.9,,,
458015,2130,0.3075,13,CHC,89.7,120,ATL,35.5,PHI,19.0,MIA,-87.0,50,LAD,-40.0,SD,-39.0,,,
458731,1320,0.2803,8,BAL,61.6,117,CWS,24.5,TOR,15.5,HOU,-55.4,40,BOS,-37.5,NYY,-6.4,,,
460086,879,0.2662,5,CWS,25.2,72,DET,23.3,KC,5.8,CLE,-84.1,71,MIN,-9.7,KC,5.8,,,
462101,2337,0.2563,14,CLE,74.7,67,SEA,71.1,KC,44.1,MIN,-83.7,72,LAA,-54.3,NYY,-38.4,,,
467793,4178,0.3231,29,TOR,59.6,64,LAA,48.4,NYY,44.9,CIN,-57.3,58,ATH,-43.7,LAD,-40.7,,,
474832,1725,0.2667,11,AZ,71.5,94,NYM,38.5,PIT,32.4,PHI,-73.8,43,WSH,-65.1,SD,-41.7,,,
475253,805,0.2571,5,BOS,75.6,62,TOR,8.0,BAL,-27.4,NYY,-91.7,47,TB,-71.5,BAL,-27.4,,,
476704,1002,0.2665,5,TEX,90.0,81,HOU,41.5,LAA,36.8,ATH,-18.1,678,SEA,-12.7,LAA,36.8,,,
488726,1887,0.4075,13,CWS,54.5,54,LAA,36.8,BOS,29.1,NYY,-65.6,57,KC,-46.8,SEA,-28.0,,,
493329,2437,0.348,15,TOR,28.4,47,ATH,18.9,HOU,15.5,TB,-72.6,42,CLE,-59.6,NYY,-42.5,,,
500743,2935,0.2828,16,ATL,39.8,129,SF,34.9,TB,30.7,CHC,-60.7,63,MIL,-50.1,CIN,-43.9,Miguel Rojas,LAD,143.0
500871,2431,0.2859,17,PIT,112.6,51,SF,59.8,COL,55.8,LAA,-144.5,118,STL,-60.0,MIA,-56.9,,,
501981,962,0.238,5,TEX,49.2,107,SEA,7.7,ATH,6.8,HOU,-100.0,97,LAA,-3.5,ATH,6.8,,,
502054,3712,0.246,26,BAL,113.7,78,CHC,63.4,NYM,62.6,PHI,-108.8,46,MIN,-61.9,MIL,-52.2,,,
502110,3290,0.3274,22,LAA,60.6,78,BAL,54.6,COL,43.0,ATH,-85.8,43,HOU,-81.7,MIN,-72.7,,,
502210,886,0.2968,6,TEX,44.4,56,SEA,22.5,LAA,14.0,ATH,-16.9,77,AZ,-6.6,HOU,-5.6,,,
