player,bucket,tag,inj,mlbam,return_date_used,snapshot_date,model_pa_per_teamgame,team_games_remaining,rate,qual,flags,when_active_pa,ros_total,xfp_p20_diag,xfp_p21_diag,xfp_p22_diag,xfp_p23_diag,ros_overlay_diag,starts_p20,starts_p21,starts_p22,starts_p23
Corbin Carroll,H,MINE,ACTIVE,682998.0,,2026-08-14,4.043,40.0,0.695,model_passthrough,,4.35,112.4,16.9,19.7,33.7,33.7,112.4,,,,
Elly De La Cruz,H,MINE,ACTIVE,682829.0,,2026-08-14,4.053,42.0,0.596,model_passthrough,,4.49,101.5,19.3,14.5,29.0,31.4,101.5,,,,
Pete Alonso,H,MINE,ACTIVE,624413.0,,2026-08-14,3.688,41.0,0.627,model_passthrough,,4.34,94.7,16.2,13.9,30.0,27.7,94.7,,,,
Jackson Merrill,H,MINE,ACTIVE,701538.0,,2026-08-14,3.686,40.0,0.628,model_passthrough,,4.25,92.6,13.9,13.9,27.8,30.1,92.6,,,,
Michael Harris II,H,MINE,ACTIVE,671739.0,,2026-08-14,3.57,41.0,0.614,model_passthrough,,4.04,89.8,15.3,13.1,28.5,26.3,89.8,,,,
Luis Arraez,H,MINE,ACTIVE,650333.0,,2026-08-14,3.865,39.0,0.569,model_passthrough,,4.45,85.7,13.2,13.2,28.6,26.4,85.7,,,,
Wyatt Langford,H,MINE,ACTIVE,694671.0,,2026-08-14,3.77,40.0,0.557,model_passthrough,,4.26,84.0,12.6,12.6,27.3,25.2,84.0,,,,
Vladimir Guerrero Jr.,H,MINE,ACTIVE,665489.0,,2026-08-14,3.478,39.0,0.585,model_passthrough,,4.25,79.4,12.2,12.2,24.4,24.4,79.4,,,,
Luis Garcia Jr.,H,MINE,ACTIVE,671277.0,,2026-08-14,2.965,41.0,0.646,model_passthrough,,3.63,78.5,11.5,13.4,23.0,24.9,78.5,,,,
Hunter Goodman,H,MINE,ACTIVE,696100.0,,2026-08-14,3.322,41.0,0.571,model_passthrough,,4.14,77.8,11.4,13.3,22.8,24.7,77.8,,,,
Bryson Stott,H,MINE,ACTIVE,681082.0,,2026-08-14,3.282,39.0,0.59,model_passthrough,,3.91,75.6,11.6,11.6,25.2,23.3,75.6,,,,
Jordan Walker,H,MINE,ACTIVE,691023.0,,2026-08-14,3.547,41.0,0.515,model_passthrough,,4.26,74.9,14.6,11.0,21.9,21.9,74.9,,,,
Aaron Judge,H,MINE,SIXTY_DAY_DL,592450.0,2026-08-25,2026-08-14,2.176,41.0,0.708,il_return_overlay,,4.42,63.2,0.0,21.9,37.6,40.7,100.2,,,,
Max Muncy,H,MINE,ACTIVE,571970.0,,2026-08-14,2.598,40.0,0.538,model_passthrough,,3.8,55.9,8.4,8.4,16.8,18.2,55.9,,,,
Ezequiel Duran,H,MINE,ACTIVE,677649.0,,2026-08-14,3.062,40.0,0.416,model_passthrough,,3.89,51.0,7.6,7.6,16.6,15.3,51.0,,,,
Oneil Cruz,H,FA-TARGET,SIXTY_DAY_DL,665833.0,2026-08-14,2026-08-14,2.254,39.0,0.54,il_return_overlay,,4.49,47.4,14.5,14.5,29.1,29.1,94.5,,,,
Drew Rasmussen,SP,MINE,ACTIVE,,,,,,13.89,data_driven_full,,,111.1,27.8,13.9,27.8,41.7,,2.0,1.0,2.0,3.0
Max Fried,SP,MINE,ACTIVE,,,,,,13.28,data_driven_full,,,106.2,13.3,26.6,26.6,39.8,,1.0,2.0,2.0,3.0
Parker Messick,SP,MINE,ACTIVE,,,,,,12.57,data_driven_full,,,100.5,12.6,25.1,25.1,37.7,,1.0,2.0,2.0,3.0
Jose Soriano,SP,MINE,ACTIVE,,,,,,12.3,data_driven_full,,,98.4,24.6,12.3,24.6,36.9,,2.0,1.0,2.0,3.0
Eury Perez,SP,MINE,ACTIVE,,,,,,13.51,data_driven_full,,,94.5,13.5,13.5,40.5,27.0,,1.0,1.0,3.0,2.0
Logan Henderson,SP,MINE,ACTIVE,,,,,,12.81,data_driven_full,,,89.7,12.8,12.8,38.4,25.6,,1.0,1.0,3.0,2.0
Shota Imanaga,SP,MINE,ACTIVE,,,,,,12.64,data_driven_full,,,88.5,12.6,12.6,37.9,25.3,,1.0,1.0,3.0,2.0
Reid Detmers,SP,MINE,ACTIVE,,,,,,12.4,data_driven_full,,,86.8,12.4,12.4,37.2,24.8,,1.0,1.0,3.0,2.0
Tyler Glasnow,SP,MINE,SIXTY_DAY_DL,,,,,,13.86,marcel_il,,,74.8,0.0,5.5,41.6,27.7,,0.0,0.4,3.0,2.0
Nick Pivetta,SP,MINE,SIXTY_DAY_DL,,,,,,12.55,marcel_il,,,67.8,0.0,5.0,25.1,37.6,,0.0,0.4,2.0,3.0
