pitcher,player_name,pitches,plv,plv_std,plv_raw,swing_pct,whiff_pct,cs_pct,xwoba_model,contact_pct,plv_pctile,primary_position,sample_warning,pitcher_role,avg_pitches_per_game,rolling_plv_30d,plv_blended,est_k_per_ip,est_bb_per_ip,est_h_per_ip,est_er_per_ip,est_hb_per_ip,fp_per_ip,fp_per_start,fp_per_app,sv_upside,hd_upside,est_sv_per_162,est_hd_per_162,sv_hd_fp_per_162,pl_plv,pl_pla
623352,Josh Hader,876,5.757,1.458,-0.028,0.492,0.423,0.458,0.332,0.577,99.9,P,False,RP,17.877551020408163,5.982,5.8245,1.3298366428792665,0.32685689021250985,0.5601699544457468,0.28889255462520785,0.033,3.132,,3.13,+5/save (role-dependent),+3/hold (role-dependent),28,0,140.0,5.177152221021701,2.831154510872193
547973,Aroldis Chapman,972,5.782,1.391,-0.027,0.549,0.4,0.503,0.336,0.6,100.0,P,False,RP,13.885714285714286,5.744,5.7706,1.2898016517941646,0.24175927829764365,0.6000954812715644,0.30448017483663437,0.033,3.106,,3.11,+5/save (role-dependent),+3/hold (role-dependent),28,0,140.0,5.42300249635047,1.788073557212301
656730,Trevor Megill,841,5.751,1.406,-0.028,0.536,0.389,0.512,0.332,0.611,99.7,P,False,RP,15.017857142857142,5.575,5.6982,1.245650959183844,0.2297357050754658,0.6261770468268195,0.31647088058987544,0.033,3.0238,,3.02,+5/save (role-dependent),+3/hold (role-dependent),28,0,140.0,5.410492304638655,1.7888516014505689
682254,Mason Montgomery,876,5.659,1.452,-0.032,0.517,0.412,0.489,0.33,0.588,99.2,P,False,RP,15.10344827586207,5.771,5.6926,1.253775737481457,0.27591764413768305,0.6031221835983849,0.3157845487909709,0.033,3.0102,,3.01,+5/save (role-dependent),+3/hold (role-dependent),28,0,140.0,5.1659600698522805,2.776052817482972
640462,A. J. Puk,180,5.64,1.484,-0.032,0.552,0.377,0.548,0.355,0.623,99.0,P,True,RP,18.0,5.81,5.690999999999999,1.2359835940092556,0.15874533878512187,0.6590861067284473,0.339997964995175,0.033,3.0052,,3.01,+5/save (role-dependent),+3/hold (role-dependent),28,0,140.0,,
694819,Jacob Misiorowski,1348,5.66,1.431,-0.032,0.544,0.397,0.52,0.335,0.603,99.3,P,False,SP,74.88888888888889,5.686,5.6678,1.2332178946763765,0.2162950784406361,0.6285076512005023,0.3259725797722317,0.033,3.0035,16.52,,,,0,0,0.0,5.354352759836086,1.9669065346608596
656945,Tanner Scott,914,5.635,1.382,-0.033,0.538,0.401,0.507,0.342,0.599,98.8,P,False,RP,14.98360655737705,5.679,5.648199999999999,1.2246416155946602,0.24373039227716609,0.6353798564392994,0.33693428483573784,0.033,2.9387,,2.94,+5/save (role-dependent),+3/hold (role-dependent),28,0,140.0,5.309462944863566,2.192941100793228
678495,Randy Rodríguez,826,5.678,1.349,-0.031,0.487,0.385,0.512,0.338,0.615,99.5,P,False,RP,16.19607843137255,5.528,5.632999999999999,1.2087484812171718,0.2350219089911405,0.651805624433446,0.33643504407133046,0.033,2.9161,,2.92,+5/save (role-dependent),+3/hold (role-dependent),28,0,140.0,5.240435232327947,2.433790673630816
695243,Mason Miller,1027,5.581,1.532,-0.035,0.486,0.419,0.448,0.325,0.581,98.2,P,False,RP,16.3015873015873,5.811,5.6499999999999995,1.2343159084811235,0.36088648228029285,0.6028969238297076,0.3203136925525335,0.033,2.8969,,2.9,+5/save (role-dependent),+3/hold (role-dependent),28,0,140.0,5.033578619724572,3.362061863818493
686973,Louis Varland,1343,5.512,1.521,-0.037,0.511,0.404,0.517,0.334,0.596,97.5,P,False,RP,14.758241758241759,5.625,5.5459,1.1712289921626333,0.2321428438268478,0.6518790136676862,0.35163557873732376,0.033,2.8509,,2.85,+5/save (role-dependent),+3/hold (role-dependent),28,0,140.0,5.235398511704704,2.362166331835244
695505,Chase Burns,777,5.593,1.318,-0.034,0.529,0.39,0.491,0.328,0.61,98.4,P,False,SP,55.5,5.559,5.5828,1.1842450656652208,0.28084353104004833,0.6513407687573098,0.33785088180218803,0.033,2.8434,15.64,,,,0,0,0.0,5.242115444423652,2.4637243338185364
642207,Devin Williams,1212,5.581,1.289,-0.035,0.503,0.41,0.442,0.326,0.59,98.1,P,False,RP,16.833333333333332,5.712,5.620299999999999,1.2140331464365526,0.37522348148299367,0.6202488373312733,0.32775341897337695,0.033,2.8301,,2.83,+5/save (role-dependent),+3/hold (role-dependent),28,0,140.0,5.246625398402445,2.5339308685484294
