pitcher,player_name,pitches,plv,plv_std,plv_raw,swing_pct,whiff_pct,cs_pct,xwoba_model,contact_pct,plv_pctile,primary_position,pitcher_role,avg_pitches_per_game,rolling_plv_30d,plv_blended,est_k_per_ip,est_bb_per_ip,est_h_per_ip,est_er_per_ip,est_hb_per_ip,fp_per_ip,fp_per_start,fp_per_app,sv_upside,hd_upside,est_sv_per_162,est_hd_per_162,sv_hd_fp_per_162,pl_plv,pl_pla,signal,profile_flag,sample_tier
694819,Jacob Misiorowski,1746,5.852,1.472,-0.025,0.53,0.422,0.516,0.335,0.578,99.8,P,SP,91.89473684210526,6.087,5.922499999999999,1.381910810305414,0.2035975108101364,0.538619334943577,0.2703573808553603,0.033,3.366,18.51,,,,0,0,0.0,5.13018775287579,2.932657565407885,Top Target,Bat-Miss Elite,Strong
623352,Josh Hader,274,5.9,1.38,-0.023,0.531,0.414,0.44,0.337,0.586,100.0,P,RP,15.22222222222222,5.828,5.8784,1.3543890705663617,0.358273912974884,0.5594919804147696,0.2818959913592845,0.033,3.1398,,3.14,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,,,Top Target,"Bat-Miss Elite, Closer Value",Okay
656945,Tanner Scott,574,5.758,1.279,-0.028,0.516,0.418,0.499,0.34,0.582,99.7,P,RP,13.348837209302326,5.699,5.7403,1.2822605189583014,0.2521685836114267,0.593312214321268,0.3149146003309895,0.033,3.074,,3.07,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,,,Top Target,"Bat-Miss Elite, Closer Value",Strong
676263,Jack Dreyer,629,5.597,1.291,-0.034,0.478,0.382,0.501,0.335,0.618,99.3,P,RP,15.341463414634148,5.678,5.6213,1.2010222095605647,0.2578403765877826,0.655272252258668,0.3361261202105299,0.033,2.8827,,2.88,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,5.192050136996516,2.625163786470887,Top Target,"Bat-Miss Elite, Closer Value",Strong
695243,Mason Miller,647,5.578,1.363,-0.035,0.489,0.417,0.452,0.325,0.583,99.0,P,RP,16.58974358974359,5.66,5.6026,1.2079273392582104,0.3567768402218462,0.6169935434579554,0.3306637531283468,0.033,2.8398,,2.84,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,5.088880371229241,3.1236702093198234,Top Target,"Bat-Miss Elite, Closer Value",Strong
656730,Trevor Megill,584,5.602,1.385,-0.034,0.518,0.377,0.493,0.334,0.623,99.5,P,RP,14.6,5.536,5.582199999999999,1.1776334906264188,0.2769158371511304,0.6693911999787168,0.3437092665242007,0.033,2.8109,,2.81,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,5.191345415665404,2.7356102378526,Top Target,"Bat-Miss Elite, Closer Value",Strong
686973,Louis Varland,806,5.588,1.422,-0.034,0.513,0.427,0.468,0.324,0.573,99.2,P,RP,17.52173913043478,5.429,5.5403,1.1793537704602466,0.330017202072946,0.6221586189771602,0.3433127518757491,0.033,2.8076,,2.81,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,5.369329686824378,2.0204304098422066,Top Target,"Bat-Miss Elite, Closer Value",Strong
594798,Jacob Degrom,1605,5.515,1.322,-0.037,0.504,0.402,0.479,0.328,0.598,98.4,P,SP,89.16666666666667,5.466,5.500299999999999,1.145805773914804,0.3113904023051442,0.6605165232654611,0.3558652277411039,0.033,2.7292,15.01,,,,0,0,0.0,5.304955878683131,2.1783648706663854,Top Target,Bat-Miss Elite,Strong
623149,Paul Sewald,578,5.511,1.171,-0.037,0.509,0.339,0.534,0.346,0.661,98.2,P,RP,14.097560975609756,5.542,5.5203,1.126050599170351,0.2004195190880908,0.7329087953218227,0.3686802274651012,0.033,2.7224,,2.72,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,,,Top Target,"Bat-Miss Elite, Closer Value",Strong
695505,Chase Burns,1745,5.531,1.32,-0.036,0.512,0.412,0.455,0.323,0.588,98.7,P,SP,91.84210526315788,5.387,5.4878,1.1439402487608226,0.360119940891465,0.6496232333822479,0.3538218646813165,0.033,2.6936,14.81,,,,0,0,0.0,5.214008841442138,2.551119742246339,Top Target,Bat-Miss Elite,Strong
