pitcher,ptg,pitches,total,mix_pct,player_name
434378,FB,1216,2688,45.2,
434378,SL,837,2688,31.1,
434378,CB,395,2688,14.7,
434378,CH,230,2688,8.6,
434378,SI,10,2688,0.4,
445276,CT,824,1018,80.9,
445276,SL,100,1018,9.8,
445276,SI,94,1018,9.2,
450203,CB,976,2548,38.3,
450203,FB,702,2548,27.6,
450203,SI,385,2548,15.1,
450203,CH,253,2548,9.9,
450203,CT,232,2548,9.1,
453286,FB,836,1733,48.2,"Scherzer, Max"
453286,SL,409,1733,23.6,"Scherzer, Max"
453286,CH,246,1733,14.2,"Scherzer, Max"
453286,CB,213,1733,12.3,"Scherzer, Max"
453286,CT,29,1733,1.7,"Scherzer, Max"
455119,CT,273,742,36.8,
455119,FB,220,742,29.6,
455119,SP,129,742,17.4,
455119,SI,103,742,13.9,
455119,SL,17,742,2.3,
458677,FB,382,816,46.8,
458677,SL,272,816,33.3,
458677,CT,121,816,14.8,
458677,SP,41,816,5.0,
471911,SL,196,789,24.8,
471911,SI,179,789,22.7,
471911,CH,170,789,21.5,
471911,FB,165,789,20.9,
471911,CB,78,789,9.9,
471911,CT,1,789,0.1,
472610,SI,442,1036,42.7,
472610,SL,329,1036,31.8,
472610,SP,247,1036,23.8,
472610,FB,18,1036,1.7,
477132,SL,732,1770,41.4,
477132,FB,612,1770,34.6,
477132,CB,318,1770,18.0,
477132,SP,98,1770,5.5,
477132,SI,9,1770,0.5,
477132,OTHER,1,1770,0.1,
489119,CT,70,205,34.1,
489119,CH,49,205,23.9,
489119,FB,45,205,22.0,
489119,SI,31,205,15.1,
489119,SL,9,205,4.4,
489119,CB,1,205,0.5,
489446,FB,426,741,57.5,
489446,SP,315,741,42.5,
500779,SI,1031,2587,39.9,"Quintana, Jose"
500779,CH,564,2587,21.8,"Quintana, Jose"
500779,FB,386,2587,14.9,"Quintana, Jose"
500779,CB,365,2587,14.1,"Quintana, Jose"
500779,SL,241,2587,9.3,"Quintana, Jose"
502043,SI,100,280,35.7,
502043,SL,58,280,20.7,
502043,CH,36,280,12.9,
502043,CB,31,280,11.1,
502043,CT,29,280,10.4,
502043,FB,26,280,9.3,
502085,CT,151,304,49.7,
502085,CB,104,304,34.2,
502085,SL,30,304,9.9,
502085,SI,16,304,5.3,
502085,CH,3,304,1.0,
506433,SL,277,1158,23.9,
506433,SI,232,1158,20.0,
506433,CB,192,1158,16.6,
506433,FB,190,1158,16.4,
506433,CT,136,1158,11.7,
506433,SP,121,1158,10.4,
506433,CH,8,1158,0.7,
506433,OTHER,2,1158,0.2,
518397,SI,204,313,65.2,
518397,SL,65,313,20.8,
518397,CH,44,313,14.1,
518489,FB,134,374,35.8,
518489,SL,129,374,34.5,
518489,SI,64,374,17.1,
518489,CT,47,374,12.6,
518585,SP,610,1027,59.4,
518585,FB,223,1027,21.7,
518585,SI,120,1027,11.7,
518585,SL,74,1027,7.2,
518876,CH,881,3216,27.4,"Kelly, Merrill"
518876,FB,750,3216,23.3,"Kelly, Merrill"
518876,CT,630,3216,19.6,"Kelly, Merrill"
518876,SI,399,3216,12.4,"Kelly, Merrill"
518876,CB,316,3216,9.8,"Kelly, Merrill"
518876,SL,238,3216,7.4,"Kelly, Merrill"
518876,OTHER,2,3216,0.1,"Kelly, Merrill"
518886,FB,211,320,65.9,
518886,CB,60,320,18.8,
518886,SL,36,320,11.2,
518886,CH,12,320,3.8,
518886,CT,1,320,0.3,
519008,SI,139,272,51.1,
519008,SL,101,272,37.1,
519008,CH,29,272,10.7,
519008,FB,3,272,1.1,
519141,FB,744,992,75.0,
519141,CB,248,992,25.0,
519151,FB,239,645,37.1,
519151,CB,159,645,24.7,
519151,SL,134,645,20.8,
519151,SI,77,645,11.9,
519151,CH,36,645,5.6,
519242,SL,1221,2675,45.6,"Sale, Chris"
519242,FB,1101,2675,41.2,"Sale, Chris"
519242,CH,228,2675,8.5,"Sale, Chris"
519242,SI,125,2675,4.7,"Sale, Chris"
519326,SL,152,332,45.8,
519326,FB,114,332,34.3,
519326,SI,38,332,11.4,
519326,CH,28,332,8.4,
521230,FB,128,232,55.2,
521230,SL,76,232,32.8,
521230,CB,27,232,11.6,
521230,OTHER,1,232,0.4,
527048,SI,419,1347,31.1,"Pérez, Martín"
527048,CH,396,1347,29.4,"Pérez, Martín"
527048,CT,353,1347,26.2,"Pérez, Martín"
527048,CB,123,1347,9.1,"Pérez, Martín"
527048,FB,56,1347,4.2,"Pérez, Martín"
542881,FB,892,2339,38.1,
542881,CH,795,2339,34.0,
542881,CT,480,2339,20.5,
542881,SI,85,2339,3.6,
542881,SL,81,2339,3.5,
542881,CB,6,2339,0.3,
542888,FB,389,1318,29.5,
542888,SL,325,1318,24.7,
542888,CT,302,1318,22.9,
542888,SI,302,1318,22.9,
543056,CT,325,868,37.4,
543056,SI,187,868,21.5,
543056,SL,171,868,19.7,
543056,FB,147,868,16.9,
543056,CB,37,868,4.3,
543056,CH,1,868,0.1,
543101,SL,142,634,22.4,
543101,CB,136,634,21.5,
543101,SP,129,634,20.3,
543101,FB,114,634,18.0,
543101,SI,113,634,17.8,
543135,SP,844,2547,33.1,"Eovaldi, Nathan"
543135,CT,529,2547,20.8,"Eovaldi, Nathan"
543135,FB,508,2547,19.9,"Eovaldi, Nathan"
543135,CB,492,2547,19.3,"Eovaldi, Nathan"
543135,SI,145,2547,5.7,"Eovaldi, Nathan"
543135,SL,29,2547,1.1,"Eovaldi, Nathan"
543243,FB,662,3109,21.3,"Gray, Sonny"
543243,SL,631,3109,20.3,"Gray, Sonny"
543243,CB,572,3109,18.4,"Gray, Sonny"
543243,SI,559,3109,18.0,"Gray, Sonny"
543243,CT,433,3109,13.9,"Gray, Sonny"
543243,CH,251,3109,8.1,"Gray, Sonny"
543243,OTHER,1,3109,0.0,"Gray, Sonny"
543294,CH,987,2573,38.4,
543294,SI,987,2573,38.4,
543294,FB,385,2573,15.0,
543294,CB,212,2573,8.2,
543294,OTHER,2,2573,0.1,
543518,FB,115,297,38.7,
543518,SP,99,297,33.3,
543518,SL,70,297,23.6,
543518,SI,13,297,4.4,
543859,FB,226,397,56.9,
543859,SL,139,397,35.0,
543859,SI,32,397,8.1,
544150,FB,208,430,48.4,
544150,CT,82,430,19.1,
544150,CH,71,430,16.5,
544150,CB,46,430,10.7,
544150,SL,23,430,5.3,
547179,FB,625,2933,21.3,"Lorenzen, Michael"
547179,SL,585,2933,19.9,"Lorenzen, Michael"
547179,CH,522,2933,17.8,"Lorenzen, Michael"
547179,SI,515,2933,17.6,"Lorenzen, Michael"
547179,CB,352,2933,12.0,"Lorenzen, Michael"
547179,CT,334,2933,11.4,"Lorenzen, Michael"
547184,SL,476,737,64.6,
547184,FB,211,737,28.6,
547184,SI,39,737,5.3,
547184,CH,11,737,1.5,
547973,FB,419,1072,39.1,
547973,SI,372,1072,34.7,
547973,SL,165,1072,15.4,
547973,SP,116,1072,10.8,
548384,SL,241,574,42.0,
548384,SI,140,574,24.4,
548384,CT,112,574,19.5,
548384,CH,81,574,14.1,
552640,SL,442,844,52.4,
552640,SI,308,844,36.5,
552640,FB,87,844,10.3,
552640,SP,7,844,0.8,
554340,FB,159,359,44.3,
554340,SL,64,359,17.8,
554340,CB,62,359,17.3,
554340,SI,54,359,15.0,
554340,CH,20,359,5.6,
554430,FB,1038,2572,40.4,Zack Wheeler
554430,SI,444,2572,17.3,Zack Wheeler
554430,SL,381,2572,14.8,Zack Wheeler
554430,CB,250,2572,9.7,Zack Wheeler
554430,SP,236,2572,9.2,Zack Wheeler
554430,CT,223,2572,8.7,Zack Wheeler
570632,SI,339,934,36.3,
570632,SL,239,934,25.6,
570632,CH,230,934,24.6,
570632,FB,94,934,10.1,
570632,SP,32,934,3.4,
571510,FB,1513,3176,47.6,"Boyd, Matthew"
571510,CH,773,3176,24.3,"Boyd, Matthew"
571510,SL,458,3176,14.4,"Boyd, Matthew"
571510,CB,345,3176,10.9,"Boyd, Matthew"
571510,SI,87,3176,2.7,"Boyd, Matthew"
571578,SL,968,2980,32.5,"Corbin, Patrick"
571578,SI,881,2980,29.6,"Corbin, Patrick"
571578,CT,723,2980,24.3,"Corbin, Patrick"
571578,CH,298,2980,10.0,"Corbin, Patrick"
571578,FB,93,2980,3.1,"Corbin, Patrick"
571578,CB,17,2980,0.6,"Corbin, Patrick"
571760,FB,909,2082,43.7,
571760,CH,361,2082,17.3,
571760,SL,346,2082,16.6,
571760,SI,234,2082,11.2,
571760,CB,232,2082,11.1,
571927,SI,968,1761,55.0,"Matz, Steven"
571927,CH,393,1761,22.3,"Matz, Steven"
571927,CB,306,1761,17.4,"Matz, Steven"
571927,SL,93,1761,5.3,"Matz, Steven"
571927,OTHER,1,1761,0.1,"Matz, Steven"
571945,FB,810,2962,27.3,"Mikolas, Miles"
571945,SL,773,2962,26.1,"Mikolas, Miles"
571945,SI,526,2962,17.8,"Mikolas, Miles"
571945,CB,513,2962,17.3,"Mikolas, Miles"
571945,CH,337,2962,11.4,"Mikolas, Miles"
571945,OTHER,3,2962,0.1,"Mikolas, Miles"
571946,FB,436,705,61.8,
571946,SP,203,705,28.8,
571946,SL,65,705,9.2,
571946,CT,1,705,0.1,
571948,SI,484,1386,34.9,
571948,SL,469,1386,33.8,
571948,CH,243,1386,17.5,
571948,FB,190,1386,13.7,
572955,CB,845,1180,71.6,
572955,FB,288,1180,24.4,
572955,CT,47,1180,4.0,
573009,SI,154,378,40.7,
573009,CB,121,378,32.0,
573009,CH,99,378,26.2,
573009,FB,4,378,1.1,
573124,SL,555,1129,49.2,
573124,SI,528,1129,46.8,
573124,CT,46,1129,4.1,
573186,SI,257,704,36.5,
573186,SL,182,704,25.9,
573186,CT,125,704,17.8,
573186,SP,75,704,10.7,
573186,CB,35,704,5.0,
573186,FB,30,704,4.3,
573204,FB,435,988,44.0,
573204,SL,285,988,28.8,
573204,CB,268,988,27.1,
579328,FB,1268,3661,34.6,"Kikuchi, Yusei"
579328,SL,1236,3661,33.8,"Kikuchi, Yusei"
579328,CB,525,3661,14.3,"Kikuchi, Yusei"
579328,CH,376,3661,10.3,"Kikuchi, Yusei"
579328,SP,125,3661,3.4,"Kikuchi, Yusei"
579328,CT,94,3661,2.6,"Kikuchi, Yusei"
579328,SI,37,3661,1.0,"Kikuchi, Yusei"
592094,SL,551,1246,44.2,
592094,CH,411,1246,33.0,
592094,FB,281,1246,22.6,
592094,CT,3,1246,0.2,
592155,FB,262,571,45.9,
592155,SL,182,571,31.9,
592155,CT,112,571,19.6,
592155,CH,15,571,2.6,
592332,FB,1959,3654,53.6,"Gausman, Kevin"
592332,SP,1389,3654,38.0,"Gausman, Kevin"
592332,SL,304,3654,8.3,"Gausman, Kevin"
592332,SI,2,3654,0.1,"Gausman, Kevin"
592351,FB,99,210,47.1,
592351,SL,89,210,42.4,
592351,CH,16,210,7.6,
592351,CB,6,210,2.9,
592426,SL,382,782,48.8,
592426,FB,264,782,33.8,
592426,CB,126,782,16.1,
592426,CT,6,782,0.8,
592426,SI,3,782,0.4,
592426,CH,1,782,0.1,
592454,CH,886,1035,85.6,
592454,FB,145,1035,14.0,
592454,SL,4,1035,0.4,
592662,FB,1920,3749,51.2,"Ray, Robbie"
592662,SL,923,3749,24.6,"Ray, Robbie"
592662,CH,488,3749,13.0,"Ray, Robbie"
592662,CB,416,3749,11.1,"Ray, Robbie"
592662,SI,2,3749,0.1,"Ray, Robbie"
592773,FB,781,1402,55.7,
592773,SL,422,1402,30.1,
592773,SP,166,1402,11.8,
592773,SI,33,1402,2.4,
592779,FB,332,610,54.4,
592779,SL,87,610,14.3,
592779,SI,67,610,11.0,
592779,CH,66,610,10.8,
592779,CT,58,610,9.5,
592791,FB,895,2529,35.4,"Taillon, Jameson"
592791,CT,419,2529,16.6,"Taillon, Jameson"
592791,SL,394,2529,15.6,"Taillon, Jameson"
592791,CB,327,2529,12.9,"Taillon, Jameson"
592791,CH,298,2529,11.8,"Taillon, Jameson"
592791,SI,196,2529,7.8,"Taillon, Jameson"
592836,CT,705,2485,28.4,"Walker, Taijuan"
592836,SP,561,2485,22.6,"Walker, Taijuan"
592836,SI,512,2485,20.6,"Walker, Taijuan"
592836,SL,283,2485,11.4,"Walker, Taijuan"
592836,FB,238,2485,9.6,"Walker, Taijuan"
592836,CB,186,2485,7.5,"Walker, Taijuan"
592866,FB,613,1448,42.3,
592866,SL,525,1448,36.3,
592866,CH,186,1448,12.8,
592866,SI,124,1448,8.6,
593423,SL,188,708,26.6,
593423,FB,178,708,25.1,
593423,SP,146,708,20.6,
593423,SI,124,708,17.5,
593423,CT,72,708,10.2,
593576,SP,236,548,43.1,
593576,FB,221,548,40.3,
593576,SI,44,548,8.0,
593576,CH,31,548,5.7,
593576,SL,16,548,2.9,
593958,FB,1413,3141,45.0,"Rodriguez, Eduardo"
593958,CH,706,3141,22.5,"Rodriguez, Eduardo"
593958,CT,486,3141,15.5,"Rodriguez, Eduardo"
593958,SI,257,3141,8.2,"Rodriguez, Eduardo"
593958,CB,179,3141,5.7,"Rodriguez, Eduardo"
593958,SL,99,3141,3.2,"Rodriguez, Eduardo"
593958,OTHER,1,3141,0.0,"Rodriguez, Eduardo"
593974,SI,606,1409,43.0,
593974,CH,504,1409,35.8,
593974,SL,233,1409,16.5,
593974,FB,66,1409,4.7,
594580,SL,248,587,42.2,
594580,SI,171,587,29.1,
594580,FB,95,587,16.2,
594580,CH,73,587,12.4,
594798,FB,1451,3134,46.3,"deGrom, Jacob"
594798,SL,1134,3134,36.2,"deGrom, Jacob"
594798,CH,380,3134,12.1,"deGrom, Jacob"
594798,CB,162,3134,5.2,"deGrom, Jacob"
594798,SI,7,3134,0.2,"deGrom, Jacob"
594902,FB,238,719,33.1,
594902,SI,175,719,24.3,
594902,SL,141,719,19.6,
594902,CT,58,719,8.1,
594902,CH,56,719,7.8,
594902,CB,51,719,7.1,
595014,SL,316,651,48.5,
595014,SI,199,651,30.6,
595014,FB,71,651,10.9,
595014,CT,65,651,10.0,
595345,SL,765,1288,59.4,
595345,FB,514,1288,39.9,
595345,CT,7,1288,0.5,
595345,CH,1,1288,0.1,
595345,OTHER,1,1288,0.1,
595928,FB,291,545,53.4,
595928,CT,168,545,30.8,
595928,SL,49,545,9.0,
595928,CH,37,545,6.8,
596001,SL,539,1227,43.9,
596001,SI,316,1227,25.8,
596001,CH,251,1227,20.5,
596001,FB,121,1227,9.9,
596133,FB,737,1274,57.8,
596133,CH,391,1274,30.7,
596133,CT,130,1274,10.2,
596133,SL,16,1274,1.3,
596271,SI,110,276,39.9,
596271,SL,81,276,29.3,
596271,CH,60,276,21.7,
596271,FB,19,276,6.9,
596271,CT,4,276,1.4,
596271,CB,2,276,0.7,
596295,FB,340,999,34.0,
596295,CB,248,999,24.8,
596295,CH,164,999,16.4,
596295,SL,153,999,15.3,
596295,CT,46,999,4.6,
596295,SP,45,999,4.5,
596295,SI,3,999,0.3,
600917,FB,77,229,33.6,
600917,SL,49,229,21.4,
600917,CH,45,229,19.7,
600917,CT,32,229,14.0,
600917,SI,20,229,8.7,
600917,CB,6,229,2.6,
601713,FB,1513,3134,48.3,"Pivetta, Nick"
601713,CB,688,3134,22.0,"Pivetta, Nick"
601713,SL,580,3134,18.5,"Pivetta, Nick"
601713,CT,279,3134,8.9,"Pivetta, Nick"
601713,SI,69,3134,2.2,"Pivetta, Nick"
601713,SP,5,3134,0.2,"Pivetta, Nick"
605130,SL,685,1515,45.2,
605130,FB,300,1515,19.8,
605130,CB,291,1515,19.2,
605130,SI,236,1515,15.6,
605130,CH,1,1515,0.1,
605130,OTHER,2,1515,0.1,
605135,SI,1379,3362,41.0,"Bassitt, Chris"
605135,CB,592,3362,17.6,"Bassitt, Chris"
605135,CT,552,3362,16.4,"Bassitt, Chris"
605135,FB,316,3362,9.4,"Bassitt, Chris"
605135,SL,286,3362,8.5,"Bassitt, Chris"
605135,CH,136,3362,4.0,"Bassitt, Chris"
605135,SP,101,3362,3.0,"Bassitt, Chris"
605154,FB,225,459,49.0,
605154,SL,199,459,43.4,
605154,CH,31,459,6.8,
605154,CB,4,459,0.9,
605177,SI,250,614,40.7,
605177,SL,237,614,38.6,
605177,FB,123,614,20.0,
605177,CH,4,614,0.7,
605280,SI,1442,3394,42.5,"Holmes, Clay"
605280,SL,928,3394,27.3,"Holmes, Clay"
605280,CH,531,3394,15.6,"Holmes, Clay"
605280,CT,283,3394,8.3,"Holmes, Clay"
605280,FB,150,3394,4.4,"Holmes, Clay"
605280,CB,60,3394,1.8,"Holmes, Clay"
605288,SI,1074,2388,45.0,"Houser, Adrian"
605288,CH,401,2388,16.8,"Houser, Adrian"
605288,SL,359,2388,15.0,"Houser, Adrian"
605288,FB,284,2388,11.9,"Houser, Adrian"
605288,CB,270,2388,11.3,"Houser, Adrian"
605347,SI,107,387,27.6,
605347,FB,97,387,25.1,
605347,SL,80,387,20.7,
605347,CB,65,387,16.8,
605347,CH,37,387,9.6,
605347,OTHER,1,387,0.3,
605400,FB,631,2114,29.8,"Nola, Aaron"
605400,CB,621,2114,29.4,"Nola, Aaron"
605400,SI,387,2114,18.3,"Nola, Aaron"
605400,CH,308,2114,14.6,"Nola, Aaron"
605400,CT,167,2114,7.9,"Nola, Aaron"
605447,SL,532,893,59.6,
605447,FB,352,893,39.4,
605447,SP,9,893,1.0,
605452,FB,320,954,33.5,
605452,SI,280,954,29.4,
605452,SL,208,954,21.8,
605452,CH,72,954,7.5,
605452,CB,47,954,4.9,
605452,SP,27,954,2.8,
605463,FB,256,536,47.8,
605463,SP,155,536,28.9,
605463,SL,110,536,20.5,
605463,SI,15,536,2.8,
605483,FB,448,1028,43.6,
605483,CH,243,1028,23.6,
605483,CB,223,1028,21.7,
605483,SL,114,1028,11.1,
605488,FB,1475,3459,42.6,"Springs, Jeffrey"
605488,SL,959,3459,27.7,"Springs, Jeffrey"
605488,CH,837,3459,24.2,"Springs, Jeffrey"
605488,CT,188,3459,5.4,"Springs, Jeffrey"
605540,FB,472,1379,34.2,"Woodruff, Brandon"
605540,SI,376,1379,27.3,"Woodruff, Brandon"
605540,CH,257,1379,18.6,"Woodruff, Brandon"
605540,CT,201,1379,14.6,"Woodruff, Brandon"
605540,CB,56,1379,4.1,"Woodruff, Brandon"
605540,SL,17,1379,1.2,"Woodruff, Brandon"
606160,SP,511,1088,47.0,
606160,FB,442,1088,40.6,
606160,SL,82,1088,7.5,
606160,SI,53,1088,4.9,
606303,SL,280,600,46.7,
606303,FB,223,600,37.2,
606303,SI,86,600,14.3,
606303,CH,8,600,1.3,
606303,CT,3,600,0.5,
606965,CH,120,301,39.9,
606965,FB,71,301,23.6,
606965,SL,60,301,19.9,
606965,CT,45,301,15.0,
606965,SI,5,301,1.7,
606996,SL,427,945,45.2,
606996,SI,208,945,22.0,
606996,FB,125,945,13.2,
606996,CH,95,945,10.1,
606996,SP,90,945,9.5,
607067,FB,1273,3085,41.3,"Rea, Colin"
607067,SL,595,3085,19.3,"Rea, Colin"
607067,SP,404,3085,13.1,"Rea, Colin"
607067,SI,314,3085,10.2,"Rea, Colin"
607067,CB,272,3085,8.8,"Rea, Colin"
607067,CT,226,3085,7.3,"Rea, Colin"
607067,OTHER,1,3085,0.0,"Rea, Colin"
607074,FB,1343,3212,41.8,
607074,SL,912,3212,28.4,
607074,CH,519,3212,16.2,
607074,SI,310,3212,9.7,
607074,CB,123,3212,3.8,
607074,CT,5,3212,0.2,
607192,FB,707,2060,34.3,"Glasnow, Tyler"
607192,CB,498,2060,24.2,"Glasnow, Tyler"
607192,SI,438,2060,21.3,"Glasnow, Tyler"
607192,SL,417,2060,20.2,"Glasnow, Tyler"
607200,SI,911,2889,31.5,"Fedde, Erick"
607200,SL,814,2889,28.2,"Fedde, Erick"
607200,CT,794,2889,27.5,"Fedde, Erick"
607200,CH,344,2889,11.9,"Fedde, Erick"
607200,FB,26,2889,0.9,"Fedde, Erick"
607259,CH,653,3095,21.1,"Martinez, Nick"
607259,CT,633,3095,20.5,"Martinez, Nick"
607259,SI,607,3095,19.6,"Martinez, Nick"
607259,FB,587,3095,19.0,"Martinez, Nick"
607259,CB,319,3095,10.3,"Martinez, Nick"
607259,SL,295,3095,9.5,"Martinez, Nick"
607259,OTHER,1,3095,0.0,"Martinez, Nick"
607455,SL,635,1311,48.4,
607455,FB,327,1311,24.9,
607455,SI,302,1311,23.0,
607455,CH,47,1311,3.6,
607481,SI,398,1136,35.0,
607481,CB,378,1136,33.3,
607481,SL,201,1136,17.7,
607481,FB,133,1136,11.7,
607481,CT,26,1136,2.3,
607536,FB,942,2909,32.4,"Freeland, Kyle"
607536,CB,757,2909,26.0,"Freeland, Kyle"
607536,CT,445,2909,15.3,"Freeland, Kyle"
607536,SL,386,2909,13.3,"Freeland, Kyle"
607536,CH,214,2909,7.4,"Freeland, Kyle"
607536,SI,165,2909,5.7,"Freeland, Kyle"
607625,CB,662,3037,21.8,"Lugo, Seth"
607625,FB,611,3037,20.1,"Lugo, Seth"
607625,SL,562,3037,18.5,"Lugo, Seth"
607625,SI,482,3037,15.9,"Lugo, Seth"
607625,CT,430,3037,14.2,"Lugo, Seth"
607625,CH,277,3037,9.1,"Lugo, Seth"
607625,SP,13,3037,0.4,"Lugo, Seth"
608032,FB,573,1070,53.6,
608032,SL,328,1070,30.7,
608032,CH,169,1070,15.8,
608331,CT,1030,3785,27.2,"Fried, Max"
608331,SI,704,3785,18.6,"Fried, Max"
608331,CB,634,3785,16.8,"Fried, Max"
608331,FB,494,3785,13.1,"Fried, Max"
608331,SL,482,3785,12.7,"Fried, Max"
608331,CH,441,3785,11.7,"Fried, Max"
608334,CH,130,461,28.2,
608334,FB,114,461,24.7,
608334,SI,106,461,23.0,
608334,SL,82,461,17.8,
608334,CB,28,461,6.1,
608334,OTHER,1,461,0.2,
608337,FB,1145,2368,48.4,
608337,SL,606,2368,25.6,
608337,CH,534,2368,22.6,
608337,CB,82,2368,3.5,
608337,OTHER,1,2368,0.0,
608371,SL,205,450,45.6,
608371,FB,203,450,45.1,
608371,CB,24,450,5.3,
608371,SI,9,450,2.0,
608371,SP,5,450,1.1,
608371,CT,4,450,0.9,
608372,SP,720,3079,23.4,"Sugano, Tomoyuki"
608372,FB,620,3079,20.1,"Sugano, Tomoyuki"
608372,SL,617,3079,20.0,"Sugano, Tomoyuki"
608372,SI,473,3079,15.4,"Sugano, Tomoyuki"
608372,CT,378,3079,12.3,"Sugano, Tomoyuki"
608372,CB,271,3079,8.8,"Sugano, Tomoyuki"
608379,FB,872,3226,27.0,"Wacha, Michael"
608379,CH,814,3226,25.2,"Wacha, Michael"
608379,CT,491,3226,15.2,"Wacha, Michael"
608379,SI,421,3226,13.1,"Wacha, Michael"
608379,SL,372,3226,11.5,"Wacha, Michael"
608379,CB,256,3226,7.9,"Wacha, Michael"
608566,FB,916,2586,35.4,"Márquez, Germán"
608566,CB,866,2586,33.5,"Márquez, Germán"
608566,SI,477,2586,18.4,"Márquez, Germán"
608566,SL,262,2586,10.1,"Márquez, Germán"
608566,CH,65,2586,2.5,"Márquez, Germán"
608650,FB,398,874,45.5,
608650,CH,256,874,29.3,
608650,CT,133,874,15.2,
608650,CB,44,874,5.0,
608650,SI,23,874,2.6,
608650,SL,20,874,2.3,
608665,SI,128,324,39.5,
608665,SL,71,324,21.9,
608665,CH,66,324,20.4,
608665,FB,52,324,16.0,
608665,CB,7,324,2.2,
608717,FB,166,411,40.4,
608717,CB,86,411,20.9,
608717,CH,75,411,18.2,
608717,SL,73,411,17.8,
608717,SI,11,411,2.7,
608718,FB,565,1456,38.8,
608718,CH,356,1456,24.5,
608718,SI,347,1456,23.8,
608718,SL,188,1456,12.9,
614179,FB,115,302,38.1,
614179,CB,92,302,30.5,
614179,SI,47,302,15.6,
614179,CH,46,302,15.2,
614179,SL,2,302,0.7,
615698,SI,489,2182,22.4,
615698,CT,469,2182,21.5,
615698,SP,460,2182,21.1,
615698,FB,347,2182,15.9,
615698,CB,240,2182,11.0,
615698,SL,171,2182,7.8,
615698,CH,6,2182,0.3,
620454,SL,237,543,43.6,
620454,SI,211,543,38.9,
620454,FB,81,543,14.9,
620454,CH,14,543,2.6,
621051,SL,568,974,58.3,
621051,FB,325,974,33.4,
621051,CH,71,974,7.3,
621051,CT,10,974,1.0,
621053,FB,381,990,38.5,
621053,SL,314,990,31.7,
621053,SI,147,990,14.8,
621053,CT,108,990,10.9,
621053,CH,40,990,4.0,
621107,CT,256,1201,21.3,
621107,SI,219,1201,18.2,
621107,CH,206,1201,17.2,
621107,CB,197,1201,16.4,
621107,SL,167,1201,13.9,
621107,FB,156,1201,13.0,
621111,FB,627,2652,23.6,"Buehler, Walker"
621111,SL,560,2652,21.1,"Buehler, Walker"
621111,CT,489,2652,18.4,"Buehler, Walker"
621111,SI,418,2652,15.8,"Buehler, Walker"
621111,CB,357,2652,13.5,"Buehler, Walker"
621111,CH,201,2652,7.6,"Buehler, Walker"
621112,SI,273,870,31.4,
621112,CT,254,870,29.2,
621112,SL,125,870,14.4,
621112,CB,109,870,12.5,
621112,CH,82,870,9.4,
621112,FB,27,870,3.1,
621121,SL,454,1683,27.0,"McCullers Jr., Lance"
621121,SI,423,1683,25.1,"McCullers Jr., Lance"
621121,CB,268,1683,15.9,"McCullers Jr., Lance"
621121,CH,258,1683,15.3,"McCullers Jr., Lance"
621121,CT,199,1683,11.8,"McCullers Jr., Lance"
621121,FB,81,1683,4.8,"McCullers Jr., Lance"
621139,SP,204,381,53.5,
621139,FB,133,381,34.9,
621139,CT,42,381,11.0,
621139,SL,2,381,0.5,
621199,SI,194,447,43.4,
621199,CT,115,447,25.7,
621199,SL,87,447,19.5,
621199,SP,38,447,8.5,
621199,FB,13,447,2.9,
621237,SI,434,684,63.5,
621237,CT,212,684,31.0,
621237,CB,25,684,3.7,
621237,FB,13,684,1.9,
621242,FB,631,1199,52.6,
621242,SL,567,1199,47.3,
621242,CH,1,1199,0.1,
621244,SI,867,2584,33.6,
621244,SL,670,2584,25.9,
621244,FB,463,2584,17.9,
621244,CH,434,2584,16.8,
621244,CT,149,2584,5.8,
621244,OTHER,1,2584,0.0,
621363,FB,175,244,71.7,
621363,SL,69,244,28.3,
621366,SL,426,768,55.5,
621366,SI,211,768,27.5,
621366,SP,129,768,16.8,
621366,CT,2,768,0.3,
621381,FB,458,1220,37.5,
621381,SL,384,1220,31.5,
621381,SI,179,1220,14.7,
621381,CT,160,1220,13.1,
621381,CH,39,1220,3.2,
621383,SL,801,1344,59.6,
621383,FB,283,1344,21.1,
621383,SI,178,1344,13.2,
621383,CH,82,1344,6.1,
622491,FB,1677,3649,46.0,"Castillo, Luis"
622491,SL,784,3649,21.5,"Castillo, Luis"
622491,SI,780,3649,21.4,"Castillo, Luis"
622491,CH,407,3649,11.2,"Castillo, Luis"
622491,CT,1,3649,0.0,"Castillo, Luis"
622503,CH,203,534,38.0,
622503,SI,135,534,25.3,
622503,CB,83,534,15.5,
622503,FB,83,534,15.5,
622503,SL,30,534,5.6,
622554,FB,567,1359,41.7,
622554,SL,318,1359,23.4,
622554,SP,214,1359,15.7,
622554,SI,195,1359,14.3,
622554,CB,64,1359,4.7,
