pitcher,pitcher_name,year,num_pitches,pl_plv,pl_pla,pl_plv_FF,pl_plv_SI,pl_plv_SL,pl_plv_ST,pl_plv_CH,pl_plv_CU,pl_plv_FC,pl_plv_FS
669093,"Estrada, Jeremiah",2024,1098,5.285662225530478,2.230204164272897,1.8360624302972646,,2.749015283218201,,,,,3.769015714025871
656945,"Scott, Tanner",2024,1265,5.284654413318144,2.318600305063665,2.40673972615053,,2.0798680316830698,,,,,
643377,"Jax, Griffin",2024,1085,5.267972116276015,2.318492953906932,2.2476309250203688,3.0424085635804623,,2.39189937942788,2.5580902136972643,2.142407580119242,,
661403,"Clase, Emmanuel",2024,1106,5.263525820283311,2.215517871166944,,1.5347302173528181,1.9772359958271917,,,,1.5703878363777957,
643511,"Rogers, Tyler",2024,1009,5.2545131823879565,1.9044836097110425,,2.851574994710731,1.2321255776870377,,,,,
573204,"Thielbar, Caleb",2024,887,5.2531864354952145,2.3131086859509455,2.7530897705518704,,,2.269155826614618,,2.40822441864589,,
623352,"Hader, Josh",2024,1235,5.231117305085429,2.670509469608662,,1.7947891224211183,3.2094039624606605,,9.498129698356387,,,
687330,"Kelly, Kevin",2024,1052,5.224830049746356,2.1786381859939636,4.831687595503874,2.2568540044240546,,1.9560308275363454,,,2.9571317918718236,
669211,"Akin, Keegan",2024,1254,5.224701758454445,2.4530741508614167,2.279461929950317,,2.525993758542615,,3.7363203148543107,,,
663460,"Bubic, Kris",2024,544,5.219732237475952,2.4166730585980014,2.408902441582452,2.529903083834583,,2.3810757640950797,3.4877772546926256,,,
666974,"Cano, Yennier",2024,1028,5.215460527562308,2.3938176389799324,4.385506072606452,2.4172447839795126,3.2139823561573557,,0.9900283366609681,,,
621381,"Strahm, Matt",2024,1065,5.214597835976123,2.5586384990218454,1.897961561873231,2.3099923722514077,2.9921660709260554,,,,3.4786659891717324,
673380,"Núñez, Dedniel",2024,521,5.212839429227733,2.3918538759992085,1.6651490917928218,,3.3315300311958556,,3.4872797968235023,,,
663574,"Santillan, Tony",2024,503,5.209145236785274,2.5195197357437893,2.2461699559771198,,2.9211440059455676,,,,,
640462,"Puk, A.J.",2024,1173,5.2066109503368985,2.588855036718404,2.610717527871044,2.724136186704806,2.068182201217697,2.6843880775819677,4.31725685632175,,,3.4081235760230406
623149,"Sewald, Paul",2024,661,5.203115667710944,2.553744328417606,2.7033638227111396,,,2.3468884520084448,,,,
671922,"Smith, Cade",2024,1329,5.199598642680041,2.541179016603354,2.390594969121251,,,3.1843473311132318,,,,3.75036673312359
554340,"García, Yimi",2024,661,5.199120637195551,2.6260127414109933,2.0432443548321437,2.52855961917035,3.6052679318813876,1.9803666940482145,5.530190224558588,2.8506416994764088,,
663158,"Suarez, Robert",2024,1040,5.197622072917013,2.654072341601065,2.2422731515605854,2.5562622972012523,,,4.2374749777102885,,,
668338,"Miller, Tyson",2024,945,5.194649449432997,2.5769545230610964,3.4730178417663105,3.9710656469612484,,1.5677348581086559,4.385757889276368,2.406109973399589,,
674003,"Bradford, Cody",2024,1175,5.193707690764196,2.467412247908862,3.3556792647371108,,0.9483305403305469,,1.758902815871263,2.6874236168004195,,
684007,"Imanaga, Shota",2024,2590,5.191086262501741,2.6300195460574836,2.26389816251352,3.8644802358214356,,2.3717135755581698,4.197864160142368,3.0091353721995233,2.5357165820987593,3.8398429334008206
657746,"Ryan, Joe",2024,2256,5.188971841850431,2.5388954608462377,2.4441411021378023,2.2615837341607676,2.370571635320177,2.437486385027043,,,,4.1250198846359325
601713,"Pivetta, Nick",2024,2465,5.188130769151449,2.597804313403927,2.571995971119991,,2.482598975166921,2.32398251316301,,3.1564878111183763,3.3730982132583005,
689147,"Kerkering, Orion",2024,1149,5.1832250458199525,2.536759190373453,3.129990054343816,3.1756006025122776,,2.297082755491168,,,,
592332,"Gausman, Kevin",2024,2920,5.176997678471978,2.6570542924937364,2.3753799126453163,4.3964504375884275,4.102060638761149,,,,,3.2406521848115393
641941,"Pagán, Emilio",2024,593,5.176899387874709,2.6203220074119686,2.447802831989687,,,,,,2.1060520077628464,3.6129470609349372
680885,"Schwellenbach, Spencer",2024,1887,5.175236697116164,2.5361662073755458,2.9453576624634454,3.356317015040581,1.8011840014056766,,,3.127067451783933,2.2018331833409537,3.1495235368956767
693433,"Woo, Bryan",2024,1716,5.175207515256902,2.5122350294799194,2.386774353307599,2.4189366562879098,2.5177013394427643,3.4881903252457285,3.857157123442134,,,
670970,"Morejon, Adrian",2024,1119,5.172739344584316,2.5883911824414474,2.640100604981921,2.15122529388206,2.2239665390023493,2.334578131846609,,,,
664854,"Helsley, Ryan",2024,963,5.170884917157932,2.5944878870415256,2.6927563039204863,,2.597616797821356,,,3.4966530593152534,,
669276,"Lee, Dylan",2024,877,5.1700334438934865,2.5695578135764343,2.6652688679508394,,2.683356305481407,,2.9978351356140838,,,
695243,"Miller, Mason",2024,1037,5.169859126822359,2.8137794289176723,2.3272545264134994,,3.2483993083830054,,3.232843664559983,,,
579328,"Kikuchi, Yusei",2024,3006,5.1674527657480205,2.7234170228585723,2.302111256574447,,2.629797505164884,,5.1017504158934575,2.9369113995251546,,
681911,"Vesia, Alex",2024,1227,5.166142996779703,2.842293115565912,2.552407722178115,,2.7359293870829067,,4.66507464593354,,,
694973,"Skenes, Paul",2024,2125,5.164518153605075,2.6275950115456492,3.3139346101628924,,3.505333874121103,2.4955241309155483,3.105494567577587,3.8173882463125466,,2.348699897733354
640451,"Harvey, Hunter",2024,918,5.1644365446839195,2.718403199726871,2.352510147131797,,4.256239405565623,,,4.5376788104357715,,3.513325660107112
669711,"Weissert, Greg",2024,1072,5.162807630267888,2.5186455172867417,2.0892194066726706,2.7322179271387466,3.0635477714427175,2.6295208596616053,3.997492627152223,,2.980409832409288,
445276,"Jansen, Kenley",2024,812,5.1622956776288245,2.5730771269022634,,3.324278174273278,2.3322902861977415,2.476052644459232,,,1.7804050060511116,
650911,"Sánchez, Cristopher",2024,2957,5.1619947304426805,2.5829338870491787,,2.942678228334012,2.691337066612258,,2.3085307325644955,,5.330825879152993,
681402,"Varland, Gus",2024,455,5.1581109718149065,2.622932028521986,2.368199971250746,,2.8658759592169094,,6.449915510874275,,,
683003,"Jones, Jared",2024,1995,5.157659114118388,2.72595953588345,2.5125780772852657,,2.6398049828702543,,3.9977891446477045,3.8416074740995523,,
628452,"Iglesias, Raisel",2024,928,5.156878559037684,2.666602526402901,2.997977942240883,3.3749134386855104,2.3558192405750873,,2.4228812037220475,,,
808967,"Yamamoto, Yoshinobu",2024,1751,5.156022602396313,2.693393305784099,3.16007035639935,3.929070436088889,2.508194226375503,,,2.7430891093367826,3.2505524265256582,2.7100961432681903
656629,"Kopech, Michael",2024,1314,5.15559076425233,2.943714247143384,2.3592602916330634,,4.110495370558663,,,,2.9358622706052806,
683769,"Gaddis, Hunter",2024,1244,5.1554452359638825,2.659808447158853,3.0406728226182302,,2.173762814557765,,3.843336633571832,,,
677053,"Nardi, Andrew",2024,988,5.154090115343772,2.971103999946239,3.0771163436684006,,2.2085155159351526,,2.4257357620628746,,,
455119,"Martin, Chris",2024,673,5.150181083199116,2.6253993084724083,2.915962298641727,3.2322842179297933,,,,,1.9708538834944846,2.578577887037447
623465,"Phillips, Evan",2024,1031,5.149775239495664,2.7072960778912707,2.491574871705877,3.5330984568758055,,2.3800254332675337,,,3.3376993210081043,
519008,"McFarland, T.J.",2024,836,5.149210430660644,2.5241701188722816,,2.697691371839726,,2.634133891512107,3.281111820415246,,,
641302,"Alexander, Tyler",2024,1668,5.1468201604848405,2.683608102975783,2.8466018957966046,2.085616074291412,,1.6816758132325607,3.248203384577021,,2.6168263099725824,
663423,"Thornton, Trent",2024,1139,5.146782135959843,2.7128529298080277,2.2291822811583337,4.262275742883123,3.1628721577406242,2.085419924471868,3.1270830339321893,3.4208487647858696,3.82071433046341,
663978,"Paddack, Chris",2024,1460,5.145275722076067,2.72767746803049,2.811929720049733,,3.536578415791757,,1.9023110741487272,3.7789261699241656,,
656876,"Rasmussen, Drew",2024,459,5.144817763158067,2.8024474617257367,1.776058953669395,2.9981268414436695,,1.8985519301261355,,,3.00979514146872,
676395,"Garcia, Robert",2024,998,5.142837474495515,2.675905729671901,2.697496258711011,,2.5431466076977696,,3.2895898603272915,,,
676254,"Walker, Ryan",2024,1235,5.136966365593178,2.6184845280836466,,3.1207667029346577,2.173287600815005,,,,,
547973,"Chapman, Aroldis",2024,1148,5.136440291724178,2.813702527324483,3.7542366109322245,0.8904861423022439,3.5855512182901617,,,,,2.726967240503603
656730,"Megill, Trevor",2024,696,5.134447477920257,2.8638731168862606,2.5616440211616673,,,,,3.602204766194772,,
678606,"Ferrer, Jose A.",2024,476,5.133571184500465,2.5720547597131693,3.08354899711901,1.8235481796309525,6.377055816054778,,3.8052718977313447,,,
656557,"Houck, Tanner",2024,2735,5.1318936419439956,2.676220156629066,,3.066635956697912,,2.7219510782705054,,,3.6673667849223524,3.4559420070249196
676979,"Crochet, Garrett",2024,2395,5.13165387993684,2.8642553079429316,2.662086731099418,2.7987974478906548,,2.5345402629274734,3.3927233352889363,,2.2394339255501166,
573009,"Mantiply, Joe",2024,887,5.130783094273395,2.717767709735014,4.837624139752794,2.3139666042272697,,,3.3079039136487225,3.0932903581567093,,
640448,"Finnegan, Kyle",2024,1082,5.129177037011104,2.7352755416006493,2.6534541871936366,,3.0489173073042153,,,,,3.9957696493409642
669302,"Gilbert, Logan",2024,3041,5.127081030846803,2.785680905247813,3.1781868077826285,4.494393328837679,2.0709248841451817,,,3.443592159100188,2.5330586000275748,3.908819749234631
608032,"Estévez, Carlos",2024,883,5.126538029355427,2.7763003802112687,2.8060809518908467,,2.4855588475035884,,4.1767378611008255,,,
677161,"Kelly, Zack",2024,955,5.1246636955337115,2.792776748701171,3.6615564509950875,,,1.7341926892842636,2.6115506481527326,,2.750633469461949,
518489,"Brasier, Ryan",2024,533,5.123737746554247,2.7350031710804226,2.6023200242860316,3.4792004063750284,2.698158316701141,,,,2.3598521025309136,
571948,"Milner, Hoby",2024,1043,5.123219449505392,2.778064717655199,3.022850034347675,2.801625201622029,,2.5847889204305776,3.3824456436924883,,,
669721,"Daniel, Davis",2024,508,5.121604020521251,2.760238713084841,3.2151281399950555,,2.0505653791276366,,2.6484601521388473,4.456312665639427,,3.22440066441934
552640,"Kittredge, Andrew",2024,1063,5.120233422081309,2.72183971172117,3.23549972368137,3.4261812449471485,2.174089469134323,,,,,
453286,"Scherzer, Max",2024,669,5.11738281561758,2.8449625458707137,3.063801400944481,,2.53005208939539,,3.296231154204955,3.144025355917945,1.5633554634477669,
641729,"Jiménez, Joe",2024,1104,5.111608454453509,2.838471005054622,3.125340271281912,,2.687387870026857,,2.753956908052828,,,
643338,"Green, Chad",2024,896,5.109288549085573,2.978674347333861,2.4557504568524458,,3.4293412926572486,,,,,
676684,"Vest, Will",2024,1295,5.108470141315455,2.865876530764954,2.449366439838407,3.27051979743959,3.3470313949899904,,4.156530778653515,,,
694297,"Pfaadt, Brandon",2024,2863,5.1079920581797476,2.776789015283568,3.1093833085938947,3.5077721405777957,,2.080543024726614,3.4576506096196713,3.1409702309996455,,3.8432797619672545
