batter,player_name,team,primary_position,xfp_rh3_per_pa,expected_total_fp_remaining,playoff_ros,signal
670541,Yordan Alvarez,HOU,OF,0.74883925808506,349.0,104.7,add
592450,Aaron Judge,NYY,OF,0.724592581029892,310.1,93.0,add
608070,José Ramírez,CLE,3B,0.6719612435547293,303.7,91.1,add
621566,Matt Olson,ATL,1B,0.6494235121316134,302.6,90.8,add
686948,Drake Baldwin,ATL,C,0.6136419070181512,291.5,87.4,add
660271,Shohei Ohtani,LAD,TWP,0.6429853045180209,290.6,87.2,hold
545361,Mike Trout,LAA,OF,0.5900592897126778,275.0,82.5,add
677951,Bobby Witt Jr.,KC,SS,0.5959633652389399,270.6,81.2,hold
669127,Shea Langeliers,ATH,C,0.6253559394064206,269.5,80.8,add
608324,Alex Bregman,CHC,3B,0.5756214437957634,264.8,79.4,hold
663538,Nico Hoerner,CHC,2B,0.5891222011071855,264.5,79.4,add
695578,James Wood,WSH,OF,0.53282833498375,264.3,79.3,hold
656941,Kyle Schwarber,PHI,OF,0.5783257016534017,261.4,78.4,add
691406,Junior Caminero,TB,3B,0.6152154678326482,259.6,77.9,add
701762,Nick Kurtz,ATH,1B,0.5708468825257866,259.2,77.8,hold
671056,Iván Herrera,STL,C,0.5570667688152906,256.3,76.9,hold
518692,Freddie Freeman,LAD,1B,0.6140607372827004,255.4,76.6,hold
641355,Cody Bellinger,NYY,OF,0.6206116523875508,252.6,75.8,add
701398,Sal Stewart,CIN,1B,0.5749974529973191,251.3,75.4,hold
665489,Vladimir Guerrero Jr.,TOR,1B,0.5839841278101002,249.9,75.0,hold
660670,Ronald Acuña Jr.,ATL,OF,0.554821424006578,249.1,74.7,hold
547180,Bryce Harper,PHI,1B,0.5817952534333465,249.0,74.7,hold
676475,Alec Burleson,STL,1B,0.5731211311259887,248.7,74.6,hold
621439,Byron Buxton,MIN,OF,0.5714870979772213,248.0,74.4,add
677594,Julio Rodríguez,SEA,OF,0.5484590258703692,247.9,74.4,hold
645277,Ozzie Albies,ATL,2B,0.5548938227137664,247.5,74.2,hold
700250,Ben Rice,NYY,1B,0.6370385947003379,246.5,74.0,hold
650490,Yandy Díaz,TB,1B,0.6172501851473853,245.7,73.7,hold
572233,Christian Walker,HOU,1B,0.5752982379290388,244.5,73.4,hold
661388,William Contreras,MIL,C,0.5961685221621487,242.6,72.8,hold
668930,Brice Turang,MIL,2B,0.5832804898914082,242.6,72.8,hold
621493,Taylor Ward,BAL,OF,0.526760206831402,242.3,72.7,hold
607043,Brandon Nimmo,TEX,OF,0.555691159494073,241.2,72.4,hold
663656,Kyle Tucker,LAD,OF,0.5570856400255307,240.1,72.0,hold
669364,Xavier Edwards,MIA,2B,0.5594914262122799,239.5,71.8,hold
624413,Pete Alonso,BAL,1B,0.5509242884409511,239.1,71.7,hold
805808,Kevin McGonigle,DET,SS,0.5348467865642399,238.5,71.6,hold
683002,Gunnar Henderson,BAL,SS,0.5263751774112426,237.9,71.4,hold
682829,Elly De La Cruz,CIN,SS,0.5292478479336618,234.5,70.4,hold
666182,Bo Bichette,NYM,3B,0.5264494825226809,233.2,70.0,hold
514888,Jose Altuve,HOU,2B,0.5487205646403318,233.2,70.0,hold
802139,JJ Wetherholt,STL,2B,0.5040151058478096,233.4,70.0,hold
805779,Jacob Wilson,ATH,SS,0.5468844007362752,232.4,69.7,hold
606466,Ketel Marte,AZ,2B,0.5783962410381831,231.9,69.6,hold
695734,Daylen Lile,WSH,OF,0.5182423008164517,231.1,69.3,hold
682928,CJ Abrams,WSH,SS,0.5452749578115847,230.1,69.0,hold
607208,Trea Turner,PHI,SS,0.5251064100749211,229.5,68.8,hold
571970,Max Muncy,LAD,3B,0.6093768561612665,228.5,68.6,add
664023,Ian Happ,CHC,OF,0.5259198695513005,228.2,68.5,hold
677800,Wilyer Abreu,BOS,OF,0.5440330858675482,226.3,67.9,hold
686469,Vinnie Pasquantino,KC,1B,0.5560412525110423,226.3,67.9,hold
678246,Miguel Vargas,CWS,3B,0.5279576070471523,226.0,67.8,hold
800050,Chase DeLauter,CLE,OF,0.5885691756562769,226.0,67.8,add
608369,Corey Seager,TEX,SS,0.5350176398788107,225.8,67.7,hold
656811,Ryan O'Hearn,PIT,OF,0.5386171426445933,222.4,66.7,hold
808959,Munetaka Murakami,CWS,1B,0.5046735317727873,222.1,66.6,hold
647304,Josh Naylor,SEA,1B,0.5389602162739835,221.0,66.3,hold
665833,Oneil Cruz,PIT,OF,0.4902764019339366,220.1,66.0,hold
691023,Jordan Walker,STL,OF,0.5232261084015091,219.2,65.8,hold
695657,Colson Montgomery,CWS,SS,0.5261789698513641,218.9,65.7,hold
807712,Luke Keaschall,MIN,2B,0.515033785912431,218.9,65.7,hold
676391,Ernie Clement,TOR,2B,0.5270674432248936,216.1,64.8,hold
668804,Bryan Reynolds,PIT,OF,0.4676800036610693,215.1,64.5,hold
666018,Jonathan Aranda,TB,1B,0.5088415168544894,214.7,64.4,hold
575929,Willson Contreras,BOS,1B,0.511953384676577,214.5,64.4,hold
672640,Otto Lopez,MIA,SS,0.5147993967197251,214.2,64.3,hold
668227,Randy Arozarena,SEA,OF,0.4891645039761612,212.3,63.7,hold
593428,Xander Bogaerts,SD,SS,0.5356152648900367,211.6,63.5,hold
672580,Maikel Garcia,KC,3B,0.5085178251286557,211.5,63.4,hold
691016,Tyler Soderstrom,ATH,OF,0.519149093782388,211.3,63.4,hold
805300,Jakob Marsee,MIA,OF,0.4706697455719775,209.9,63.0,hold
682998,Corbin Carroll,AZ,OF,0.5489585530942738,209.2,62.8,hold
681624,Andy Pages,LAD,OF,0.5218029030332164,209.2,62.8,hold
687263,Zach Neto,LAA,SS,0.4346612713787006,209.1,62.7,drop
681198,TJ Rumfield,COL,1B,0.5011128906530782,208.5,62.6,hold
650333,Luis Arraez,SF,2B,0.5182100367838659,207.8,62.3,hold
663728,Cal Raleigh,SEA,C,0.4778072112193283,207.4,62.2,hold
672695,Geraldo Perdomo,AZ,SS,0.5670216584154543,207.5,62.2,hold
621043,Carlos Correa,HOU,SS,0.5121365413649182,206.9,62.1,hold
664040,Brandon Lowe,PIT,2B,0.5183083403074303,206.3,61.9,hold
671739,Michael Harris II,ATL,OF,0.6133487644997282,206.1,61.8,add
701538,Jackson Merrill,SD,OF,0.5037081930404443,202.0,60.6,hold
592518,Manny Machado,SD,3B,0.525121728165365,201.6,60.5,hold
682985,Riley Greene,DET,OF,0.4699597486810054,201.1,60.3,hold
696100,Hunter Goodman,COL,C,0.508140776351737,200.7,60.2,hold
680757,Steven Kwan,CLE,OF,0.4672084946823236,200.0,60.0,hold
