player_name,bucket,position,team,rank,rate,vol,games,avail,il_substituted,po_fp
Corbin Carroll,H,RF,AZ,8,0.6836354669947524,3.8317,31,1.0,False,81.2
Aaron Judge,H,RF,NYY,7,0.7088430071566009,3.6708437499999995,32,0.9705882352941176,True,80.8
Elly De La Cruz,H,SS,CIN,38,0.5989260507649703,3.9906,31,1.0,False,74.1
Drew Rasmussen,SP,SP,TB,15,13.918162454608384,0.1664,32,1.0,False,74.1
Max Fried,SP,SP,NYY,27,13.006185766833422,0.1756,32,1.0,False,73.1
Emilio Pagan,RP,RP,CIN,38,,,31,1.0,False,68.8
Jhoan Duran,RP,RP,PHI,5,,,31,1.0,False,68.5
Jackson Merrill,H,CF,SD,34,0.6062268806962715,3.6058,31,1.0,False,67.8
Pete Alonso,H,1B,BAL,31,0.6075580577281423,3.5968,31,1.0,False,67.7
Michael Harris II,H,CF,ATL,22,0.6192512039921108,3.4954,31,1.0,False,67.1
Wyatt Langford,H,LF,TEX,52,0.5724690173612105,3.7522,31,1.0,False,66.6
Shota Imanaga,SP,SP,CHC,35,12.550516429802038,0.1703,31,1.0,False,66.3
Eury Perez,SP,SP,MIA,21,13.241986955659698,0.1576,31,1.0,False,64.7
Logan Henderson,SP,SP,MIL,32,12.777515353202244,0.1623,31,1.0,False,64.3
Luis Arraez,H,1B,PHI,55,0.5688515965355443,3.5704,31,1.0,False,63.0
Nick Pivetta,SP,SP,SD,37,12.498739391917184,0.15863580246913578,31,1.0,True,61.5
Vladimir Guerrero Jr.,H,1B,TOR,43,0.5833765443304144,3.4865,30,1.0,False,61.0
Parker Messick,SP,SP,CLE,41,12.4029875837616,0.1578,31,1.0,False,60.7
Luis Garcia Jr.,H,2B,NYY,11,0.650147300501167,2.9135,32,1.0,False,60.6
Hunter Goodman,H,C,COL,59,0.5665841323059059,3.2875,32,1.0,False,59.6
Jose Soriano,SP,SP,TOR,43,12.318030335759182,0.1548,30,1.0,False,57.2
Jordan Walker,H,RF,STL,131,0.511262131722416,3.5924,30,1.0,False,55.1
Hunter Greene,SP,SP,CIN,36,12.53322793696056,0.13304938271604938,31,1.0,True,51.7
Tyler Glasnow,SP,SP,LAD,16,13.811497172115766,0.11258024691358023,31,1.0,True,48.2
Luke Weaver,RP,RP,PIT,23,,,30,1.0,False,46.6
Max Muncy,H,3B,LAD,76,0.5499728101092926,2.5801,31,1.0,False,44.0
Jacob Latz,RP,RP,TEX,8,,,31,1.0,False,42.1
Ezequiel Duran,H,SS,TEX,313,0.4295422738485175,2.9739,31,1.0,False,39.6
