rank,player_name,team,pos,own,playoff_fp,pg,pa_tg,fp_pa,slot
8,Corbin Carroll,AZ,OF,MINE,66.20201891219641,24,4.0372,0.6832501373909765,2.2845
36,Elly De La Cruz,CIN,SS,MINE,60.84229247045437,25,4.0459,0.6015204772283484,2.051
22,Jackson Merrill,SD,OF,MINE,57.62809821094765,25,3.6813,0.6261711700860854,3.6
24,Pete Alonso,BAL,1B,MINE,57.443122708563486,25,3.6971,0.6214938487848691,3.4118
27,Michael Harris II,ATL,OF,MINE,55.22106209785572,25,3.5822,0.6166161810938052,4.5429
59,Luis Arraez,PHI,2B,MINE,53.74967208963258,25,3.7854,0.5679682156668524,2.1261
62,Wyatt Langford,TEX,OF,MINE,53.61544341987578,25,3.8123,0.5625521959958637,2.0896
91,Bo Bichette,NYM,3B,FA,51.42853788463175,25,3.8169,0.5389560940515261,2.3846
130,Jonathan Aranda,TB,1B,FA,48.603776084810576,26,3.6658,0.5099503527911903,2.4865
45,Vladimir Guerrero Jr.,TOR,1B,MINE,48.58769216539381,24,3.4567,0.5856704873312915,2.7
44,Bryson Stott,PHI,2B,MINE,48.31865318806895,25,3.2615,0.5925942442197634,6.1852
11,Luis García Jr.,NYY,1B,MINE,48.12576942935001,25,2.988,0.6442539414906293,2.9551
106,Chandler Simpson,TB,OF,FA,47.695537759630966,26,3.4904,0.5255683474632725,4.0865
58,Hunter Goodman,COL,C,MINE,47.39241798935702,25,3.3355,0.5683395951354462,3.3204
64,Caleb Durbin,BOS,3B,FA,47.11834885798369,25,3.3605,0.5608492647877839,6.4434
76,Trent Grisham,NYY,OF,FA,46.62497237905435,25,3.3968,0.5490458358343658,2.0581
141,Nolan Schanuel,LAA,1B,FA,45.750798696071364,25,3.6299,0.5041549210289139,3.6146
166,Jarren Duran,BOS,OF,FA,44.690387116075435,25,3.665,0.4877532018125559,3.8476
138,Colson Montgomery,CWS,SS,FA,44.533998167344386,26,3.3874,0.5056521471805513,4.1852
98,Alec Bohm,PHI,3B,FA,44.24702967232886,25,3.3263,0.5320870597640485,4.991
122,Jose Altuve,HOU,2B,FA,43.96474067947469,25,3.4301,0.5126933987869122,3.2021
126,Jordan Walker,STL,OF,MINE,43.81328494070815,24,3.567,0.5117896100914417,3.6754
65,Ryan Jeffers,MIN,C,FA,42.660342337354344,25,3.0446,0.5604722109617598,3.3396
112,Kody Clemens,MIN,1B,FA,42.05778133480813,25,3.2423,0.5188635392753062,4.0816
82,Daulton Varsho,HOU,OF,FA,41.3508862401596,25,3.0392,0.5442338278515346,4.8351
201,Willy Adames,SF,SS,FA,41.29122044901567,25,3.4705,0.4759109113847073,4.1754
143,Brandon Marsh,PHI,OF,FA,40.4244089340061,25,3.2335,0.500070003822559,5.1028
178,A.J. Ewing,NYM,OF,FA,40.40212785049962,25,3.3438,0.4833079472516253,4.0959
149,Jake Mangum,PIT,OF,FA,40.25339817199858,24,3.3799,0.4962350731776899,4.8
300,Chase Meidroth,CWS,2B,FA,39.737563013704175,26,3.5368,0.4321329473590227,4.3364
150,Josh Bell,MIN,DH,FA,39.6864418919143,25,3.2011,0.4959100545676712,4.0463
205,Brooks Lee,MIN,3B,FA,39.546677058096954,25,3.3307,0.4749353236028096,5.4909
273,Heliot Ramos,NYY,OF,FA,39.47462688820548,25,3.541,0.4459150170935383,3.9091
100,Jakob Marsee,MIA,OF,FA,38.88543084587422,25,2.9292,0.5310041082326127,4.6346
7,Aaron Judge,NYY,OF,MINE,38.48768210259036,25,2.1744,0.7080147553824571,2.3898
227,Travis Bazzana,CLE,2B,FA,38.46130154079661,25,3.3163,0.4639061790645793,3.3176
233,Cole Young,SEA,2B,FA,38.16027799999417,25,3.3039,0.4620028209085526,5.9664
123,Marcus Semien,NYM,2B,FA,37.88141640913113,25,2.9597,0.5119629206896796,6.3878
272,Masyn Winn,STL,SS,FA,37.03392893046433,24,3.4603,0.4459383209845043,5.5
