component,min_pa,n_hitters,half_half_spearman_r,full_sample_sb_r,reliable_70pct
Decision+,25,587,0.5312,0.6938,False
Decision+,50,534,0.5886,0.741,True
Decision+,100,465,0.6726,0.8043,True
Decision+,150,413,0.714,0.8332,True
Decision+,200,370,0.7289,0.8432,True
Decision+,300,296,0.743,0.8525,True
Decision+,500,140,0.7782,0.8753,True
Contact+,25,587,0.6536,0.7905,True
Contact+,50,534,0.7032,0.8258,True
Contact+,100,465,0.7745,0.8729,True
Contact+,150,413,0.7945,0.8855,True
Contact+,200,370,0.7973,0.8872,True
Contact+,300,296,0.8201,0.9012,True
Contact+,500,140,0.8483,0.9179,True
Power+,25,587,0.4229,0.5944,False
Power+,50,534,0.4762,0.6452,False
Power+,100,465,0.5518,0.7112,True
Power+,150,413,0.5893,0.7416,True
Power+,200,370,0.6431,0.7828,True
Power+,300,296,0.6852,0.8132,True
Power+,500,140,0.754,0.8598,True
