pitcher,player_name,pitch_type,pitch_group,pitches,plv,plv_std,avg_velo,swing_rate,whiff_rate,e_xwoba_ip,plv_pctile
676879,"Ashby, Aaron",CU,Breaking,59,6.0209,1.3724,82.2847,0.3928,0.3712,0.3317,100.0
656492,"Griffin, Foster",FS,Offspeed,52,5.9998,1.0599,81.1942,0.445,0.5872,0.2671,99.9
686973,"Varland, Louis",FF,Fastball,92,5.9954,1.231,98.1543,0.5666,0.333,0.3675,99.8
663969,"Phillips, Tyler",CU,Breaking,52,5.9519,1.5298,84.0038,0.4201,0.651,0.2988,99.7
656730,"Megill, Trevor",KC,Breaking,64,5.9512,1.2503,87.3609,0.4644,0.5756,0.2985,99.6
690997,"McLean, Nolan",FF,Fastball,84,5.9304,1.167,96.4726,0.4711,0.3498,0.3713,99.5
607192,"Glasnow, Tyler",SL,Breaking,77,5.9105,1.1226,89.2506,0.4427,0.5728,0.2883,99.4
674444,"Cruz, Steven",FF,Fastball,60,5.9101,1.1648,96.71,0.5191,0.3281,0.3643,99.3
701542,"Warren, Will",ST,Breaking,109,5.9033,1.1007,84.3431,0.4058,0.4446,0.3181,99.2
694819,"Misiorowski, Jacob",FF,Fastball,334,5.9033,1.3319,98.6734,0.4892,0.4159,0.3469,99.0
688158,"Morgan, David",CU,Breaking,64,5.898,1.1122,82.3703,0.4014,0.5005,0.3096,98.9
683175,"Phillips, Connor",ST,Breaking,146,5.8898,1.2555,86.1959,0.4484,0.5346,0.3051,98.8
656945,"Scott, Tanner",FF,Fastball,74,5.8887,0.9996,96.4703,0.5297,0.3379,0.3608,98.7
606996,"Hart, Kyle",ST,Breaking,54,5.8751,1.2706,82.1037,0.3736,0.4397,0.3085,98.6
594798,"deGrom, Jacob",SL,Breaking,108,5.8467,1.5916,91.2963,0.5725,0.4949,0.3009,98.5
676684,"Vest, Will",SL,Breaking,60,5.8392,1.5418,86.8333,0.5232,0.561,0.2946,98.4
605280,"Holmes, Clay",ST,Breaking,67,5.808,1.1349,81.8627,0.3665,0.4477,0.3029,98.3
663542,"Hudson, Bryan",ST,Breaking,59,5.8035,1.2864,80.6492,0.4338,0.5582,0.299,98.2
689254,"Fluharty, Mason",ST,Breaking,66,5.798,1.0831,83.2015,0.4863,0.4554,0.2997,98.1
