pitcher,player_name,pitches,plv,plv_std,plv_raw,swing_rate,whiff_rate,contact_rate,cs_rate,e_xwoba_ip,plv_pctile
656945,"Scott, Tanner",144,5.7117,1.2346,-0.0298,0.5225,0.3773,0.6227,0.5672,0.3431,100.0
695243,"Miller, Mason",173,5.7115,1.3556,-0.0298,0.4862,0.4294,0.5706,0.4575,0.3283,99.8
686973,"Varland, Louis",215,5.7018,1.3756,-0.0302,0.5225,0.4326,0.5674,0.4807,0.3231,99.5
674444,"Cruz, Steven",109,5.6852,1.1936,-0.0308,0.4956,0.378,0.622,0.4838,0.3423,99.3
682254,"Montgomery, Mason",210,5.6406,1.4596,-0.0324,0.5089,0.4403,0.5597,0.4803,0.3354,99.0
656730,"Megill, Trevor",155,5.636,1.2965,-0.0325,0.4933,0.402,0.598,0.4574,0.3302,98.8
676263,"Dreyer, Jack",150,5.6115,1.2638,-0.0334,0.4749,0.3602,0.6398,0.5166,0.3376,98.6
694819,"Misiorowski, Jacob",548,5.5979,1.432,-0.0339,0.4924,0.4133,0.5867,0.468,0.3334,98.3
640448,"Finnegan, Kyle",162,5.5748,1.3165,-0.0348,0.4629,0.4171,0.5829,0.4171,0.3244,98.1
681870,"Sabrowski, Erik",207,5.5702,1.2961,-0.0349,0.4683,0.3493,0.6507,0.5176,0.3517,97.9
664854,"Helsley, Ryan",210,5.5522,1.4979,-0.0356,0.4591,0.4518,0.5482,0.4414,0.3212,97.6
683175,"Phillips, Connor",293,5.5205,1.396,-0.0367,0.447,0.4222,0.5778,0.4474,0.3278,97.4
696149,"Chandler, Bubba",344,5.5198,1.4292,-0.0368,0.5133,0.3898,0.6102,0.4663,0.3292,97.1
594798,"deGrom, Jacob",338,5.5075,1.4169,-0.0372,0.5361,0.3769,0.6231,0.5216,0.3374,96.9
669093,"Estrada, Jeremiah",133,5.4858,1.4714,-0.038,0.4177,0.4602,0.5398,0.367,0.3104,96.7
695505,"Burns, Chase",509,5.4838,1.3329,-0.0381,0.5263,0.3885,0.6115,0.4925,0.3276,96.4
701542,"Warren, Will",489,5.481,1.323,-0.0382,0.4716,0.3269,0.6731,0.5426,0.3413,96.2
689254,"Fluharty, Mason",171,5.4632,1.1507,-0.0388,0.4967,0.378,0.622,0.4434,0.3152,95.9
623149,"Sewald, Paul",144,5.4553,1.1277,-0.0391,0.5515,0.3006,0.6994,0.5658,0.3518,95.7
642207,"Williams, Devin",146,5.4547,1.1661,-0.0391,0.5119,0.4089,0.5911,0.4474,0.3311,95.5
691799,"Taylor, Grant",226,5.4428,1.4475,-0.0396,0.5426,0.3654,0.6346,0.4903,0.3267,95.2
681402,"Varland, Gus",167,5.4411,1.4656,-0.0396,0.5334,0.375,0.625,0.5284,0.339,95.0
642547,"Peralta, Freddy",466,5.4187,1.4554,-0.0404,0.4619,0.3832,0.6168,0.4798,0.3347,94.7
677053,"Nardi, Andrew",183,5.4152,1.4429,-0.0406,0.5017,0.404,0.596,0.4913,0.3349,94.5
592773,"Stanek, Ryne",248,5.4094,1.4976,-0.0408,0.503,0.4297,0.5703,0.4173,0.3214,94.3
684007,"Imanaga, Shota",539,5.4085,1.2299,-0.0408,0.4744,0.3542,0.6458,0.4473,0.3306,94.0
573204,"Thielbar, Caleb",165,5.4063,1.3105,-0.0409,0.5114,0.3572,0.6428,0.4843,0.3338,93.8
547973,"Chapman, Aroldis",131,5.3992,1.2218,-0.0411,0.5344,0.3351,0.6649,0.5193,0.3426,93.6
691587,"Pérez, Eury",513,5.3916,1.3503,-0.0414,0.4581,0.3791,0.6209,0.4775,0.3322,93.3
678022,"Perkins, Jack",154,5.3801,1.5186,-0.0418,0.5148,0.3895,0.6105,0.4796,0.3278,93.1
676508,"Casparius, Ben",131,5.3783,1.3963,-0.0419,0.4728,0.3879,0.6121,0.4334,0.318,92.8
681911,"Vesia, Alex",154,5.376,1.4519,-0.042,0.4836,0.3666,0.6334,0.4185,0.3171,92.6
656641,"Latz, Jacob",226,5.3732,1.3519,-0.0421,0.4607,0.4058,0.5942,0.4596,0.3331,92.4
669622,"Bender, Anthony",198,5.3721,1.5002,-0.0421,0.4038,0.3379,0.6621,0.4804,0.31,92.1
694918,"Tidwell, Blade",110,5.371,1.1393,-0.0422,0.463,0.3359,0.6641,0.4742,0.3255,91.9
669194,"Nelson, Ryne",442,5.3657,1.3127,-0.0423,0.5182,0.335,0.665,0.5062,0.3276,91.6
690997,"McLean, Nolan",471,5.3656,1.4988,-0.0424,0.453,0.3254,0.6746,0.5132,0.3243,91.4
656302,"Cease, Dylan",578,5.3649,1.3456,-0.0424,0.4761,0.4053,0.5947,0.4291,0.3188,91.2
519141,"Pomeranz, Drew",130,5.3631,1.3479,-0.0424,0.4908,0.3146,0.6854,0.5587,0.3569,90.9
669711,"Weissert, Greg",181,5.3629,1.3905,-0.0424,0.4647,0.3291,0.6709,0.4894,0.3171,90.7
690986,"Harrison, Kyle",407,5.3629,1.4208,-0.0424,0.5051,0.3325,0.6675,0.5052,0.3552,90.5
670970,"Morejon, Adrian",203,5.3624,1.3399,-0.0425,0.5126,0.3437,0.6563,0.4929,0.3076,90.2
680742,"Bowlan, Jonathan",162,5.3494,1.3466,-0.0429,0.5079,0.3743,0.6257,0.4398,0.3222,90.0
641941,"Pagán, Emilio",203,5.3444,1.3503,-0.0431,0.4657,0.3558,0.6442,0.4217,0.332,89.7
656546,"Hoffman, Jeff",217,5.3431,1.3208,-0.0432,0.485,0.4155,0.5845,0.4218,0.3101,89.5
669199,"Bachar, Lake",210,5.3424,1.3858,-0.0432,0.448,0.4459,0.5541,0.3984,0.3208,89.3
668873,"Kilian, Caleb",178,5.3408,1.5068,-0.0433,0.4785,0.3881,0.6119,0.4317,0.3235,89.0
666374,"Brash, Matt",137,5.3389,1.4,-0.0433,0.4245,0.3758,0.6242,0.4525,0.3108,88.8
657746,"Ryan, Joe",507,5.3369,1.3228,-0.0434,0.4869,0.343,0.657,0.5011,0.3377,88.5
601713,"Pivetta, Nick",354,5.3305,1.1524,-0.0436,0.5027,0.3153,0.6847,0.4911,0.3287,88.3
676775,"Winn, Keaton",143,5.3287,1.5086,-0.0437,0.5213,0.4005,0.5995,0.4515,0.313,88.1
621237,"Alvarado, José",192,5.3225,1.4433,-0.0439,0.4673,0.3758,0.6242,0.4145,0.299,87.8
666974,"Cano, Yennier",113,5.3152,1.5579,-0.0442,0.5337,0.4027,0.5973,0.4644,0.2968,87.6
605447,"Romano, Jordan",175,5.2932,1.4989,-0.045,0.4122,0.4192,0.5808,0.4049,0.3246,87.4
669062,"Miller, Erik",197,5.2931,1.4437,-0.045,0.4159,0.3777,0.6223,0.4058,0.3006,87.1
673929,"Leasure, Jordan",214,5.2919,1.3788,-0.045,0.4984,0.4017,0.5983,0.4432,0.3215,86.9
666661,"Morillo, Juan",193,5.2901,1.2844,-0.0451,0.4951,0.3594,0.6406,0.4842,0.3261,86.6
607455,"Banda, Anthony",201,5.289,1.4723,-0.0451,0.4053,0.3914,0.6086,0.4524,0.3347,86.4
685801,"Bigge, Hunter",160,5.2879,1.3643,-0.0452,0.3683,0.436,0.564,0.3679,0.3139,86.2
606303,"Payamps, Joel",145,5.2878,1.2919,-0.0452,0.4904,0.3922,0.6078,0.4641,0.3273,85.9
663158,"Suarez, Robert",176,5.2878,1.2074,-0.0452,0.5486,0.3413,0.6587,0.4783,0.3344,85.7
670990,"Ramírez, Yohan",256,5.2816,1.3307,-0.0454,0.457,0.3341,0.6659,0.4967,0.3208,85.4
668933,"Ashcraft, Graham",221,5.2746,1.4608,-0.0457,0.518,0.4053,0.5947,0.4791,0.3077,85.2
688883,"Pallette, Peyton",192,5.2731,1.4356,-0.0457,0.4565,0.3843,0.6157,0.4749,0.3372,85.0
668984,"Legumina, Casey",228,5.2696,1.4981,-0.0458,0.4338,0.3248,0.6752,0.5015,0.3353,84.7
670280,"Bednar, David",224,5.2656,1.44,-0.046,0.5157,0.3613,0.6387,0.4758,0.3322,84.5
678606,"Ferrer, Jose A.",191,5.2622,1.4473,-0.0461,0.4614,0.2923,0.7077,0.5568,0.2924,84.2
676617,"O'Brien, Riley",178,5.2596,1.3199,-0.0462,0.4586,0.3625,0.6375,0.4721,0.3052,84.0
664875,"Lawrence, Justin",234,5.2583,1.4096,-0.0462,0.4129,0.3661,0.6339,0.4896,0.3115,83.8
677960,"Weathers, Ryan",534,5.2578,1.433,-0.0463,0.4963,0.324,0.676,0.4982,0.3361,83.5
595345,"Okert, Steven",202,5.2575,1.2863,-0.0463,0.5124,0.3485,0.6515,0.5265,0.3404,83.3
688158,"Morgan, David",215,5.2573,1.3656,-0.0463,0.4484,0.3587,0.6413,0.4261,0.3169,83.1
595014,"Treinen, Blake",136,5.2546,1.4779,-0.0464,0.4651,0.3635,0.6365,0.4636,0.3195,82.8
596133,"Weaver, Luke",178,5.2508,1.2296,-0.0465,0.4715,0.3465,0.6535,0.4708,0.33,82.6
677161,"Kelly, Zack",149,5.2508,1.3317,-0.0465,0.4824,0.351,0.649,0.4758,0.3154,82.3
656234,"Bird, Jake",132,5.248,1.286,-0.0466,0.4948,0.303,0.697,0.5453,0.3235,82.1
669684,"Murphy, Chris",135,5.2415,1.4209,-0.0469,0.4315,0.3774,0.6226,0.4667,0.3195,81.9
667755,"Soriano, José",535,5.2403,1.4367,-0.0469,0.4866,0.3742,0.6258,0.4562,0.3054,81.6
606996,"Hart, Kyle",204,5.2391,1.4812,-0.0469,0.44,0.3723,0.6277,0.4916,0.3208,81.4
681293,"Arrighetti, Spencer",196,5.2387,1.3866,-0.047,0.4011,0.3622,0.6378,0.4256,0.3207,81.1
671922,"Smith, Cade",286,5.2379,1.5044,-0.047,0.5676,0.372,0.628,0.5118,0.3422,80.9
693433,"Woo, Bryan",503,5.2335,1.3778,-0.0471,0.5141,0.3026,0.6974,0.5417,0.3421,80.7
641816,"Mahle, Tyler",354,5.2317,1.3979,-0.0472,0.4551,0.336,0.664,0.4825,0.3333,80.4
657756,"Seabold, Connor",193,5.231,1.2523,-0.0472,0.4915,0.3467,0.6533,0.4708,0.3352,80.2
676684,"Vest, Will",201,5.2301,1.4555,-0.0473,0.4969,0.3753,0.6247,0.4539,0.33,80.0
667297,"Nance, Tommy",134,5.2297,1.4748,-0.0473,0.4312,0.3756,0.6244,0.5211,0.3152,79.7
643377,"Jax, Griffin",189,5.2271,1.4219,-0.0474,0.4697,0.4179,0.5821,0.4347,0.3122,79.5
641755,"Kinley, Tyler",174,5.2267,1.4961,-0.0474,0.507,0.4065,0.5935,0.4846,0.3253,79.2
669302,"Gilbert, Logan",461,5.2231,1.427,-0.0475,0.5375,0.3651,0.6349,0.5096,0.3362,79.0
661563,"Gil, Luis",323,5.2228,1.4555,-0.0475,0.4668,0.3683,0.6317,0.4639,0.3269,78.8
669373,"Skubal, Tarik",514,5.217,1.3494,-0.0477,0.5152,0.3252,0.6748,0.497,0.3358,78.5
621242,"Díaz, Edwin",157,5.2168,1.478,-0.0477,0.4837,0.3899,0.6101,0.4704,0.334,78.3
663969,"Phillips, Tyler",277,5.2163,1.5347,-0.0478,0.4326,0.4538,0.5462,0.4027,0.3159,78.0
676534,"Faucher, Calvin",166,5.2163,1.3281,-0.0478,0.4141,0.3913,0.6087,0.4483,0.3104,77.8
592332,"Gausman, Kevin",517,5.2136,1.4005,-0.0479,0.525,0.3518,0.6482,0.4664,0.3401,77.6
672282,"Detmers, Reid",546,5.2108,1.4743,-0.048,0.5194,0.3247,0.6753,0.5119,0.3434,77.3
688642,"Agnos, Zach",255,5.2103,1.4406,-0.048,0.4819,0.3744,0.6256,0.4397,0.3194,77.1
694973,"Skenes, Paul",418,5.2097,1.2887,-0.048,0.491,0.3169,0.6831,0.4984,0.3245,76.8
668941,"Romero, JoJo",190,5.2094,1.407,-0.048,0.451,0.3121,0.6879,0.5236,0.3063,76.6
664076,"Cleavinger, Garrett",103,5.2047,1.6315,-0.0482,0.3877,0.4426,0.5574,0.3908,0.3067,76.4
680755,"Fisher, Braydon",196,5.2043,1.4244,-0.0482,0.5044,0.346,0.654,0.5382,0.335,76.1
650556,"Abreu, Bryan",210,5.2032,1.3813,-0.0482,0.4276,0.4255,0.5745,0.399,0.3243,75.9
668909,"Williams, Gavin",533,5.2024,1.5154,-0.0483,0.4933,0.3395,0.6605,0.4842,0.3326,75.7
646241,"De Jesus, Enmanuel",205,5.202,1.3346,-0.0483,0.4604,0.3286,0.6714,0.5205,0.3347,75.4
702193,"Morris, Andrew",114,5.2018,1.3124,-0.0483,0.5588,0.3144,0.6856,0.4999,0.3306,75.2
669276,"Lee, Dylan",164,5.1991,1.2292,-0.0484,0.5665,0.3467,0.6533,0.5371,0.3361,74.9
660271,"Ohtani, Shohei",364,5.1978,1.3301,-0.0484,0.4419,0.3507,0.6493,0.4511,0.3177,74.7
683004,"Leiter, Jack",431,5.1963,1.4048,-0.0485,0.4933,0.3457,0.6543,0.4967,0.3356,74.5
689147,"Kerkering, Orion",136,5.1952,1.355,-0.0485,0.4954,0.3045,0.6955,0.5246,0.3264,74.2
679358,"Orze, Eric",177,5.1947,1.4138,-0.0486,0.5462,0.3985,0.6015,0.4974,0.3256,74.0
519242,"Sale, Chris",528,5.1942,1.3598,-0.0486,0.4907,0.3064,0.6936,0.4988,0.3335,73.7
571948,"Milner, Hoby",146,5.1915,1.1536,-0.0487,0.4529,0.2823,0.7177,0.5201,0.315,73.5
670329,"Garcia, Rico",178,5.1913,1.3975,-0.0487,0.4777,0.3396,0.6604,0.5264,0.3386,73.3
700249,"Povich, Cade",184,5.1906,1.3983,-0.0487,0.4821,0.3668,0.6332,0.4873,0.3396,73.0
679775,"Backhus, Kyle",139,5.1904,1.4097,-0.0487,0.4159,0.255,0.745,0.5551,0.3156,72.8
693855,"Seymour, Ian",228,5.1881,1.3529,-0.0488,0.4536,0.3387,0.6613,0.4756,0.3263,72.6
663992,"Lovelady, Richard",178,5.1856,1.5058,-0.0489,0.4519,0.3651,0.6349,0.49,0.3218,72.3
683618,"Henriquez, Edgardo",114,5.1832,1.5295,-0.049,0.4571,0.3553,0.6447,0.4689,0.3164,72.1
800311,"Fuentes, Didier",121,5.1823,1.2905,-0.049,0.5097,0.3462,0.6538,0.5286,0.3421,71.8
677865,"Bruihl, Justin",247,5.18,1.453,-0.0491,0.4211,0.318,0.682,0.4707,0.3084,71.6
676254,"Walker, Ryan",184,5.1791,1.4153,-0.0491,0.4181,0.2715,0.7285,0.536,0.3106,71.4
640451,"Harvey, Hunter",114,5.1788,1.2838,-0.0491,0.5547,0.3309,0.6691,0.5691,0.3408,71.1
662253,"Muñoz, Andrés",179,5.1783,1.4415,-0.0491,0.4486,0.4577,0.5423,0.3772,0.3017,70.9
592662,"Ray, Robbie",567,5.1763,1.3901,-0.0492,0.4912,0.3809,0.6191,0.4688,0.3442,70.6
663687,"Harris, Hogan",284,5.1738,1.4508,-0.0493,0.4476,0.303,0.697,0.5161,0.3435,70.4
657097,"Webb, Jacob",207,5.1737,1.2066,-0.0493,0.471,0.3608,0.6392,0.4601,0.3367,70.2
808967,"Yamamoto, Yoshinobu",552,5.1716,1.4119,-0.0494,0.5075,0.3626,0.6374,0.4842,0.3228,69.9
690990,"Horton, Cade",160,5.1715,1.3339,-0.0494,0.4867,0.3429,0.6571,0.4781,0.3301,69.7
666808,"Doval, Camilo",154,5.1694,1.4808,-0.0495,0.4653,0.3768,0.6232,0.489,0.3075,69.5
579328,"Kikuchi, Yusei",442,5.1693,1.38,-0.0495,0.4864,0.3572,0.6428,0.5164,0.3498,69.2
665660,"Alvarado, Elvis",182,5.1662,1.455,-0.0496,0.5001,0.3378,0.6622,0.4799,0.3278,69.0
673540,"Senga, Kodai",317,5.1657,1.5168,-0.0496,0.4319,0.3742,0.6258,0.4783,0.3358,68.7
657277,"Webb, Logan",479,5.1625,1.4997,-0.0497,0.4514,0.3107,0.6893,0.4801,0.3203,68.5
694738,"Roupp, Landen",469,5.1614,1.4779,-0.0498,0.4324,0.3382,0.6618,0.4426,0.3114,68.3
694361,"Klein, Will",198,5.1571,1.4029,-0.0499,0.4698,0.2988,0.7012,0.5448,0.3475,68.0
671737,"Bradley, Taj",564,5.1543,1.5686,-0.05,0.4841,0.3446,0.6554,0.5036,0.3405,67.8
681982,"Anderson, Grant",204,5.1542,1.436,-0.05,0.4728,0.3084,0.6916,0.5179,0.3323,67.5
676974,"Meyer, Max",430,5.1541,1.6381,-0.05,0.5054,0.3831,0.6169,0.493,0.3221,67.3
