ros,name,tag,level,gh,ga,d_home,d_road,l225,l21,last_game,last_fp
83.4,Pete Alonso,MINE,3.08,13,14,-0.15,0.15,2.96,4.63,2026-08-28,0
82.4,Aaron Judge,MINE,2.92,16,12,0.15,-0.14,2.92,,2026-05-31,1
78.4,Luis Garcia Jr.,MINE,2.8,16,12,0.01,-0.01,3.21,2.39,2026-08-29,2
77.7,Jordan Walker,MINE,2.95,11,15,-0.24,0.25,2.98,3.48,2026-08-29,1
73.1,Luis Arraez,MINE,2.71,13,14,0.16,-0.16,2.69,2.39,2026-08-28,2
69.3,Vinnie Pasquantino,FA,2.65,15,11,0.1,-0.1,2.47,4.55,2026-08-28,3
69.1,Corbin Carroll,MINE,2.67,12,14,0.2,-0.2,2.52,3.1,2026-08-29,-1
68.6,Trent Grisham,MINE,2.41,16,12,0.28,-0.27,2.29,2.9,2026-08-29,2
68.3,Wyatt Langford,MINE,2.52,16,11,0.04,-0.04,2.77,2.4,2026-08-29,2
68.0,Hunter Goodman,MINE,2.54,16,11,-0.1,0.09,2.45,3.3,2026-08-29,2
67.6,Chandler Simpson,FA,2.41,14,14,-0.08,0.09,2.65,2.84,2026-08-29,3
66.8,Jeremy Pena,FA,2.47,13,14,0.27,-0.24,2.73,1.29,2026-08-29,2
66.6,Alec Bohm,FA,2.47,13,14,0.23,-0.23,2.52,3.47,2026-08-28,4
66.5,Ryan Jeffers,FA,2.46,14,13,0.09,-0.09,2.54,1.65,2026-08-29,0
66.1,Elly De La Cruz,MINE,2.45,13,14,-0.02,0.02,2.67,1.52,2026-08-29,5
65.5,Jackson Merrill,MINE,2.43,12,15,0.05,-0.05,2.81,2.79,2026-08-29,1
65.1,Michael Harris II,MINE,2.42,12,15,0.06,-0.07,2.58,2.1,2026-08-29,4
64.5,Brooks Lee,FA,2.4,14,13,-0.18,0.18,2.31,2.84,2026-08-29,-2
63.4,Josh Bell,FA,2.35,14,13,-0.11,0.11,2.47,2.61,2026-08-29,1
61.3,Bryson Stott,MINE,2.27,13,14,0.02,-0.02,2.29,2.33,2026-08-28,-1
61.0,Kody Clemens,FA,2.25,14,13,0.17,-0.16,2.28,2.24,2026-08-29,0
59.9,Javier Sanoja,FA,2.2,12,15,-0.18,0.18,2.3,2.74,2026-08-29,2
59.2,Max Muncy,MINE,2.2,15,12,-0.1,0.1,1.98,2.42,2026-08-29,1
58.6,Heriberto Hernandez,FA,2.18,12,15,0.08,-0.07,2.25,2.78,2026-08-29,5
56.7,Chase Meidroth,FA,2.04,13,15,0.15,-0.15,2.36,1.72,2026-08-29,-1
54.0,Vladimir Guerrero Jr.,MINE,2.04,11,15,-0.17,0.18,1.81,2.07,2026-08-29,1
53.0,Jose Altuve,FA,1.97,13,14,0.17,-0.17,2.06,1.72,2026-08-29,1
52.1,Jonathan Aranda,FA,1.86,14,14,0.11,-0.11,1.54,1.3,2026-08-29,6
51.9,Jo Adell,FA,1.94,15,12,-0.21,0.22,1.84,2.44,2026-08-29,2
49.2,Jake Burger,FA,1.87,16,11,-0.2,0.19,1.79,2.06,2026-08-29,1
47.2,Spencer Horwitz,FA,1.79,15,11,0.14,-0.13,2.02,0.29,2026-08-29,-1
46.0,Jakob Marsee,FA,1.72,12,15,0.18,-0.18,1.62,2.06,2026-08-29,-2
44.4,Brandon Marsh,FA,1.65,13,14,0.08,-0.08,1.53,1.18,2026-08-28,-1
44.1,Jarren Duran,FA,1.57,15,13,0.05,-0.04,1.48,1.42,2026-08-29,0
39.9,Colson Montgomery,FA,1.41,13,15,-0.22,0.23,1.15,0.89,2026-08-29,0
39.5,Daulton Varsho,FA,1.46,13,14,-0.1,0.11,1.27,1.42,2026-08-29,1
36.4,Matt McLain,FA,1.35,13,14,0.07,-0.07,1.12,1.48,2026-08-29,-1
32.6,A.J. Ewing,FA,1.23,12,15,0.18,-0.19,1.2,0.26,2026-08-29,-1
