team,rank,name,saves,holds,games,leverage_score,rostered_by,is_FA
ATH,1,,6,12,19,30,,True
ATL,1,,5,15,20,30,,True
AZ,1,,1,4,18,7,,True
BAL,1,,4,9,20,21,,True
BOS,1,,5,9,20,24,,True
CHC,1,,6,6,21,24,,True
CIN,1,,2,8,20,14,,True
CLE,1,,6,18,20,36,,True
COL,1,,4,8,20,20,,True
CWS,1,,7,4,19,25,,True
DET,1,,2,7,20,13,,True
HOU,1,,3,5,19,14,,True
KC,1,,6,9,20,27,,True
LAA,1,,1,9,19,12,,True
LAD,1,,3,8,20,17,,True
MIA,1,,7,14,20,35,,True
MIL,1,,3,6,18,15,,True
MIN,1,,3,11,20,20,,True
NYM,1,,4,9,19,21,,True
NYY,1,,4,14,20,26,,True
PHI,1,,3,3,21,12,,True
PIT,1,,3,8,20,17,,True
SD,1,,6,13,19,31,,True
SEA,1,,7,12,19,33,,True
SF,1,,4,12,19,24,,True
STL,1,,7,19,20,40,,True
TB,1,,9,18,19,45,,True
TEX,1,,4,3,19,15,,True
TOR,1,,6,15,20,33,,True
WSH,1,,5,10,20,25,,True
