batter,h1_pa,h2_pa,h1_rate,h2_rate,lift_h2_aug150
405395,1182,351,0.3266,0.453,38.71
408234,1434,364,0.2064,0.283,37.09
425783,921,404,0.3236,0.1931,-40.33
425877,889,539,0.2913,0.3024,3.8
443558,1628,605,0.3127,0.3355,7.32
444482,1731,535,0.2917,0.2916,-0.05
446334,1142,411,0.2741,0.2336,-14.78
453568,2228,1172,0.3537,0.3217,-9.05
453943,578,393,0.2526,0.257,1.74
456715,1014,535,0.2485,0.3215,29.36
456781,929,353,0.2325,0.2068,-11.06
457705,2653,757,0.2654,0.2589,-2.43
457759,2171,971,0.3468,0.3635,4.81
458015,1526,554,0.3152,0.3502,11.1
458731,1037,582,0.2835,0.2784,-1.82
460086,787,414,0.2618,0.2585,-1.26
462101,1630,970,0.2436,0.2722,11.75
467793,2871,1279,0.334,0.312,-6.61
474832,1504,379,0.2533,0.3879,53.11
488726,1495,556,0.4167,0.3795,-8.93
493329,1846,781,0.3673,0.3585,-2.39
500743,2102,527,0.2831,0.2713,-4.14
500871,1892,783,0.2849,0.3359,17.9
501981,805,382,0.2584,0.2461,-4.76
502054,2472,1343,0.2557,0.2353,-7.97
502110,2388,1004,0.3287,0.2998,-8.8
502210,864,322,0.2951,0.2919,-1.09
502671,3100,1345,0.2935,0.3487,18.79
514888,2659,1370,0.3765,0.3964,5.28
514917,1776,853,0.2523,0.2122,-15.88
516416,1682,848,0.3109,0.3066,-1.39
516770,1251,418,0.2318,0.3589,54.8
516782,2285,455,0.2941,0.3275,11.35
518626,1266,641,0.2812,0.2995,6.52
518692,3193,1593,0.4084,0.3949,-3.32
518735,1675,403,0.2716,0.273,0.48
518934,2128,917,0.3092,0.3381,9.33
519058,1352,357,0.307,0.3445,12.24
519203,2371,593,0.3509,0.4233,20.62
519317,1660,984,0.2398,0.2683,11.9
520471,1139,380,0.209,0.2237,7.05
521692,2277,1277,0.26,0.3007,15.66
527038,2009,564,0.333,0.2961,-11.08
542303,2596,1054,0.2831,0.3406,20.3
542340,1251,703,0.1815,0.2319,27.78
542932,787,399,0.2109,0.1754,-16.83
543063,1641,751,0.248,0.241,-2.83
543068,1733,585,0.2937,0.3248,10.58
543257,1878,685,0.2173,0.2657,22.3
543281,899,366,0.287,0.2432,-15.27
543333,1651,627,0.2665,0.2105,-21.0
543685,1387,476,0.3814,0.5063,32.75
543760,3324,1503,0.3138,0.3806,21.29
543807,2483,1209,0.323,0.3672,13.7
543877,1859,331,0.2173,0.2931,34.85
543939,1468,570,0.2772,0.3193,15.17
544369,1038,371,0.3006,0.2911,-3.15
544725,1226,357,0.155,0.2241,44.6
545121,400,362,0.3,0.3177,5.89
545341,2077,957,0.2518,0.2623,4.16
545361,1983,370,0.4019,0.2838,-29.39
546318,922,363,0.2614,0.2672,2.23
547180,2629,1530,0.3416,0.3961,15.96
547989,2178,893,0.2837,0.3415,20.37
553869,1801,322,0.236,0.2826,19.76
553993,2999,1461,0.2401,0.2615,8.91
570482,1627,567,0.26,0.321,23.46
570560,771,446,0.1997,0.1771,-11.32
571448,2968,1281,0.3858,0.3895,0.97
571466,1024,324,0.1582,0.2963,87.29
571657,1299,436,0.2294,0.2454,6.98
571745,1647,711,0.2398,0.2841,18.46
571771,2049,693,0.2328,0.3218,38.23
571970,2303,965,0.3287,0.3109,-5.42
571976,844,641,0.1884,0.1872,-0.63
572041,1023,584,0.2942,0.2723,-7.47
572122,1090,653,0.2394,0.2894,20.87
572191,1649,374,0.1146,0.1283,11.98
572233,2408,1069,0.2679,0.3003,12.1
572816,592,318,0.3463,0.2358,-31.89
573262,1860,958,0.243,0.2704,11.25
578428,1669,490,0.272,0.3163,16.29
592178,1637,397,0.3458,0.2746,-20.59
592192,1986,876,0.3016,0.3151,4.46
592206,3003,1267,0.2604,0.3228,23.96
592273,1207,557,0.2278,0.2011,-11.75
592325,960,342,0.2,0.2281,14.04
592450,2665,1399,0.406,0.4489,10.56
592518,3002,1564,0.3704,0.3114,-15.94
592567,839,358,0.2443,0.2123,-13.12
592626,2012,324,0.3091,0.3426,10.82
592663,2430,1294,0.2568,0.2944,14.66
592669,1934,669,0.2849,0.3408,19.62
592696,1780,545,0.2882,0.2477,-14.05
592885,2744,1086,0.3302,0.3186,-3.51
593160,2396,1108,0.2951,0.2617,-11.3
593428,2807,1260,0.3338,0.3611,8.18
593871,1874,1252,0.3138,0.2995,-4.54
593934,727,422,0.1664,0.2441,46.65
594777,1102,599,0.2132,0.1953,-8.4
594807,1504,386,0.1695,0.2254,32.94
594809,903,383,0.268,0.3342,24.7
