batter,seasons_used,h1_pa,h2_pa,h1_rate,h2_rate,h2_lift_abs,h2_lift_pct,player_name,team,rank,xfp_rh3_per_game,expected_total_fp_remaining,category
595978,6,883,789,0.0294,0.1635,0.1341,455.3,,,,,,BACK-LOADED
595909,6,350,965,0.0629,0.1575,0.0947,150.6,,,,,,BACK-LOADED
572287,5,862,470,0.0626,0.1511,0.0884,141.1,,,,,,BACK-LOADED
571912,5,554,309,0.0884,0.1942,0.1057,119.5,,,,,,BACK-LOADED
622761,4,794,489,0.1033,0.2188,0.1155,111.9,,,,,,BACK-LOADED
455117,7,1427,833,0.0652,0.1357,0.0705,108.1,,,,,,BACK-LOADED
664913,5,811,912,0.1295,0.2632,0.1337,103.3,,,,,,BACK-LOADED
593934,4,667,698,0.1154,0.2307,0.1152,99.8,,,,,,BACK-LOADED
669394,4,974,704,0.1674,0.3267,0.1594,95.2,Jake Burger,TEX,213.0,1.55,184.0,BACK-LOADED
677594,4,1499,1098,0.1955,0.367,0.1716,87.8,Julio Rodríguez,SEA,120.0,1.75,225.7,BACK-LOADED
663698,4,488,501,0.1025,0.1876,0.0852,83.1,,,,,,BACK-LOADED
642336,4,544,419,0.1654,0.2936,0.1281,77.4,,,,,,BACK-LOADED
624585,7,2182,1078,0.2177,0.3813,0.1636,75.1,Jorge Soler,LAA,183.0,1.6,180.1,BACK-LOADED
571466,6,1064,716,0.1316,0.2291,0.0975,74.1,,,,,,BACK-LOADED
624512,5,517,428,0.1393,0.2407,0.1014,72.8,,,,,,BACK-LOADED
668800,3,361,358,0.1219,0.2095,0.0876,71.9,,,,,,BACK-LOADED
686681,4,557,663,0.1562,0.267,0.1108,70.9,Michael Massey,KC,269.0,1.42,80.6,BACK-LOADED
671739,4,1005,1077,0.2,0.3315,0.1315,65.7,Michael Harris II,ATL,25.0,2.04,196.1,BACK-LOADED
595281,6,1232,906,0.142,0.2285,0.0864,60.8,,,,,,BACK-LOADED
671213,4,487,465,0.2033,0.3247,0.1214,59.7,,,,,,BACK-LOADED
607732,6,842,785,0.1473,0.2255,0.0782,53.1,,,,,,BACK-LOADED
669004,3,813,774,0.1574,0.2403,0.0829,52.6,,,,,,BACK-LOADED
628451,5,559,590,0.2057,0.3119,0.1061,51.6,,,,,,BACK-LOADED
666134,4,541,677,0.1312,0.1979,0.0667,50.8,,,,,,BACK-LOADED
641598,7,1226,977,0.2072,0.3122,0.105,50.7,,,,,,BACK-LOADED
571976,5,929,831,0.1324,0.1974,0.065,49.1,,,,,,BACK-LOADED
672515,3,648,392,0.2438,0.3622,0.1184,48.6,Gabriel Moreno,AZ,123.0,1.74,79.0,BACK-LOADED
455139,4,660,464,0.1515,0.2198,0.0683,45.1,,,,,,BACK-LOADED
643565,5,878,731,0.2062,0.2982,0.0921,44.7,,,,,,BACK-LOADED
572041,5,859,1017,0.2352,0.3392,0.1041,44.3,,,,,,BACK-LOADED
643376,7,963,869,0.2233,0.3188,0.0955,42.8,Danny Jansen,TEX,258.0,1.45,99.1,BACK-LOADED
605113,5,1222,746,0.1964,0.2788,0.0824,42.0,,,,,,BACK-LOADED
663457,5,860,1074,0.2279,0.3231,0.0952,41.8,,,,,,BACK-LOADED
572761,6,1130,674,0.2168,0.3071,0.0903,41.7,,,,,,BACK-LOADED
663743,4,485,598,0.1588,0.2241,0.0653,41.1,Nick Fortes,TB,185.0,1.6,119.9,BACK-LOADED
571771,7,1751,1233,0.2216,0.3106,0.089,40.2,,,,,,BACK-LOADED
621438,5,824,696,0.1954,0.273,0.0776,39.7,Tyrone Taylor,NYM,227.0,1.52,82.2,BACK-LOADED
669127,4,822,878,0.2007,0.2768,0.076,37.9,Shea Langeliers,ATH,14.0,2.1,258.7,BACK-LOADED
620443,4,442,420,0.1357,0.1857,0.05,36.8,,,,,,BACK-LOADED
405395,4,981,709,0.3028,0.4133,0.1105,36.5,,,,,,BACK-LOADED
605131,6,786,370,0.1489,0.2027,0.0538,36.2,,,,,,BACK-LOADED
662139,5,1132,1140,0.1979,0.2667,0.0688,34.8,Daulton Varsho,TOR,105.0,1.77,185.1,BACK-LOADED
444489,3,404,320,0.2252,0.3031,0.0779,34.6,,,,,,BACK-LOADED
543228,6,1092,884,0.1868,0.25,0.0632,33.8,,,,,,BACK-LOADED
503556,4,939,528,0.181,0.2405,0.0595,32.9,,,,,,BACK-LOADED
542932,5,767,604,0.1825,0.2417,0.0592,32.4,,,,,,BACK-LOADED
649557,5,834,855,0.2506,0.331,0.0804,32.1,,,,,,BACK-LOADED
624415,6,931,627,0.1557,0.2057,0.05,32.1,,,,,,BACK-LOADED
572816,5,847,739,0.268,0.3532,0.0852,31.8,,,,,,BACK-LOADED
592348,3,786,503,0.1539,0.2028,0.0488,31.7,,,,,,BACK-LOADED
666182,6,1837,1309,0.2716,0.3575,0.0859,31.6,Bo Bichette,NYM,92.0,1.8,227.4,BACK-LOADED
666181,3,551,419,0.1343,0.1766,0.0423,31.5,Will Benson,CIN,271.0,1.42,68.3,BACK-LOADED
598265,5,1240,773,0.1298,0.1708,0.0409,31.5,,,,,,BACK-LOADED
640461,4,749,566,0.1562,0.2049,0.0487,31.2,,,,,,BACK-LOADED
677951,4,1493,1229,0.3128,0.4101,0.0973,31.1,Bobby Witt Jr.,KC,17.0,2.09,271.0,BACK-LOADED
543257,6,1542,1218,0.2017,0.2635,0.0619,30.7,,,,,,BACK-LOADED
521692,6,1901,1653,0.2404,0.314,0.0736,30.6,Salvador Perez,KC,138.0,1.71,202.9,BACK-LOADED
475582,3,389,397,0.2494,0.3249,0.0756,30.3,,,,,,BACK-LOADED
456715,4,957,728,0.2414,0.3146,0.0732,30.3,,,,,,BACK-LOADED
649966,6,888,833,0.2309,0.3001,0.0693,30.0,,,,,,BACK-LOADED
542340,4,1029,884,0.1798,0.233,0.0532,29.6,,,,,,BACK-LOADED
543760,7,2711,2192,0.2947,0.3814,0.0867,29.4,Marcus Semien,NYM,175.0,1.61,181.3,BACK-LOADED
642715,7,2102,1989,0.1989,0.2574,0.0586,29.4,Willy Adames,SF,209.0,1.56,178.6,BACK-LOADED
572122,3,882,861,0.2256,0.2915,0.0659,29.2,,,,,,BACK-LOADED
596059,5,1096,996,0.1752,0.2249,0.0497,28.4,,,,,,BACK-LOADED
664040,7,1469,1281,0.2253,0.2888,0.0635,28.2,Brandon Lowe,PIT,81.0,1.82,206.6,BACK-LOADED
669016,5,999,1095,0.1351,0.1726,0.0375,27.7,Brandon Marsh,PHI,90.0,1.8,172.7,BACK-LOADED
669289,5,1024,626,0.2422,0.3067,0.0645,26.6,,,,,,BACK-LOADED
543939,5,1189,929,0.2658,0.3358,0.0701,26.4,,,,,,BACK-LOADED
641313,7,1773,1108,0.1782,0.2247,0.0465,26.1,,,,,,BACK-LOADED
543685,6,1316,785,0.3549,0.4471,0.0923,26.0,,,,,,BACK-LOADED
547989,6,1890,1407,0.2624,0.3298,0.0673,25.7,,,,,,BACK-LOADED
571657,6,1179,1040,0.2078,0.2606,0.0528,25.4,,,,,,BACK-LOADED
