batter,annual_rate,total_pa,seasons_used,Apr_rate,Apr_pa,Apr_lift,May_rate,May_pa,May_lift,Jun_rate,Jun_pa,Jun_lift,Jul_rate,Jul_pa,Jul_lift,Aug_rate,Aug_pa,Aug_lift,Sep_rate,Sep_pa,Sep_lift,player_name,team,rank,xfp_rh3_per_game,expected_total_fp_remaining,remaining_weights,ros_weighted_lift_pct
669911,0.1143,989,4,,140,,,95,,,144,,0.1878,213,64.4,,198,,,199,,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",64.4
672356,0.0465,861,3,0.105,181,126.0,0.0734,218,58.0,,127,,,0,,,171,,,164,,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",58.0
606992,0.1553,921,3,,107,,,139,,0.2128,188,37.0,0.2067,208,33.1,,134,,,145,,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",35.1
681351,0.155,1103,3,0.2356,225,51.9,,181,,,153,,,158,,,164,,0.2072,222,33.7,Logan O'Hoppe,LAA,311.0,1.29,101.2,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",33.7
457708,0.2107,1144,3,,196,,,207,,0.3808,239,80.7,,178,,0.1618,241,-23.2,,83,,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",28.8
683146,0.1695,956,4,,135,,0.2176,239,28.4,,166,,,153,,,125,,,138,,Brett Baty,NYM,307.0,1.3,118.9,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",28.4
666310,0.1984,973,3,,139,,,142,,,110,,0.2599,177,31.0,0.1634,202,-17.6,0.3399,203,71.4,Bo Naylor,CLE,232.0,1.51,101.6,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",28.3
592444,0.104,875,3,0.0112,179,-89.3,0.1321,265,27.0,,179,,,129,,,44,,,79,,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",27.0
641856,0.185,811,5,0.1371,197,-25.9,,112,,,139,,,86,,0.2313,147,25.1,,130,,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",25.1
546991,0.2508,969,3,,136,,0.3655,238,45.8,0.2695,256,7.5,,142,,,129,,,68,,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",24.6
691023,0.1684,968,3,0.0844,225,-49.9,,64,,,82,,,148,,,177,,0.2096,272,24.4,Jordan Walker,STL,109.0,1.76,211.1,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",24.4
543309,0.2076,973,5,0.0903,144,-56.5,,95,,0.3557,149,71.3,0.3373,166,62.5,0.2373,236,14.3,0.0929,183,-55.3,Kyle Higashioka,TEX,256.0,1.46,66.4,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",23.2
455117,0.097,2124,7,0.0136,368,-86.0,0.087,414,-10.3,0.1093,421,12.7,0.0725,331,-25.2,0.1765,306,82.0,0.1444,284,48.9,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",22.9
686681,0.2351,1123,4,,164,,0.3152,257,34.1,,0,,,135,,0.2591,274,10.2,0.2833,293,20.5,Michael Massey,KC,269.0,1.42,80.6,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",20.7
624415,0.1809,1393,6,0.0451,244,-75.1,,112,,0.2887,336,59.6,0.1096,228,-39.4,0.214,215,18.3,0.2558,258,41.4,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",20.0
571976,0.1561,1646,5,0.0982,326,-37.1,0.1272,283,-18.5,,177,,0.2427,239,55.4,0.1605,299,2.8,0.2019,322,29.3,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",19.1
