pitcher,annual_rate,total_gs,seasons_used,Apr_rate,Apr_gs,Apr_lift,May_rate,May_gs,May_lift,Jun_rate,Jun_gs,Jun_lift,Jul_rate,Jul_gs,Jul_lift,Aug_rate,Aug_gs,Aug_lift,Sep_rate,Sep_gs,Sep_lift,player_name,rank,xfp_rp3_per_start_sched,gs_to,remaining_weights,ros_weighted_lift_pct
594902,9.802,53,4,8.469,13,-13.6,13.982,11,42.6,,9,,,9,,,6,,,5,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",42.6
596133,8.906,70,4,10.937,16,22.8,12.468,19,40.0,,11,,,9,,,7,,,8,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",40.0
657376,11.068,60,3,7.886,14,-28.8,14.631,16,32.2,,10,,,4,,,6,,,10,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",32.2
607644,12.669,59,4,,10,,15.479,14,22.2,,4,,,7,,,10,,14.214,14,12.2,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",16.7
669467,8.285,59,3,,5,,,5,,9.04,15,9.1,9.636,14,16.3,,11,,,9,,"Pallante, Andre",121.0,8.93,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",12.7
570632,6.946,91,7,6.475,20,-6.8,9.81,21,41.2,,9,,,10,,2.959,17,-57.4,10.971,14,57.9,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",12.0
628317,10.985,93,5,6.232,22,-43.3,12.467,18,13.5,10.275,16,-6.5,15.053,19,37.0,11.0,14,0.1,,4,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",10.9
502171,9.636,97,5,4.238,16,-56.0,9.365,20,-2.8,8.608,13,-10.7,12.747,19,32.3,13.112,17,36.1,8.55,12,-11.3,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",9.2
543294,9.94,183,7,4.818,28,-51.5,13.636,28,37.2,11.191,32,12.6,10.812,33,8.8,7.684,31,-22.7,11.265,31,13.3,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",8.7
671737,10.54,70,3,,8,,12.975,12,23.1,9.288,17,-11.9,12.257,14,16.3,,5,,11.586,14,9.9,"Bradley, Taj",46.0,11.51,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",8.6
571927,9.522,116,6,7.66,30,-19.6,8.925,24,-6.3,6.993,14,-26.6,10.822,18,13.6,12.964,14,36.1,11.65,16,22.3,"Matz, Steven",127.0,8.68,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",8.4
641712,7.591,82,4,5.592,13,-26.3,8.388,17,10.5,6.525,16,-14.0,,9,,9.775,16,28.8,,11,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",8.3
608566,10.133,147,6,7.155,29,-29.4,10.069,26,-0.6,10.403,29,2.7,12.304,23,21.4,13.655,20,34.8,8.125,20,-19.8,"Márquez, Germán",179.0,5.87,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",8.0
621076,9.447,57,3,,3,,9.35,14,-1.0,10.836,14,14.7,,9,,,10,,,7,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",7.7
665152,10.129,116,5,6.557,21,-35.3,11.574,19,14.3,9.817,18,-3.1,9.475,20,-6.5,11.719,21,15.7,12.065,17,19.1,Dean Kremer,45.0,11.28,2.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",7.6
656876,11.966,73,5,12.367,15,3.4,,11,,,6,,,9,,14.176,17,18.5,11.527,15,-3.7,"Rasmussen, Drew",30.0,12.08,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",7.4
666157,12.039,70,4,12.406,18,3.0,,9,,,10,,12.907,15,7.2,,9,,,9,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",7.2
663554,9.565,77,3,11.04,15,15.4,11.036,14,15.4,10.219,16,6.8,,9,,,10,,9.631,13,0.7,"Mize, Casey",58.0,10.79,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",7.1
