player,role,owner,1H_g,1H_fpg,1H_ops,1H_k,2H_g,2H_fpg,2H_ops,2H_k,d_fpg,kind
Bo Bichette,3B,FA/EXT,537,2.2998137802607075,0.742,19.491525423728813,288,2.892361111111111,0.878,18.606492478226446,0.5925473308504037,H
Jose Altuve,2B,FA/EXT,1116,2.888888888888889,0.822,13.691683569979716,895,2.8558659217877094,0.829,12.832310838445808,-0.03302296710117947,H
Jarren Duran,LF,FA/EXT,378,2.171957671957672,0.754,25.38508934072705,230,2.0217391304347827,0.74,25.135427952329362,-0.15021854152288938,H
Maikel Garcia,3B,FA/EXT,318,2.20125786163522,0.712,16.566265060240966,200,2.045,0.681,16.582914572864322,-0.15625786163522015,H
Salvador Perez,DH,FA/EXT,986,2.0689655172413794,0.743,19.75493873468367,784,2.253826530612245,0.751,17.7602523659306,0.18486101337086547,H
Austin Riley,3B,FA/EXT,588,2.1377551020408165,0.788,26.746987951807228,288,2.486111111111111,0.857,26.573998364677024,0.3483560090702946,H
Ceddanne Rafaela,CF,FA/EXT,276,2.0905797101449277,0.747,22.19074598677998,161,1.4782608695652173,0.63,23.588039867109636,-0.6123188405797104,H
Willy Adames,SS,FA/EXT,636,1.9150943396226414,0.721,26.851500189897454,451,2.254988913525499,0.8,26.687931951089844,0.3398945739028574,H
Teoscar Hernandez,LF,FA/EXT,601,2.0465890183028286,0.763,27.544426494345718,519,2.067437379576108,0.821,30.358923230309074,0.02084836127327927,H
Brent Rooker,DH,FA/EXT,317,2.192429022082019,0.828,28.8109756097561,249,2.0120481927710845,0.796,27.783452502553626,-0.18038082931093458,H
Vinnie Pasquantino,1B,FA/EXT,340,2.25,0.727,15.174825174825175,163,3.0122699386503067,0.852,12.285714285714286,0.7622699386503067,H
Brandon Marsh,LF,FA/EXT,405,1.5407407407407407,0.754,30.173010380622838,303,1.4290429042904291,0.753,31.309297912713472,-0.11169783645031162,H
Brooks Lee,3B,FA/EXT,183,2.0163934426229506,0.709,17.409470752089135,109,1.7155963302752293,0.601,14.950980392156863,-0.30079711234772133,H
