batter,name,pa_total,ev_p90_first,ev_p90_last,ev_p90_delta,ev_p90_drift_adj,k_pct_first,k_pct_last,k_pct_delta,k_pct_drift_adj,whiff_per_swing_first,whiff_per_swing_last,whiff_per_swing_delta,whiff_per_swing_drift_adj,ev_mean_first,ev_mean_last,ev_mean_delta,ev_mean_drift_adj,hard_hit_pct_first,hard_hit_pct_last,hard_hit_pct_delta,hard_hit_pct_drift_adj,bb_pct_first,bb_pct_last,bb_pct_delta,bb_pct_drift_adj,barrel_pct_first,barrel_pct_last,barrel_pct_delta,barrel_pct_drift_adj
609280,Miguel Andujar,106,103.07,103.66,0.59,103.383,18.182,17.742,-0.44,17.975,18.519,15.254,-3.264,16.984,84.093,83.143,-0.95,83.666,27.586,27.273,-0.313,27.445,4.545,1.613,-2.933,3.46,0.0,2.273,2.273,0.364
624641,Edmundo Sosa,64,100.32,101.61,1.29,101.004,18.519,16.216,-2.302,17.436,21.311,17.722,-3.59,19.624,81.233,82.282,1.049,81.705,25.0,28.333,3.333,26.5,7.407,0.0,-7.407,4.667,2.5,1.667,-0.833,2.367
676356,Jonny DeLuca,94,105.3,101.62,-3.68,103.35,15.789,23.214,7.425,19.279,18.31,24.762,6.452,21.342,82.008,78.248,-3.76,80.316,23.529,21.333,-2.196,22.541,5.263,5.357,0.094,5.298,0.0,0.0,0.0,0.0
669701,Josh Smith,108,101.3,103.53,2.23,102.482,20.29,15.385,-4.905,17.984,25.758,8.824,-16.934,17.799,79.895,83.45,3.555,81.494,24.176,24.138,-0.038,24.159,10.145,17.949,7.804,13.032,1.099,0.0,-1.099,0.923
700932,Kyle Manzardo,128,101.84,99.71,-2.13,100.711,35.385,25.397,-9.988,30.69,31.387,25.641,-5.746,28.686,84.787,85.388,0.601,85.057,22.472,27.5,5.028,24.735,7.692,11.111,3.419,8.957,2.247,5.0,2.753,2.688
500743,Miguel Rojas,66,100.01,101.74,1.73,100.927,18.75,5.882,-12.868,12.702,25.926,13.793,-12.133,20.223,82.958,80.486,-2.472,81.845,28.947,24.49,-4.458,26.941,9.375,2.941,-6.434,6.994,0.0,2.041,2.041,0.327
691718,Pete Crow-Armstrong,167,104.8,104.32,-0.48,104.546,29.63,20.93,-8.699,25.541,24.242,25.15,0.907,24.669,82.86,85.807,2.948,84.186,27.523,31.818,4.295,29.456,4.938,9.302,4.364,6.553,0.917,0.909,-0.008,0.916
691720,Kyle Karros,138,99.18,98.92,-0.26,99.042,23.438,28.378,4.941,25.76,26.852,24.46,-2.391,25.728,84.018,80.578,-3.439,82.47,24.658,17.526,-7.132,21.448,17.188,13.514,-3.674,15.828,1.37,1.031,-0.339,1.316
595978,Austin Hedges,57,99.87,100.95,1.08,100.442,18.519,23.333,4.815,20.781,23.529,24.528,0.999,23.999,83.032,82.053,-0.98,82.592,29.412,22.222,-7.19,26.176,7.407,10.0,2.593,8.367,0.0,2.778,2.778,0.444
681481,Kerry Carpenter,117,102.6,101.06,-1.54,101.784,37.097,30.909,-6.188,34.189,36.449,28.571,-7.877,32.746,84.981,85.285,0.304,85.118,30.159,30.556,0.397,30.337,11.29,7.273,-4.018,9.804,3.175,2.778,-0.397,3.111
699912,Jose Fernandez,108,102.62,103.95,1.33,103.325,26.415,23.636,-2.779,25.109,25.243,28.261,3.018,26.661,80.346,83.482,3.136,81.757,24.286,35.0,10.714,29.107,0.0,9.091,9.091,3.364,2.857,1.667,-1.19,2.667
