batter,player_name,team,cur_n,cur_rate,pct_rank,n_comparable,n_bounce_eval,bounce_pct,median_next_rate,median_delta,unprecedented
670541,Yordan Alvarez,HOU,35,0.6013,95.8,616,616.0,52.9,0.4254,0.0156,False
592450,Aaron Judge,NYY,33,0.4552,65.7,730,730.0,64.0,0.3728,0.0447,False
608070,José Ramírez,CLE,35,0.3791,29.7,439,439.0,90.2,0.435,0.1128,False
700250,Ben Rice,NYY,32,0.5736,100.0,152,152.0,87.5,0.3573,0.09,False
665742,Juan Soto,NYM,19,0.4146,45.5,490,486.0,85.8,0.4378,0.1083,False
660271,Shohei Ohtani,LAD,32,0.3007,29.0,285,285.0,88.1,0.3284,0.0983,False
621566,Matt Olson,ATL,35,0.462,85.7,1014,1014.0,55.8,0.3134,0.0142,False
571970,Max Muncy,LAD,32,0.4173,81.6,797,797.0,62.9,0.3054,0.0432,False
518692,Freddie Freeman,LAD,32,0.3475,28.4,430,430.0,86.0,0.4089,0.125,False
641355,Cody Bellinger,NYY,32,0.4307,77.3,866,866.0,56.7,0.3085,0.0183,False
686948,Drake Baldwin,ATL,35,0.3727,66.3,59,59.0,89.8,0.4109,0.0948,False
650490,Yandy Díaz,TB,31,0.4519,85.9,746,746.0,64.2,0.3507,0.0323,False
691406,Junior Caminero,TB,33,0.3846,64.5,111,111.0,92.8,0.405,0.1036,False
669127,Shea Langeliers,ATH,32,0.4384,92.7,369,369.0,63.1,0.2512,0.0399,False
545361,Mike Trout,LAA,34,0.4204,45.9,514,514.0,73.2,0.395,0.0662,False
676475,Alec Burleson,STL,33,0.3878,78.5,299,299.0,66.6,0.3433,0.038,False
677951,Bobby Witt Jr.,KC,34,0.2857,29.0,172,172.0,71.5,0.2716,0.0287,False
694208,Moisés Ballesteros,CHC,30,0.4673913043478261,,0,,,,,True
666126,Carlos Cortes,ATH,27,0.5952,100.0,13,8.0,100.0,0.5122,0.0396,False
665489,Vladimir Guerrero Jr.,TOR,34,0.3931,53.0,499,499.0,83.0,0.3881,0.0689,False
689414,Liam Hicks,MIA,31,0.5,98.9,88,88.0,64.8,0.34,0.1597,False
701398,Sal Stewart,CIN,34,0.3877551020408163,,0,,,,,True
663538,Nico Hoerner,CHC,33,0.4276,95.8,635,635.0,59.7,0.3317,0.0245,False
656941,Kyle Schwarber,PHI,34,0.3224,64.5,811,811.0,73.2,0.285,0.0642,False
671739,Michael Harris II,ATL,32,0.3982,85.0,415,415.0,59.8,0.3035,0.0403,False
606466,Ketel Marte,AZ,32,0.1985,10.2,121,121.0,86.8,0.31,0.1535,False
547180,Bryce Harper,PHI,34,0.3724,48.6,678,678.0,77.4,0.3657,0.0762,False
545121,Ildemaro Vargas,AZ,26,0.5556,100.0,405,405.0,54.1,0.3,0.0157,False
661388,William Contreras,MIL,31,0.3768,81.8,464,464.0,61.0,0.3105,0.0287,False
572233,Christian Walker,HOU,35,0.4514,98.1,926,926.0,56.7,0.2822,0.0155,False
663656,Kyle Tucker,LAD,33,0.2329,5.5,40,40.0,100.0,0.3871,0.1971,False
666160,Mickey Moniak,COL,27,0.4953,96.5,356,356.0,69.1,0.2344,0.0919,False
672695,Geraldo Perdomo,AZ,30,0.3548,73.8,383,383.0,62.9,0.2723,0.0454,False
621439,Byron Buxton,MIN,32,0.3129,70.5,585,585.0,74.4,0.25,0.0969,False
668939,Adley Rutschman,BAL,19,0.4474,92.6,451,444.0,55.2,0.3333,0.012,False
660670,Ronald Acuña Jr.,ATL,34,0.2632,23.0,180,180.0,95.6,0.3921,0.1756,False
671056,Iván Herrera,STL,34,0.3846,74.4,122,122.0,91.8,0.4,0.1513,False
668930,Brice Turang,MIL,30,0.3741,94.1,383,383.0,57.4,0.2277,0.0225,False
682928,CJ Abrams,WSH,34,0.4266,98.1,474,474.0,57.6,0.2847,0.0196,False
800050,Chase DeLauter,CLE,32,0.5,,0,,,,,True
624413,Pete Alonso,BAL,34,0.2534,15.2,148,148.0,96.6,0.3448,0.1581,False
608324,Alex Bregman,CHC,34,0.2756,5.5,65,65.0,98.5,0.3762,0.1361,False
693307,Dillon Dingler,DET,29,0.3684,100.0,121,121.0,76.0,0.2637,0.0599,False
663757,Trent Grisham,NYY,31,0.2764,70.9,503,503.0,70.0,0.205,0.0544,False
656811,Ryan O'Hearn,PIT,33,0.3429,77.6,544,544.0,58.6,0.2624,0.0205,False
686469,Vinnie Pasquantino,KC,32,0.2101,6.6,26,26.0,100.0,0.3672,0.1824,False
645277,Ozzie Albies,ATL,35,0.4636,96.4,955,955.0,55.4,0.3267,0.0132,False
647304,Josh Naylor,SEA,32,0.2101,10.7,76,76.0,98.7,0.2691,0.0833,False
663993,Nathaniel Lowe,CIN,21,0.4348,96.6,788,779.0,52.6,0.2338,0.0077,False
682829,Elly De La Cruz,CIN,34,0.302,79.5,307,307.0,66.1,0.2239,0.1025,False
669257,Will Smith,LAD,29,0.271,18.9,130,130.0,95.4,0.3507,0.1439,False
608369,Corey Seager,TEX,33,0.2238,5.7,63,63.0,100.0,0.355,0.1705,False
592518,Manny Machado,SD,31,0.2769,20.9,329,329.0,92.4,0.3695,0.1568,False
596019,Francisco Lindor,NYM,24,0.2476,13.5,204,204.0,99.5,0.3614,0.152,False
683002,Gunnar Henderson,BAL,33,0.1895,9.7,45,45.0,100.0,0.28,0.1295,False
805808,Kevin McGonigle,DET,34,0.42,,0,,,,,True
677800,Wilyer Abreu,BOS,33,0.3429,90.8,216,216.0,50.5,0.2605,0.001,False
672580,Maikel Garcia,KC,32,0.305,67.9,281,281.0,59.1,0.2178,0.029,False
673962,Josh Jung,TEX,31,0.4206,99.3,292,292.0,57.2,0.1809,0.0305,False
682998,Corbin Carroll,AZ,31,0.3023,35.5,160,160.0,90.0,0.358,0.1125,False
678246,Miguel Vargas,CWS,33,0.3517,87.3,240,240.0,53.8,0.2494,0.0224,False
669364,Xavier Edwards,MIA,34,0.4345,99.5,201,201.0,49.3,0.2611,-0.0027,False
695578,James Wood,WSH,35,0.2814,55.4,112,112.0,82.1,0.26,0.0941,False
